Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIRECTOR OCTAVIO ROMERO OROPEZA,": Muchas gracias, presidente, señor presidente.",0.541333260777616,6,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,Les vamos a informar de la situación del abasto y de las ventas de combustibles en el país.,0.541333260777616,18,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En esta primera gráfica que vamos a ver… no es esa. Vamos a observar el volumen de ventas que tenía Pemex del 1º de noviembre al 30 y del 1 de diciembre al día 20 de diciembre, comparado contra los días en donde ya se mantiene el control y el monitoreo de los ductos.",0.541333260777616,54,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Perdón, esa no es la gráfica… Ahí.",0.541333260777616,7,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Aquí en la gráfica, podemos observar que del día 1º de noviembre al 30 o del 1º de noviembre y hasta el día 20 de diciembre traíamos este volumen de ventas. Esto es lo facturado por Pemex.",0.541333260777616,37,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"La línea roja punteada señala el día que iniciamos la intervención en el monitoreo y control de los ductos y este fue el comportamiento, este es el comportamiento que se ha presentado hasta el día 12 de enero.",0.541333260777616,38,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Hubo unas caídas, algunos repuntes, en general, en promedio, por debajo de lo que se venía, ligeramente por debajo de lo que se venía vendiendo.",0.541333260777616,25,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,Estoy hablando de lo facturado por Pemex.,0.541333260777616,7,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Digamos que en la Ciudad de México estuvimos suministrando, esto es entre un día y otro, 10.8 millones de litros, 11.6 en el caso de Jalisco. Hemos venido reponiendo el déficit 7.9 a 16.8. En el caso del Estado de México 10.5, lo hemos incrementado a 16.8. Estado de México es muy grande, consume mucho, no se visualiza muy fácil el crecimiento.",0.541333260777616,62,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el resto del país 88, ahorita estamos en 99, y digamos que en el promedio nacional hemos crecido en las ventas, de un día para otro, de 117 a 136 entre el viernes 11 y el sábado 12 de enero. Estos son los comportamientos de las ventas, las hemos incrementado ligeramente.",0.541333260777616,52,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Esto es el volumen del importe de las ventas de diésel. Esto es lo que traíamos en promedio de ventas; se observa, a partir de la intervención, este es el comportamiento que tiene.",0.541333260777616,33,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Aquí esta barra que ven ustedes que se levanta obedece a que entró en funcionamiento de nuevo en el programa coordinado por la Secretaría de la Defensa, de Marina y de Seguridad Pública, metimos el ducto Tula-Azcapotzalco con diésel y se incrementó. Nos lo sacaron de circulación con una toma clandestina y eso nos regresó de nuevo al promedio.",0.541333260777616,59,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el caso de Jalisco, este es el comportamiento. Si ustedes observan, nos caímos al principio, ahorita ya estamos empezando a recuperar la normalidad en el volumen de ventas.",0.541333260777616,29,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el caso de Guanajuato, igual, traíamos este promedio antes de la intervención y nos caímos, y poco a poco hemos ido yendo hacia al alza sin lograr la normalidad de las ventas promedio.",0.541333260777616,34,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el caso de Guanajuato, lo mismo, hubo una caída pronunciada, estamos en vías de la normalidad, llegar a la normalidad de las ventas.",0.541333260777616,24,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Michoacán, aquí se ve un poquito mejor el panorama, ya casi estamos en el promedio de ventas que traíamos antes de la intervención de los ductos.",0.541333260777616,26,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el caso de Querétaro, aquí nos caímos dramáticamente estos días, hemos ya avanzado bastante bien en el incremento de las ventas.",0.541333260777616,22,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Este pico que se observa aquí obedece a que entró en funcionamiento de nuevo el ducto Tula-Querétaro, entonces ya se refleja en el volumen de ventas.",0.541333260777616,26,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el Estado de México, lo que les decía, tiene una demanda, la demanda más grande del país, se cayó también; estamos incrementando las ventas, pero aquí cuesta mucho más visualizar el avance por el tamaño tan grande de la demanda.",0.541333260777616,41,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"La Ciudad de México, tuvimos problemas en estos días. La verdad es que agotamos los inventarios de la ciudad y en estos últimos días hemos logrado estas ventas, que tenemos la confianza de que se van a sostener y que en pocos días llegaríamos a la normalidad.",0.541333260777616,47,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Aquí quiero señalar algo, esto se debe, en buena parte, a que entró en funcionamiento de nuevo el ducto Tuxpan-Azcapotzalco; ese ducto nos lo sacaron de servicio por tomas clandestinas y sabotajes varios días.",0.541333260777616,34,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Logramos reestablecer el ducto y tenemos más de tres días con el ducto trabajando de manera normal, y eso nos está ayudando muchísimo en poder satisfacer la demanda de la Ciudad de México y parte de la zona metropolitana.",0.541333260777616,39,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Entonces ese ducto entra dentro del Programa Estratégico de Combate al Robo de Combustibles, y aquí ha sido definitiva, importantísimo lo que ha hecho la Secretaría de la Defensa, la Secretaría de Marina, la Secretaría de Seguridad pública en la vigilancia de los ductos.",0.541333260777616,44,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Estamos en la conclusión de que, si se vigilan los ductos, se resguardan, puede operar con más eficiencia.",0.541333260777616,18,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Bueno, este es el promedio de venta en millones de litros por día, vendíamos 117 millones del 1º al 30 de noviembre, del 1º al 20 de diciembre, 119, el promedio que traemos ahorita son 122, esto es diésel, lo mismo, 53, 51, ligeramente a la baja, 47.",0.541333260777616,48,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Turbosina, vendíamos 14 en noviembre, 13 en los 20 días de diciembre, el promedio de venta hoy 15.",0.541333260777616,18,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Esto es ya los tres, gasolina, diésel y turbosina, 184 millones, 183, 185.",0.541333260777616,13,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Esta gráfica es muy interesante porque aquí se muestra cómo, a partir de la intervención de los ductos el 20 de diciembre, empezó a caer sustancialmente el robo de combustibles, al grado de que hoy andamos en estos números.",0.541333260777616,39,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"De 126 mil que se llegó, barriles que se llegaron a robar en estos días de diciembre, ahora andamos con números que han llegado hasta 2.5 y 3.4. Esto demuestra que se puede reducir la disminución en el robo.",0.541333260777616,39,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Esta gráfica es interesante porque con esto concluimos dónde se estaba dando la mayor parte del robo de combustibles en el país. La explicación es cuánto producto, cuánto combustible producimos, cuánto compramos, contra cuánto vendemos.",0.541333260777616,35,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"La diferencia es el robo y podemos observar que en el 2013 la diferencia eran 38 mil, nos faltaban 38 mil barriles diarios y, no veo bien, en ductos nos mostraba el Sistema Scada, que se robaban 16 de los 38 y en instalaciones de Pemex Refinería se robaban 22.",0.541333260777616,50,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Esta tendencia de que se robaban antes más en las instalaciones que en los ductos fue cambiando. En el 2014 ya fueron 24, 22, casi se emparejó; en el 2015, 21 en ductos, 28 en instalaciones, más o menos conservó la tendencia. Pero ya es a partir del 2016 en donde ya agarra importancia el asunto de los ductos por encima de las instalaciones.",0.541333260777616,64,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,Esto nos marca el Scada. La diferencia entre lo que producimos e importamos contra lo que vendemos es 26 y son los mismos que se marca en el Scada que se roban en los ductos.,0.541333260777616,35,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"En el 17 se perdieron en promedio diario 58 mil barriles, 43 en ductos, 15 mil en instalaciones. Y digamos que, en el 18, aquí hasta noviembre, porque no tenemos todavía las cifras de diciembre consolidadas, en promedio eran 65 mil, de los cuales 56 en ductos, nueve en instalaciones.",0.541333260777616,50,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Cabe señalar que este es el promedio diario del año, o de los 11 meses, pero en noviembre, hay que recordar que el promedio fue en el mes 82 mil barriles, iba creciendo de manera muy fuerte.",0.541333260777616,37,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Este es el planteamiento. Digamos que nuestro consumo formal es de un millón 125 mil barriles, el robo del orden de 93, sumado ductos más instalaciones, lo que nos da una demanda nacional en el entendido de lo que se roban, se ingresa al mercado. Entonces, la demanda nacional se estima en el orden de un millón 218 mil barriles.",0.541333260777616,60,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Ha habido una reducción de nuestros inventarios en el centro del país del orden de 489, que se han vendido, desde luego; hemos transportado por ductos 350 mil barriles y en autotanques 285 mil, lo que nos lleva al promedio de ventas actual de un millón 125 mil.",0.541333260777616,48,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Traemos, pues, un déficit contra la demanda nacional del orden de 93 mil barriles diarios, sumado a que hubo una reducción muy importante de los inventarios en el centro del país, en el interior del país.",0.541333260777616,36,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"¿Qué estamos planteando? Que, bajo este esquema del combate al robo de combustibles que el señor presidente anunció y que se ha venido llevando a cabo por parte de Sedena, de Marina y de la Secretaría de Seguridad, se puedan reaperturar siete ductos más, que serían el Tuxpan-Tula, el Brownsville-Reynosa-Cadereyta, Madero-Victoria-Cadereyta, San Martín Texmelucan-Valle de México, el turbosinoducto Tula-Azcapotzalco, Salamanca-Guadalajara, Tula-Salamanca, lo que nos daría una oferta adicional a nuestras, al interior del país, al centro, de 383 mil barriles; si a esto le restamos el déficit que hoy tenemos tendríamos un superávit de 290 mil barriles diarios, que nos permitiría reponer nuestros inventarios, están prácticamente en cero.",0.541333260777616,108,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"La que sigue, por favor ¿o ahí ya concluimos?, muy bien. Es cuanto, señor presidente.",0.541333260777616,15,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,": Es Tula-Toluca, Tula-Querétaro.",0.541333260777616,4,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,"Ayer nos picaron tres ductos en la madrugada, ya los estamos poniendo de nueva cuenta en servicio.",0.541333260777616,17,14,01,2019
DIRECTOR OCTAVIO ROMERO OROPEZA,": Los Tulas: Tula-Toluca, Tula Azcapotzalco y Tula-Querétaro.",0.541333260777616,8,14,01,2019
