Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PALACIO NACIONAL,Ya compramos las primeras 671 pipas que transportarán el equivalente a 143 mil 958 barriles diarios de combustible y tenemos a 700 operadores que cumplieron con los requisitos para manejarlas.Reiteramos que la política exterior de México se ciñe a los principios de no intervención establecidos en la Constitución.,0.010611723483600108,48,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Vamos a explicar básicamente lo de la misión que se envió a Estados Unidos para la compra de carros tanque y poder distribuir combustible, y de esta manera quitarles presión a los ductos, poder cerrar, abrir los ductos de acuerdo a lo que convenga, tomando en consideración abasto y tomando en consideración el que no haya tomas clandestinas, que no haya robo y que se garantice también la seguridad de la gente.",0.003299575262569235,72,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, asistieron la secretaria de Economía, en esta misión, Graciela Márquez; Irma Eréndira Sandoval, secretaria de la Función Pública, y Raquel Buenrostro, oficial mayor de Hacienda.",0.081571357828835,26,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ellas tres van a informarles sobre esta misión de adquirir los carros tanques para no depender sólo de los ductos, tener un margen de operación que nos permita garantizar el abasto en todo el país sin tener que padecer, sin que la población tenga que hacer filas, colas, para abastecerse en todo el país.",0.051540436944366004,54,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pensamos que con este plan vamos a resolver el problema; con este plan, acompañado de la vigilancia, acompañado de los programas de bienestar para la población, que den opción, que den alternativas a la gente.",0.5618142100885732,35,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, le voy a pedir a Raquel Buenrostro, la oficial mayor de Hacienda, que les exponga, que les explique, qué fue lo que hicieron para adquirir estas unidades.",0.20757340174668265,28,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,": Gracias, presidente.",0.393030772130476,3,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,Buenos días a todos.,0.8896628877580698,4,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"Como ya se les ha venido informando en varias de las reuniones por el presidente, se designó una comisión que está formada por la Secretaría de Economía, la Secretaría de la Función Pública y la Oficialía Mayor para adquirir las pipas.",0.011878347582244346,41,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"Ante la urgencia y necesidad que teníamos como gobierno de atender el problema de abasto de combustibles, eso justifica plenamente una adjudicación directa. Sin embargo, la decisión que se tomó fue hacer un proceso más competitivo, ¿que se tradujo en qué?, en dos acciones muy importantes.",0.5425568763434356,46,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"Nos pusimos en contacto con la Asociación Nacional de Productores de Autobuses y Tractocamiones Nacionales, pero también con la Asociación de Fabricantes de Autotanques de Estados Unidos. A, se invitó vía remota a la participación de empresas de otros países.  Por eso se decidió que la reunión fuera en Nueva York, para que tuviéramos un poder de convocatoria más amplio.",0.5450043456119701,60,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"De ese proceso obtuvimos la determinación de ofertas que se pujaron en dos sesiones; por lo tanto, obtuvimos ahorros significativos y más competitivos.",0.2923704373346164,23,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"Cabe mencionar que fuimos acompañados también por personal técnico de Pemex y también por personal de III Servicios, que es una empresa filial de Pemex, a fin de que ellos nos ayudaran con toda la determinación de todos los requerimientos técnicos y a evaluar técnicamente las ofertas.",0.012314923716924041,47,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"Del proceso que se concluyó el día de ayer, llevamos un avance de una celebración de memorándums de entendimiento de 671 autotanques, equivalentes a 140 mil barriles diarios, por un monto de 92 millones de dólares americanos.",0.2328813317860334,37,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,"Los primeros autotanques llegarán el 1º de febrero, son 50; el 8 de febrero, otros 50, y progresivamente el resto de los autotanques.",0.5914624026733936,23,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,En el cuadro se puede observar cómo vamos a estar abasteciendo los 671 autotanques desde la siguiente semana hasta el 29 de marzo.,0.06483231359087646,23,24,01,2019
RAQUEL BUENROSTRO SANCHEZ,Eso es todo.,0.8517771514564461,3,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,": Como comenzamos un poco tarde, porque se prolongó la reunión de seguridad, ya abrimos la sesión de preguntas y respuestas.",0.3895640212264028,21,24,01,2019
PREGUNTA,": Gracias, buenos días, Nayeli Roldán, de Animal Político.",0.9229397658577669,9,24,01,2019
PREGUNTA,"Presidente, preguntarle, ayer le habíamos comentado esta situación de los tres funcionarios de Pemex que están involucrados en La estafa maestra, primero preguntarle si había podido revisar el caso.",0.008536779804639556,29,24,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,": Sí, lo revisé y en efecto, tienen ustedes razón.",0.01719475836938146,10,24,01,2019
