Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SECRETARIA OLGA SANCHEZ CORDERO,: Para informarles que en la estructura de la Secretaría de Gobernación se creó una unidad especial para el fortalecimiento de los sistemas de justicia en nuestro país.,0.541333260777616,28,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Esta unidad está compuesta básicamente por dos direcciones generales, una de las cuales es una dirección general para el fortalecimiento de los sistemas de justicia en las entidades federativas, a través de convenios de colaboración de las procuradurías estatales y de los tribunales superiores de justicia.",0.541333260777616,46,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"La otra parte de la unidad, la otra dirección general, consiste ya precisamente en tener una mesa especial para la revisión de los casos en los que muchas de estas personas han sido privadas de su libertad injustamente.",0.541333260777616,38,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Tenemos ya liberadas 16 personas hasta ahorita, en el mes de diciembre. Hemos estado revisando los 368 casos que tenemos en la mesa y hasta ahorita hemos liberado 16 personas.",0.541333260777616,30,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Estas personas, muchos de ellos inclusive no han tenido ni siquiera una sentencia después de muchísimos años de estar privados de su libertad y no han tenido sentencias, ni condenatoria ni absolutoria.",0.541333260777616,32,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,Y muchos de estos que no han tenido sentencia es porque los jueces no tienen manera de condenarlos porque no tienen los elementos probatorios necesarios y las evidencias para poder condenarlos y han estado privados de su libertad durante muchísimo tiempo.,0.541333260777616,41,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Quiero compartirles que estamos haciendo esta revisión de los 368 casos, pero que ya está. No quiero decir los nombres de estas personas en libertad por privacidad de sus datos personales, pero estos 368 casos los estamos revisando muy puntualmente.",0.541333260777616,40,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Esta mesa está compuesta tanto por personal de los reclusorios como por representantes de la Procuraduría General de la República, como por los abogados defensores, por organizaciones sociales y, sobre todo, por gente sumamente calificada para revisar expedientes penales.",0.541333260777616,39,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Pero en todos estos casos, lo que hemos encontrado son rezagos importantes en la impartición de justicia y la privación prácticamente ilegal de la libertad de muchos de estos que están en este momento en las prisiones del país.",0.541333260777616,39,08,01,2019
SECRETARIA OLGA SANCHEZ CORDERO,"Yo sí quisiera decirles que esta mesa y esta estructura de la Secretaría de Gobernación va a ser permanente, cuando menos en esta administración pensamos que esta situación y esta creación de esta estructura.",0.541333260777616,34,08,01,2019
