Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SUBSECRETARIO ALEJANDRO ENCINAS,": Con su autorización, señor presidente.",0.541333260777616,6,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Como lo planteó ayer Ernesto Ledesma, de Rompeviento TV, efectivamente, el pasado 18 de diciembre hice el planteamiento aquí, en la conferencia de prensa, respecto a la muy difícil situación que se está viviendo en Los Altos de Chiapas, particularmente en la zona de Chenalhó y Aldama.",0.541333260777616,47,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Desde ese mismo día, y por instrucciones del señor presidente de la República, establecimos contacto directo con el periodista Ernesto Ledesma, y ese mismo día por la tarde se instaló la mesa de seguimiento a los problemas de desplazamiento forzado que se deriva de la ley que existe en el estado de Chiapas, una ley de desplazamiento forzado que obliga al gobierno del estado a establecer una mesa para la atención de este tipo de problemas, toda vez que se trata de un asunto estrictamente local.",0.541333260777616,86,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Desde días anteriores, pero particularmente a partir de esta denuncia, hemos mantenido una relación estrecha con el gobierno del estado. El propio 19 de diciembre me reuní con el secretario de Gobierno del estado, donde establecimos un mecanismo de seguimiento y atención a este problema.",0.541333260777616,45,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Los días 27 y 28 de diciembre un grupo de funcionarios de la Secretaría de Gobernación, particularmente del área de atención a la violencia contra la mujer y de garantía de los derechos humanos, se desplazó para hacer una visita a los campamentos y a los lugares donde está este problema vigente, en donde, efectivamente, los problemas de violencia, de presencia de grupos paramilitares y de una gran capacidad de fuego, incluso de grupos ligados, presuntamente, a la delincuencia organizada, ha generado niveles de violencia, de nueva cuenta, como sucedió en el mes de abril, con el asesinato de dos niños y ahora, de nueva cuenta, en los primeros días de este mes gente que ha sido víctima de la violencia, que lamentablemente se ha venido recrudeciendo.",0.541333260777616,127,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Estamos atendiendo esta situación en el ánimo, no solamente de considerar las partes en donde hay un litigio por un conflicto agrario, que se agudizó en el momento en que el Tribunal Superior Agrario otorgó una compensación de cerca de 15 millones de pesos que alentó, lamentablemente, la confrontación en esta disputa por un predio de alrededor de 60 hectáreas, pero habrá que hacer una acción institucional en apoyo al gobierno del estado de Chiapas, donde se involucrará el conjunto de las dependencias del gobierno federal.",0.541333260777616,86,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"La instrucción que nos ha dado el señor presidente de la República es que las dependencias vinculadas en el gabinete de seguridad y gobierno de la administración pública federal atienda esta situación con la responsabilidad y cautela que esto amerita, para evitar una mayor confrontación y violencia entre las propias comunidades y estaremos informando de cómo van evolucionando estos hechos.",0.541333260777616,60,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Por supuesto, estamos dando prioridad a atender los asuntos de carácter humanitario, a las viudas, a los niños que están en la situación de indefensión; por supuesto, se atenderán las recomendaciones de la Comisión Interamericana de Derechos Humanos que otorgó ya las medidas cautelares, al igual que la Comisión Nacional de Derechos Humanos y, en su oportunidad, ustedes irán conociendo de la intervención de las distintas dependencias del gobierno federal.",0.541333260777616,70,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,Es cuánto.,0.541333260777616,2,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,": Están desplazados prácticamente en la zona, hay que recordar que es una zona donde hay un conflicto social muy intenso.",0.541333260777616,21,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Por supuesto, tenemos antecedentes lamentables, como el caso de Acteal, hay influencia en esta zona con los Caracoles Zapatistas, esto tiene que irse manejando con mucha cautela y detenimiento.",0.541333260777616,29,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Creemos que son alrededor de 600 las personas que están afectadas por esta situación, en esta región del estado, lo cual no es el único problema que tenemos en la entidad, como lo tenemos también en otras entidades de la República.",0.541333260777616,41,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Pero va a tener atención especial, dado lo delicado que es el asunto en las convivencias entre las comunidades.",0.541333260777616,19,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,Por favor.,0.541333260777616,2,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,": En el primer caso, por supuesto que habrá la reparación de indemnizaciones por la pérdida de las cosechas, esto será en coordinación en el gobierno federal y el gobierno del estado.",0.541333260777616,32,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Sobre el caso de la policía estatal establecida en la comunidad de Santa Martha, efectivamente se está haciendo la investigación para detentar las responsabilidades y en su oportunidad será a través de la coordinación de Seguridad Pública de esta región en el estado como se hará la intervención por parte de las fuerzas de seguridad del gobierno federal.",0.541333260777616,58,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"En tercer lugar, por supuesto que habrá que seguir el diálogo con el regidor de Chalchihuitán, que indudablemente es uno de los puntos de mayor tensión que tenemos en la región. Es ahí donde está radicado el problema por esta disputa del fondo de 15 millones de pesos que otorga el Tribunal Superior Agrario.",0.541333260777616,54,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Y en el último caso, la instrucción del presidente de la República es dar toda la asistencia y apoyo humanitario para mitigar la situación de precariedad en la que se encuentran las víctimas.",0.541333260777616,33,08,01,2019
SUBSECRETARIO ALEJANDRO ENCINAS,"Muy bien, el secretario de Gobierno, vamos a hacer el seguimiento con él y esperemos que hoy concretemos muchas de estas medidas.",0.541333260777616,22,08,01,2019
