Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA,": …estas pipas el día de ayer, por ejemplo, donde ocurrieron los robos, hubo detenidos, si estas personas…",0.541333260777616,18,09,01,2019
PREGUNTA,": Pero en el caso, por ejemplo, de las robadas del día que dijo usted, presidente, que ayer fue el día en que menos pipas se robaron. Ahí, dice, fueron 27; de estas 27 pipas eran conducidas…",0.541333260777616,37,09,01,2019
PREGUNTA,: El equivalente.,0.541333260777616,3,09,01,2019
PREGUNTA,: Pero no hay detenidos.,0.541333260777616,5,09,01,2019
PREGUNTA,": Hola. Alberto Rodríguez, de SDP Noticias.",0.541333260777616,7,09,01,2019
PREGUNTA,Ayer se reveló que hay un general que podría estar involucrado en el tema del huachicol y esto indirectamente podría también estar implicando a presidentes de la República.,0.541333260777616,28,09,01,2019
PREGUNTA,"SDP Noticias publicó hace poco una encuesta en donde el 64 por ciento de las personas dicen que se debe investigar a los expresidentes de México, de este universo 51 por ciento dice que se debe de investigar a Salinas y 36 por ciento que se debe de investigar a Peña Nieto, que es, precisamente, el que podría estar involucrado en el robo de combustible, vía este general.",0.541333260777616,68,09,01,2019
PREGUNTA,"Esa sería una pregunta: Si usted piensa actuar contra el presidente, al menos contra altos mandos, porque hasta ahora no ha pasado nada.",0.541333260777616,23,09,01,2019
PREGUNTA,"Y otra pregunta, el huachicol son unas bandas que parecen muy serias, que tienen un poder de fuego, incluso, muy alto, ¿usted no piensa reforzar su seguridad ahora que ha prendido una guerra frontal contra estas bandas?",0.541333260777616,37,09,01,2019
PREGUNTA,Gracias.,0.541333260777616,1,09,01,2019
PREGUNTA,: Buenos días. ¿Conocen el paradero del señor Deschamps?,0.541333260777616,9,09,01,2019
PREGUNTA,"Y el Presidente Trump anoche dijo que el nuevo tratado que firmó México con Canadá y Estados Unidos de alguna manera pagaría por la tal muralla que tanto ha opinado el presidente Trump, ¿qué opinión tiene de eso?, ¿sí es cierto?",0.541333260777616,41,09,01,2019
PREGUNTA,"Y luego, su antecesor sufrió un gran desprestigio de la población por el silencio ante Trump, durante la campaña de Trump, una tras otra fuimos insultados y se tardó en reaccionar.",0.541333260777616,31,09,01,2019
PREGUNTA,"¿Usted en qué momento, como representante de todos los mexicanos, va a contestarle al señor Trump o no le va a contestar?",0.541333260777616,22,09,01,2019
PREGUNTA,"Específicamente cada vez que la investigación Mueller se acerca al señor Trump vuelve a salir el tema, vuelve a salir el tema de México, como si ya fuera una estrategia del señor Trump voltear a ver a México cada vez que la justicia se acerca a él, ¿qué opinión tiene de esto?",0.541333260777616,52,09,01,2019
PREGUNTA,":  ABC News, de Estados Unidos.",0.541333260777616,6,09,01,2019
PREGUNTA,": Del tema del nuevo tratado, donde el presidente en su discurso a la nación dijo que de alguna manera pagará por la muralla por el nuevo tratado.",0.541333260777616,28,09,01,2019
PREGUNTA,": Y la última era, ¿conocen y han tenido comunicación con el líder del sindicato de Petróleos Mexicanos?",0.541333260777616,18,09,01,2019
PREGUNTA,": Buenos días, presidente. Misael Zavala de El Universal.",0.541333260777616,9,09,01,2019
PREGUNTA,"Yo quisiera preguntarle: Este desabasto en la Ciudad de México y en algunos puntos del Valle de México es debido a este ducto, a esta fuga que se tiene, bueno que se registró ayer en el tramo de Hidalgo.",0.541333260777616,39,09,01,2019
PREGUNTA,"Y, ¿cuántas estaciones de servicio de gasolinerías tienen desabasto? Por ejemplo, en la Ciudad de México se habla de siete gasolineras.",0.541333260777616,21,09,01,2019
PREGUNTA,: Siete en la Ciudad de México.,0.541333260777616,7,09,01,2019
PREGUNTA,": ¿Se tiene algún conocimiento del número de cuántas gasolineras tienen desabasto en la Ciudad de México, en el Estado de México y a nivel general?",0.541333260777616,26,09,01,2019
PREGUNTA,"Y también el compromiso de usted de cuándo se reestablecerá este servicio, porque hay, si no bien una crisis por este desabasto, que todavía no se le puede llamar así, sí hay incertidumbre por parte de la población de cuándo se reestablecerán ya el desabasto, si un día, dos días, una semana.",0.541333260777616,52,09,01,2019
PREGUNTA,": ¿No se tiene, entonces, un estimado de cuándo podría normalizarse este abasto?",0.541333260777616,13,09,01,2019
PREGUNTA,": Hola, presidente. Agustín Velasco, de Uno TV.",0.541333260777616,8,09,01,2019
PREGUNTA,:  Gracias.,0.541333260777616,2,09,01,2019
PREGUNTA,"Oiga, acerca de estos sistemas de monitoreo en los que se gastaron tantos miles de millones de pesos el sexenio pasado, uno de estos sistemas, el sistema SCADA, en el que se -si tengo bien el dato- se gastaron más de 27 mil millones de pesos para este y para otros sistemas para evitar el robo de combustible.",0.541333260777616,58,09,01,2019
PREGUNTA,Quisiera saber si tienen el dato de cuánto gastó el gobierno federal anterior para evitar el robo de combustible y qué pasó con todo este dinero.,0.541333260777616,26,09,01,2019
