Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO ANTONIO CALDERON ALIPI,: Muy buenos días.,0.32823650481604266,4,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI,"Bueno, como nos dio la indicación el presidente, estamos a cargo de la coordinación de abasto de medicamentos a nivel nacional.",0.32823650481604266,21,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI," Nos comentaba, presidente el subsecretario Gatell que esta presión continua. En varias partes de la República niños y familias de estos niños han dicho que ya comienza a haber desabasto de Metotrexato y otros medicamentos.",0.32823650481604266,35,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI,"Nos comentaba también el subsecretario que la compra consolidada va muy bien. En esa materia preguntar si la Secretaría de Salud reconoce que ya está habiendo desabasto de estos medicamentos oncológicos, en primer lugar.",0.32823650481604266,34,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI,"En segundo, preguntar si ya hay una fecha estimada en que se haría esta compra consolidada, es decir, ¿a partir de cuándo se estarán comprando el Metotrexato y otros medicamentos?",0.32823650481604266,30,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI,"Y en tercer lugar, si se estaría contemplando volver a hacer en Francia o en qué otro país.",0.32823650481604266,18,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI," Bueno, los medicamentos especialmente, el Metotrexato no hay desabasto, se compró en el extranjero.",0.32823650481604266,14,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI,Actualmente la semana pasada llegó un embarque de 17 claves de 24 oncológicos que ya teníamos en el radar de que iba a haber demanda por el mismo problema de la empresa.,0.32823650481604266,32,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI,"Los hospitales donde reportan desabasto normalmente son los institutos nacionales, el infantil, y ellos en cuanto nos pidan el medicamento, el director nos pida, nosotros a las 24 horas, 48 horas surtimos.",0.32823650481604266,32,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI, Yo me comuniqué con los padres de familia y les dije que en cuanto el director me solicitara…,0.32823650481604266,18,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI," No me solicitó el medicamento el director, lo tiene que hacer con tiempo",0.32823650481604266,13,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI," Sí yo lo sé, yo hablé con ellos.",0.32823650481604266,8,16,1,2020
ALEJANDRO ANTONIO CALDERON ALIPI," Acá está la sensibilidad, yo atendí el caso ayer.",0.32823650481604266,9,16,1,2020
