Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"  Buenos días. Ánimo, estamos iniciando la semana, una más. Vamos bien en general, bien y de buenas.",0.8307011094080624,17,27,1,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos, como todos los lunes, a informar sobre el Quién es Quién en los precios de los combustibles. Ricardo Sheffield nos va a exponer sobre este tema, que es muy importante, es una forma de mantener sin carestía al país.",0.5105151831234346,40,27,1,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Antes, los tecnócratas decían que si aumentaba la gasolina no había ningún problema porque la gente no tenía automóviles, no tenía carro y no le afectaba. Así lo dijo el pasado secretario de Hacienda, bueno, no de este gobierno, del anterior, porque ya también tenemos uno nosotros, un pasado, uno que se fue, uno anterior; pero esa era la concepción, la mentalidad tecnocrática que prevalecía.",0.5672110088840433,65,27,1,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y el pueblo, que tiene un instinto certero, pues sabe que no es así. Si aumenta la gasolina, siempre aumentan todos los precios. El pueblo, que es sabio, que sabe más que los tecnócratas, aunque los tecnócratas se crean mucho, técnicos que hasta se creen científicos. Pero, en fin, así están las cosas.",0.5527396657430812,53,27,1,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Luego, vamos al avance de las dos obras que están en proceso, dos grandes obras, el aeropuerto y la refinería, y terminando abrimos para preguntas y respuestas.",0.03984631722314831,27,27,1,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos con Ricardo.",0.09055518109527469,4,27,1,2020
RICARDO SHEFFIELD PADILLA," Gracias, señor presidente.",0.393030772130476,3,27,1,2020
RICARDO SHEFFIELD PADILLA,Muy buenos días a todas y a todos ustedes.,0.926123185901524,9,27,1,2020
RICARDO SHEFFIELD PADILLA,"Quién es Quién en los precios de los combustibles. En la gasolina regular, el precio más alto, con el margen más alto, lo encontramos en Hidrocarburos y Gasolinas de León, en León, Guanajuato, 21 pesos con seis centavos por litro, un margen de tres pesos con 47 centavos; el más económico en Centro, Tabasco, Estaciones de Servicio Auto, 18 pesos con ocho centavos por litro, un margen de 15 centavos.",0.027839377437597526,70,27,1,2020
RICARDO SHEFFIELD PADILLA,"En la gasolina Premium, BP Estaciones, aquí en la Ciudad de México, en la Benito Juárez, con 23 pesos 19 centavos por litro y un margen de cuatro pesos es el más alto; mientras que el más económico, combustibles de la Cuenca del Papaloapan, en Boca del Río, Veracruz, 18 pesos con 42 centavos por litro, un margen de 64 centavos.",0.02326606839271433,61,27,1,2020
RICARDO SHEFFIELD PADILLA,"Ustedes pueden ver en estos dos tipos de combustibles estas gasolinas, tanto regular como Premium, que están muy presente gasolineras en el estado de Guanajuato en estas últimas semanas, a pesar de que tienen la TAR muy cercana sobre el corredor industrial en donde se reportan estas gasolineras; y están apareciendo porque están teniendo un margen muy alto, incluso marcas como Mobil tiene su centro de distribución propio precisamente en el estado de Guanajuato, en San José Iturbide.",0.5099076611232323,78,27,1,2020
RICARDO SHEFFIELD PADILLA,"Entonces, ellos sí están dando un precio promedio bajo por tener cercano su centro de distribución, mientras que algunas gasolineras en el corredor industrial están teniendo márgenes muy altos y por eso están apareciendo. Ojalá ya no se pasen tanto de ‘rosca’ y le bajen tantito, porque está siendo muy obviado, no hay razón para justificarlo y el consumidor sí tiene opciones baratas en el caso del corredor industrial claramente Mobil es una de ellas por su centro de distribución en la zona.",0.18193105962942396,83,27,1,2020
RICARDO SHEFFIELD PADILLA,"En el diésel, el combustible diésel más alto lo encontramos en Bahía de Banderas, Nayarit, 22 pesos con cuatro centavos, mientras que con un margen de tres pesos 34, mientras que el más económico con un margen de 27 centavos está en Medellín de Bravo, Veracruz, Súper Servicio Los Mangos, 19 pesos con 24 centavos. Súper Servicio Los Mangos, en general, muy, muy buenos precios, de los mejores en México.",0.5788458024726372,70,27,1,2020
RICARDO SHEFFIELD PADILLA,"Si vemos los promedios por marca, los más altos Chevron, RedCo, Arco y los más baratos en promedio Full Gas, Lagas y Orsan; sin embargo, vemos que Petro Seven en estos últimos días ha estado subiendo sus precios y colocándose en los precios más altos cuando habían estado durante mucho tiempo en los precios más bajos, quién sabe que les picó a los de Petro Seven.",0.051600399235845563,66,27,1,2020
RICARDO SHEFFIELD PADILLA,"En verificación de gasolineras atendimos 338 denuncias a través de la app de Litro por Litro y lo hicimos con 217 visitas o verificaciones, todas permitieron verificar en esta semana. Hubo 30 bombas inmovilizadas por no dar litro de litro.",0.1352497558107039,40,27,1,2020
