Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MODERADOR," Tiene la palabra la doctora Alicia Bárcena, secretaria ejecutiva de la Comisión Económica para América Latina y el Caribe de la Organización de las Naciones Unidas.",0.32823650481604266,26,01,10,2019
MODERADOR," A continuación, toma la palabra la ingeniera María Luisa Albores González, secretaria de Bienestar y nueva presidenta de la Conferencia Regional sobre Desarrollo Social de América Latina y el Caribe.",0.32823650481604266,30,01,10,2019
MODERADOR," Ahora escuchemos a la señora Marina Arismendi Dubinsky, ministra de Desarrollo Rural de la República Oriental del Uruguay.",0.32823650481604266,18,01,10,2019
MODERADOR," Tiene la palabra el señor Luis Felipe López Calva, director regional para América Latina y el Caribe del Programa de las Naciones Unidas para el Desarrollo.",0.32823650481604266,26,01,10,2019
MODERADOR," A continuación hace uso de la palabra el licenciado Marcelo Ebrard Casaubon, secretario de Relaciones Exteriores.",0.32823650481604266,16,01,10,2019
MODERADOR," Ahora escuchemos el mensaje del licenciado Andrés Manuel López Obrador, presidente de los Estados Unidos Mexicanos.",0.32823650481604266,16,01,10,2019
MODERADOR," A continuación, el licenciado Andrés Manuel López Obrador, presidente de los Estados Unidos Mexicanos, realizará la declaración de inauguración de la Tercera Reunión de la Conferencia Regional sobre Desarrollo Social de América Latina y el Caribe, y el Décimo Primer Foro Ministerial para el Desarrollo en América Latina y el Caribe del PNUD.",0.32823650481604266,53,01,10,2019
MODERADOR, De esta manera damos por finalizada la primera parte de este acto.,0.32823650481604266,12,01,10,2019
MODERADOR,Los invitamos a permanecer en sus lugares para continuar con la conferencia de prensa.,0.32823650481604266,14,01,10,2019
MODERADOR,Buenos días.,0.32823650481604266,2,01,10,2019
