Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA,"  Buenos días, presidente; buenos días, secretarios y comandantes.",0.32823650481604266,8,15,10,2019
PREGUNTA,"Shaila Rosagel, de Grupo Healy, El Imparcial, La Crónica y Frontera de Tijuana.",0.32823650481604266,13,15,10,2019
PREGUNTA,"Son algunas preguntas sobre seguridad, de lo que ha estado ocurriendo en Sonora. En Sonora, la alcaldesa de Guaymas, Sara Valle, denunció un atentado en su contra el jueves pasado. Por la noche, un auto de su propiedad fue baleado frente a su propiedad donde ella se encontraba.",0.32823650481604266,48,15,10,2019
PREGUNTA,"En la región de Guaymas y Empalme se han presentado ataques armados de sicarios, se han quemado viviendas, se han asesinado personas, como todos sabemos, lo que ocurrió con la familia donde falleció un niño y su mamá.",0.32823650481604266,38,15,10,2019
PREGUNTA,"La violencia sigue también en Ciudad Obregón a pesar de que se ha indicado que la región está bajo el mando de la Secretaría de Seguridad y Protección Ciudadana con el secretario Durazo, con la Guardia Nacional.",0.32823650481604266,37,15,10,2019
PREGUNTA,"¿Qué le han informado de la violencia que hay en esta región?, ¿para cuándo se esperan resultados de las estrategias que se están implementando en esta zona? Esa sería una pregunta en concreto. Y tengo otra, pero si gusta esta.",0.32823650481604266,40,15,10,2019
PREGUNTA," Alcaldes y sectores han hablado del recorte para 2020 al Programa de Fortalecimiento para Municipios, el Fortaseg. Argumentan que en 2019 se redujo y lo mismo se perfila para este año.",0.32823650481604266,31,15,10,2019
PREGUNTA,"La pregunta es: ¿por qué reducir este recurso que explican va destinado a las prestaciones de las policías, equipamiento, capacitación y otros aspectos de las corporaciones?",0.32823650481604266,26,15,10,2019
PREGUNTA,¿De qué manera se apoyará al fortalecimiento a las policías municipales y estatales?,0.32823650481604266,13,15,10,2019
PREGUNTA,"Ayer estaban hablando de aumento en el Fortamun, Quisiera que me explicaran un poco si se disminuyó en el otro fondo para aumentarse en este del Fortamun.",0.32823650481604266,27,15,10,2019
PREGUNTA,¿Qué diferencia hay en esto y por qué se tomó esta decisión? Esa sería.,0.32823650481604266,14,15,10,2019
PREGUNTA,"Tengo una para el general Rodríguez Bucio, pero pues si gusta.",0.32823650481604266,11,15,10,2019
PREGUNTA," Muy buenos días, presidente y secretarios. Ramón Flores, corresponsal de Los Ángeles Press, de Guadalupe Lizárraga.",0.32823650481604266,16,15,10,2019
PREGUNTA,"Señor presidente, desde su gobierno se ha incentivado a denunciar la corrupción de servidores públicos; pero los denunciantes, en vez de ser reconocidos por su valor cívico, son víctimas de represalias y de campañas de acoso que ponen en riesgo sus vidas.",0.32823650481604266,42,15,10,2019
PREGUNTA,"El 5 de marzo de 2019 la doctora Donají Columba Martínez Martínez, subdirectora médica del IMSS del estado de Oaxaca, inició una serie de denuncias por las irregularidades en la Jefatura de Prestaciones Médicas del estado. Una de las más graves es la falsificación y clonación de recetas de fentanilo, que es un narcótico controlado para cirugías mayores.",0.32823650481604266,58,15,10,2019
PREGUNTA,"Además, denunció con evidencia videográfica el robo de medicamentos y expedientes en farmacias del IMSS, desfalcos de medicamentos en el Hospital General de la Zona 1 de Oaxaca, el sobreprecio de hasta un 300 por ciento en la compra de medicamentos y la contratación de laboratorios por adjudicación directa que no están debidamente registrados ante las autoridades de salud.",0.32823650481604266,59,15,10,2019
PREGUNTA,"Incluso la delegada del IMSS, Concepción Rueda Gómez, pretendía obligar a la doctora Martínez a dar atención médica a personas que no son derechohabientes y a otorgar subrogaciones de servicios médicos a familiares de la delegada o personas cercanas a ella.",0.32823650481604266,41,15,10,2019
PREGUNTA,"Por todas estas denuncias formalmente sustentadas ante las autoridades del IMSS, se desplegó una campaña de acoso y hostigamiento laboral contra la denunciante y contra quien la apoyara con testimonios y evidencias.",0.32823650481604266,32,15,10,2019
PREGUNTA,"Por estos hechos también puso una queja ante la Secretaría de la Función Pública, ante la CNDH, a la Fiscalía General de la República, al director general del IMSS, Zoé Robledo Aburto. Incluso le envió un escrito a usted, señor presidente, el día 26 de junio del 2019, pero hasta ahora el acoso y las irregularidades en el IMSS continúan.",0.32823650481604266,60,15,10,2019
PREGUNTA,"Presidente, mi pregunta es: ¿Ha considerado medidas de prevención contra represalias para quienes denuncien actos de corrupción de servidores públicos o cómo estimular esta práctica cívica?",0.32823650481604266,26,15,10,2019
PREGUNTA,Y ahorita le hago la segunda pregunta.,0.32823650481604266,7,15,10,2019
