Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ARTURO TRINIDAD GONZALEZ, Excelente día a todos ustedes y muchas gracias por su presencia.,0.32823650481604266,11,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Bueno, como ya lo expuso el señor gobernador, el estado de Oaxaca ha trabajado de manera intensa en lo que corresponde a la seguridad pública, y por lo que respecta a homicidios dolosos lo tenemos en el lugar número 11.",0.32823650481604266,40,18,10,2019
ARTURO TRINIDAD GONZALEZ,"En lo general ya se habló, estos son los delitos que regularmente toma el Secretariado Ejecutivo para poder ver el lugar en que se encuentran los estados. El estado de Oaxaca lleva una tendencia a la baja en la generalidad de todos los delitos, ocupando -como ya lo expresó el señor gobernador- el lugar número 22.",0.32823650481604266,56,18,10,2019
ARTURO TRINIDAD GONZALEZ,"El despliegue operativo que mantiene el estado de Oaxaca obedece principalmente a la orografía tan diversa y accidentada que tiene el estado, hay áreas que se aíslan de otras y eso es lo que hace también que tenga una gran riqueza cultural.",0.32823650481604266,42,18,10,2019
ARTURO TRINIDAD GONZALEZ,"En lo particular, la Secretaría de la Defensa Nacional mantiene una presencia permanente en las instalaciones de seguridad estratégicas con cuenta este estado; también tenemos tropas permanentes. Nuestro efectivo general son seis mil 958. La Secretaría de Marina igualmente mantiene una presencia permanente en el Puerto de Salina Cruz y en donde haya necesidad.",0.32823650481604266,54,18,10,2019
ARTURO TRINIDAD GONZALEZ,"En sus efectivos, la Guardia Nacional actualmente tiene aquí nueve coordinaciones regionales, que se van a incrementar en los dos años subsecuentes, ahorita se cuenta con un efectivo de dos mil 31 elementos. La policía estatal también tiene una presencia con cuatro mil 790 y la municipal con cinco mil 402.",0.32823650481604266,51,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Este efectivo en su totalidad es de 19 mil 564 elementos, que a pesar de todo requerimos contar con mayor presencia, y son efectivos que paulatinamente se van a ir incrementando hasta alcanzar lo que nos marca la media nacional de 300 elementos policiacos por cada 100 mil habitantes; sin embargo, actualmente es suficiente para las actividades que se presentan en este estado.",0.32823650481604266,63,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Como conclusión tenemos aquí cuatro municipios que son los que nos presentan una mayor incidencia, esto no quiere decir que sea permanente, como ya les mencioné, tiene una tendencia a la baja.",0.32823650481604266,32,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Los factores determinantes que nosotros identificamos es una mayor concentración de población en algunos lugares, una inadecuada distribución de policías, hay presencia, en algunos lugares no la tenemos tan fuerte como la requeriríamos.",0.32823650481604266,33,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Hay pugnas todavía de límites territoriales entre los municipios, como con otros estados, son cuestiones que han ido avanzando poco a poco.",0.32823650481604266,22,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Tenemos también cultivo y trasiego de enervantes, y tenemos una ventana de oportunidad en el marco legal, que ya está trabajando el gobierno del estado.",0.32823650481604266,25,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Los motivos de la incidencia delictiva, tenemos todavía aquí robo de hidrocarburos. Debo decirles que en lo que lleva esta administración ha bajado bastante este delito, tenemos nada más 73 tomas aquí que ya fueron atendidas y resueltas.",0.32823650481604266,38,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Por lo que respecta al narcomenudeo, pues es un problema que se nos ha presentado a nivel nacional. El actual gobierno federal está atacando este problema y las causas principalmente, que es lo que nos va a ayudar realmente a resolverlo, no atacando directamente los delitos.",0.32823650481604266,46,18,10,2019
ARTURO TRINIDAD GONZALEZ,Las pugnas que tenemos aquí en los límites. Nosotros estamos identificando como oportunidad para abatir estos problemas lo siguiente:,0.32823650481604266,19,18,10,2019
ARTURO TRINIDAD GONZALEZ,Balancear la distribución del efectivo policiaco.,0.32823650481604266,6,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Una mayor disciplina con los cuerpos policiacos, esto es adiestramiento que se les va a impartir, tanto por sus mandos, como por parte de las autoridades federales.",0.32823650481604266,27,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Fortalecer la inteligencia y la judicialización para reducir la delincuencia, como ya el señor gobernador lo expresó de manera detallada.",0.32823650481604266,20,18,10,2019
ARTURO TRINIDAD GONZALEZ,"Fomentar la participación ciudadana, que esto es lo que realmente nos puede apoyar de manera sustantiva a nivel estado y a nivel nacional, lo más importante siempre es la participación de la ciudadanía.",0.32823650481604266,33,18,10,2019
ARTURO TRINIDAD GONZALEZ,Es todo. Muchas gracias.,0.32823650481604266,4,18,10,2019
