Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos días, ¿cómo están?",0.9180458850560237,4,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a informar sobre la campaña en contra de las adicciones. Es un tema muy importante, queremos estar constantemente informando a todos los mexicanos, que nos acompañen en este tema. Es una prioridad el que podamos informar, orientar, concientizar para que los jóvenes no caigan en el consumo de drogas, que no lo enganchen, porque eso es el infierno; y que hay otras opciones, otras vías para ser feliz, desde luego con actividades recreativas sanas, el compañerismo, el deporte, el trabajo, el estudio, la convivencia familiar. La vida es lo más bello que existe, no el camino de la felicidad efímera, el escape, la drogadicción, eso no es vida.",0.5440304531366607,109,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros tenemos la responsabilidad de informar, de transmitir mucha información. No sólo es utilizar las medidas coercitivas para garantizar la paz, ni siquiera eso es lo más efectivo, lo más efectivo es siempre prevenir; y por eso esta campaña de orientación a los jóvenes.",0.11532586773441414,44,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos a dedicar todos los recursos. ¿Se acuerdan como se decía antes para amenazar a opositores o adversarios?, se decía: ‘Vamos a usar toda la fuerza del Estado, la razón de Estado’. Pues así va a ser, la razón de Estado, toda la fuerza del Estado, todos los recursos del Estado, todos los instrumentos que tiene el Estado para atender a los jóvenes, informándolos sobre este asunto.",0.07421103810507912,68,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Desde luego se está atendiendo el que haya trabajo, que nadie se quede sin la oportunidad de estudiar, esa es la base. Ya conocen ustedes el programa de becas para jóvenes, conocen el programa Jóvenes Construyendo el Futuro.",0.16770431479118372,38,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Los que antes llamaban ninis, que ni estudiaban ni trabajaban, esa forma despectiva de llamar a los jóvenes sin hacer nada, lo único que hicieron fue acuñar esa frase; ahora todos los jóvenes tienen oportunidad de capacitarse y de tener trabajo, esto para que no se diga: ‘¿Y qué voy a hacer, si no tengo opciones, si no tengo alternativas?’ Sí hay alternativas, no es la única opción el trabajar como ‘halcón’, ser enganchado para estar al servicio de la delincuencia. Hay formas de trabajar.",0.005148830918279509,85,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también se está creando la infraestructura de atención en el territorio, de atención a los jóvenes, que esto es muy importante, a dónde acudir, qué hacer ante un problema de ansiedad, de salud y la campaña de medios.",0.5170225984375271,39,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"He dado la instrucción que no vamos a transmitir durante algún tiempo mensajes sobre lo que estamos haciendo en el gobierno más que la campaña en contra de las adicciones. Eso es lo que se va a estar escuchando y viendo en radio, en televisión, en los periódicos, sólo eso durante un tiempo; y más adelante, así como tenemos el quién es quién en los precios de los combustibles, vamos a estar informando un día a la semana sobre este plan: qué es el fentanilo, por qué se propago, los efectos que produce, todo.",0.0659755302916496,94,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Aquí tenemos que informarnos bien todos, capacitarnos bien todos y todo el apoyo del Estado para el plan de difusión, tanto por los convenios de publicidad que se tienen, como el uso de los tiempos oficiales, todo destinado a este propósito; porque si no detenemos el consumo, es muy difícil enfrentar el problema de la inseguridad y de la violencia y, lo más grave, todo el daño que ocasiona, el sufrimiento de los jóvenes, el sufrimiento de las familias, todo esto que no queremos que suceda.",0.1482680762485672,86,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos muchas cosas a favor, elementos buenos, por eso me atrevo a plantear que vamos a tener éxito. El elemento principal a favor es la cultura que hay en nuestras familias y en nuestros pueblos, eso es el fundamento. A pesar de que con la política neoliberal se esmeraron en destruir a la familia, que se desintegraron muchas familias, que se perdieron valores culturales, morales, espirituales, ahí está la familia y ahí está la cultura en los pueblos; y tan es así que nosotros no teníamos el problema de consumo, eso creció en los últimos tiempos.",0.8729338790883368,96,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, por eso es reversible, vamos a poder detener el incremento al consumo y reducir el consumo y hacer a un lado esa forma de vida que no es vida. Entonces, queríamos comentarles esto.",0.009399793937665006,34,29,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El doctor Hugo López-Gatell les va dar un informe en general, también Ricardo Mejía, Lorena Rodríguez, les van a explicar cómo vamos en esta campaña. Hoy tenemos también una reunión con jóvenes con este mismo propósito.",0.532037386373111,36,29,10,2019
