Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente. Buenos días.",0.32823650481604266,7,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a hacer la relatoría de los hechos en Culiacán. Vamos con el trámite que se llevó a cabo basado en este tratado de extradición entre México-Estados Unidos, el cual está vigente desde 1978.",0.32823650481604266,34,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"Este tratado tiene un procedimiento. La primera parte del procedimiento es la orden de detención provisional de Estados Unidos hacia México. Sobre este primer paso, el día 2 de abril la corte federal de Columbia, Estados Unidos, gira la orden de aprensión por los delitos de asociación delictuosa para distribuir drogas en relación a este presunto delincuente.",0.32823650481604266,57,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"El siguiente paso es la petición y respuesta diplomática. En este paso, el día 13 de septiembre de 2019 el gobierno de Estados Unidos solicita a México la orden de detención provisional con fines de extradición.",0.32823650481604266,36,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"El tercer paso, la fiscalía solicita la orden a un juez federal, el 25 de septiembre de este año la fiscalía solicita al Centro de Justicia Penal Federal de Almoloya de Juárez la orden de detención provisional.",0.32823650481604266,37,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y el cuarto paso, el juez federal resuelve sobre esa petición. Se resuelve el 25 también y se emite la orden de detención provisional con fines de extradición del presunto delincuente.",0.32823650481604266,31,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí tenemos la orden de detención provisional, aquí está establecido lo que resuelve el juez, el juez de distrito especializado en el Sistema Penal Acusatorio.",0.32823650481604266,25,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,Este presunto delincuente es de los principales que mueven drogas a Estados Unidos en el ámbito de metanfetaminas y fentanilo. El fentanilo es la droga que actualmente está causando mayores daños a la sociedad en todo el mundo.,0.32823650481604266,38,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"Les vamos a presentar aquí qué es el fentanilo. Aquí están sus características, un analgésico opioide de origen sintético, 100 veces más potente que la morfina, 50 más que la heroína, es empleado para pacientes con dolor crónico, fue desarrollado por la industria farmacéutica desde el 59, provoca intoxicación con el simple contacto de la piel, bastan dos miligramos para causar la muerte, un kilogramo de este enervante cuesta 400 mil dólares americanos, hay tres presentaciones: en polvo, en pastilla, en ampolleta.",0.32823650481604266,82,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"En la presente administración se han asegurado esta cantidad de 142 kilogramos, 313 mil 417 pastillas y 714 ampolletas. Esto es lo que es el fentanilo. Se dedica al trasiego el presunto delincuente.",0.32823650481604266,33,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,El cronograma de la investigación.,0.32823650481604266,5,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí tenemos, el día 4 de octubre se recibe la denuncia con el Ministerio Público. El día 7 se gira el oficio de investigación a la Guardia Nacional, el mismo día 7 se inicia la carpeta de investigación a la Guardia Nacional, el mismo día 7 se inicia la carpeta de investigación.",0.32823650481604266,52,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"El día 8 se emite el oficio de solicitud de colaboración hacia la Secretaría de la Defensa, aquí tenemos el oficio de colaboración donde la parte principal de esto es la finalidad de este oficio de colaboración y es brindar apoyo para garantizar permanentemente la seguridad del personal de la Policía Federal, a quien se encomienda realizar cualquier diligencia que sea necesaria para los fines de esa investigación al relacionarse con personas vinculadas al crimen organizado que por su alto grado de peligrosidad se requiere garantizar la integridad de los elementos de esta división. Este es el oficio de colaboración.",0.32823650481604266,100,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,El día 9 el Ministerio Público federal recibe el primer informe de los agentes federales.,0.32823650481604266,15,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,El día 10 se solicitó a la Guardia el informe de gabinete respecto a lo que se estaba pidiendo.,0.32823650481604266,19,30,10,2019
LUIS CRESENCIO SANDOVAL GONZALEZ,"El día 11 se recibe el informe describiendo lo que se observaba de la tarea que había sido asignada sobre este presupuesto delincuente y los lugares que frecuentaba, y se informa que hay personas que entran en un inmueble y que portan armas de fuego.",0.32823650481604266,45,30,10,2019
