Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.32823650481604266,2,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estoy un poco ronco, pero vamos a cumplir. Los cambios de clima. Estuvimos el fin de semana en la Sierra de Puebla y en la Mixteca poblana y oaxaqueña, una gira extraordinaria con la gente, y siempre hay diferencias de clima, lluvia, que es cosa buena, bendita, que llueva en la Mixteca, en Tepexi de Rodríguez. Y nos fue muy bien, la gente muy contenta.",0.32823650481604266,65,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos a iniciar la semana con dos temas:,0.32823650481604266,8,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como siempre, el Quién es quién en los precios de los combustibles, de las gasolinas.",0.32823650481604266,15,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos a informar sobre el programa Tandas para el Bienestar. Es un programa muy importante que fortalece la economía popular. Nos los van a explicar tanto la secretaria de Economía como la encargada de este programa. Se expone porque ya se han entregado alrededor de 350 mil créditos, pequeños créditos.",0.32823650481604266,51,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Digo en los informes en las plazas que poquito porque es bendito. Son seis mil pesos, pero sin intereses, sin papeleo, sin burocracia. Se entregan los seis mil pesos a quien lo necesita: el que tiene un pequeño negocio, que tiene un taller, los que se dedican a las artesanías para comprar su mercancía, sus herramientas, los que se buscan la vida como pueden, que no son sujetos de crédito para la banca comercial.",0.32823650481604266,74,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, se les entrega este crédito y empiezan a abonar a los tres meses 500 pesos mensuales; terminan de pagar, o ese es el plan, los seis mil y se les entregan 10 mil; cuando terminen de pagar los 10 mil, 15 mil y hasta 20 mil.",0.32823650481604266,47,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, es un programa muy bueno, amplio, y ya va a empezar la recuperación de los primeros meses. Y aprovechamos para convocar a la gente a que empiece a abonar.",0.32823650481604266,30,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Por qué es a la palabra?,0.32823650481604266,6,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque el pueblo de México es un pueblo honesto, no se necesitan garantías, es la palabra. La mayor riqueza de México es la honestidad de su pueblo. Entonces, estamos seguros que así se va a apoyar mucho la economía popular.",0.32823650481604266,40,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto, más todos los programas de Bienestar, más el trabajo de la gente en la autosuficiencia, la siembra, sus actividades productivas, la llegada de la remesa, de mucho dinero que está llegando de nuestros paisanos para sus familiares, todo esto está fortaleciendo la economía desde abajo.",0.32823650481604266,46,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y la gente está contenta abajo. Nunca se había derramado tanto dinero abajo, a los más pobres, y eso es muy importante, es un distintivo de la Cuarta Transformación: atender a todos, escuchar a todos, respetar a todos, pero darle preferencia a la gente humilde, a la gente pobre.",0.32823650481604266,49,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ahora vamos con Ricardo Sheffield.",0.32823650481604266,6,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muy bien.,0.32823650481604266,2,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues eso es básicamente. Si tienen preguntas sobre esto y luego entramos a lo general.",0.32823650481604266,16,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Este es un tema muy importante, Graciela lo trata. Miren, vamos a tener pronto 500 mil y el propósito es llegar a un millón de créditos.",0.32823650481604266,26,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Este programa es de los más solicitados en México por la gente. Yo les recuerdo a ustedes que se hizo un censo, se visitaron las casas para constatar quiénes tenían el derecho a la pensión a adultos mayores, si había una niña o un niño con discapacidad, se levantó un cuestionario en cada domicilio, se tomaron fotos para los beneficiarios de todos los programas.",0.32823650481604266,64,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Originalmente se pensó 500 mil créditos, el resultado es que se llegó a una demanda de siete millones, lo que aquí mencionó Graciela, para estos créditos, cosa que me dio mucho gusto, porque la gente lo que quiere es un poco de apoyo, un pequeño apoyo para poder salir adelante. Entonces, por eso es un programa prioritario, lo vamos a impulsar.",0.32823650481604266,61,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y decirle a la gente que se cumpla, que se abone la tanda mes con mes y en automático se amplía, y así seguimos; y ya nosotros nos hacemos cargo de cubrir la demanda, porque estamos ahorrando y lo que beneficie más al pueblo va a tener más presupuesto, más respaldo presupuestal. Entonces, depende de nosotros. Es muy importante que, a 10 meses, ya se concluyó la primera etapa",0.32823650481604266,69,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y felicitar a Graciela, a Rocío, por manejar este programa, porque ya es una realidad, es cosa ya de irlo ampliando y mejorando, básicamente.",0.32823650481604266,24,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, las dos, lo de capacitación y aranceles.",0.32823650481604266,8,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, si les parece, tema. Sí, adelante.",0.32823650481604266,7,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ya se está haciendo, lo está trabajando la oficina de Presidencia, está elaborando un plan de desarrollo, de fomento a la industria, con prioridad en empresas textiles y de calzado.",0.32823650481604266,30,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos, inclusive, a apoyar con la banca de desarrollo estas dos actividades, que fueron muy castigadas durante el periodo neoliberal, tanto lo textil, como el calzado.",0.32823650481604266,26,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya estamos trabajando en eso y pronto se les va a hacer una presentación que incluye a Economía, a Hacienda, desde luego a SAT, a Aduanas, a todas las dependencias.",0.32823650481604266,30,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí. Miren, se los explico de esta forma. Son cuatro ejes para promover el desarrollo, vamos a decir cuatro eslabones de una cadena:",0.32823650481604266,23,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La economía popular, esto que estamos tratando, abajo, la microeconomía, que es muy eficaz, sobre todo en términos de bienestar para la gente. Aquí se dice que la mayor parte de las empresas en México son pequeñas y medianas, son las que más empleos generan. Entonces, la economía familiar, popular, es un eslabón.",0.32823650481604266,53,7,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Segundo eslabón, proyectos estratégicos impulsados por el gobierno: Tren Maya, el desarrollo del Istmo, el sector energético, aumentar la producción petrolera, mayor capacidad de refinación, la construcción del aeropuerto de Santa Lucía, esos son proyectos que estamos impulsando. Eso sería el segundo eslabón.",0.32823650481604266,43,7,10,2019
