Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.9384397760356878,2,9,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy vamos a presentar a ustedes los avances del programa Sembrando Vida. Es uno de los programas más importantes del gobierno, dirigido a rescatar el campo, a apoyar a los productores del campo. Significa producción, significa empleos, significa arraigar a los campesinos a sus lugares de origen, significa mejorar o proteger el medio ambiente, reconstruir el tejido social, en fin; como su nombre lo indica, es sembrar vida, y el día de hoy vamos a evaluar resultados de este programa.",0.05667964853694876,83,9,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"María Luis Albores, la secretaria del Bienestar; y Javier May van a estar exponiendo sobre este programa, que se conozca, que sepan muchos campesinos, productores, que se va a ampliar este programa en la actualidad, como se va a saber ahora.",0.24416172405395467,41,9,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Está incluyendo la siembra de 500 mil hectáreas, están trabajando alrededor de 200 mil sembradores; el año próximo se amplía al doble, vamos a llegar a un millón de hectáreas con 400 mil sembradores. Es el programa de creación de empleos más grande del país, posiblemente en la historia de México, no sólo en el campo, sino nunca -considero- en un año se haya logrado contratar a 200 mil trabajadores en un programa; y sin duda es el mejor programa en su género en el mundo el Sembrando Vida.",0.28127894228034284,89,9,10,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a escuchar a María Luis Albores sobre este programa.",0.7639509026488702,11,9,10,2019
MARIA LUISA ALBORES GONZALEZ," Gracias, buenos días.",0.841655765462777,3,9,10,2019
MARIA LUISA ALBORES GONZALEZ,"Con su permiso, licenciado Andrés Manuel López Obrador, presidente de México.",0.05571398319324658,11,9,10,2019
MARIA LUISA ALBORES GONZALEZ,"Quisiera comentarles que el día de ayer, 8 de octubre, cumplimos un año de haber presentado lo que era el Sembrando Vida, éramos gobierno en transición y nuestro presidente nos dio una tarea muy importante a la Secretaría de Bienestar.",0.5155220649304869,40,9,10,2019
MARIA LUISA ALBORES GONZALEZ,"Quisiera comentar algo importante y decirles lo siguiente: la Secretaría de Bienestar se siente muy a gusto de albergar este programa, el programa Sembrando Vida. Es un programa que habla de reforestación y de restauración productiva, y no está en Semarnat.",0.5802671596833243,41,9,10,2019
MARIA LUISA ALBORES GONZALEZ,"Es un programa que hablamos de producción, de producción para el bienestar. Hablamos de que vamos a tener cadenas de valor agregado en tres años y vamos a tener también fustes de árboles en 15, 20, 25 años, y tampoco está en Sader.",0.5624659787653896,43,9,10,2019
MARIA LUISA ALBORES GONZALEZ,"Decirles que está en la Secretaría de Bienestar porque el corazón del programa son las personas y lo que buscamos y la misión que tiene este programa es generar el bienestar de las sembradoras y los sembradores. Si el sembrador y la sembradora está bien, su familia va a estar bien; y si están bien las comunidades, las rancherías y los ejidos, van a generar bienestar.",0.03710936586451479,66,9,10,2019
MARIA LUISA ALBORES GONZALEZ,"Y en ese sentido, quisiera compartirles un video y después del video serían ya los datos de los avances que vamos con nuestro programa. Adelante.",0.05570250021433293,25,9,10,2019
