Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buen día, canciller, presidente. Preguntarle sobre el caso de Bolivia.",0.32823650481604266,10,11,11,2019
PREGUNTA,"¿Ya recibió…? Ustedes ofrecen asilo a Evo Morales, ¿ya recibió respuesta por parte de Morales?",0.32823650481604266,15,11,11,2019
PREGUNTA,Y también preguntar si en efecto hubo ataques a la embajada de México en Bolivia.,0.32823650481604266,15,11,11,2019
PREGUNTA,"Y presidente, si me permite una pregunta más tarde.",0.32823650481604266,9,11,11,2019
PREGUNTA,Gracias.,0.32823650481604266,1,11,11,2019
PREGUNTA, ¿Enseguida permitirían la entrada de Evo Morales a México?,0.32823650481604266,9,11,11,2019
PREGUNTA," ¿Qué significa el regreso del golpismo en el cono sur, que parecía superado? ¿Y qué puede esperar México de la Organización de Estados Americanos, cuando con el acta de la democracia en Venezuela apoyo a Guaidó en detrimento del presidente Maduro? Por un lado.",0.32823650481604266,44,11,11,2019
PREGUNTA,"Y respecto a este principio del asilo, está el caso de Haya de la Torre y Apra en su momento.",0.32823650481604266,20,11,11,2019
PREGUNTA,Si usted lo pudiera comentar.,0.32823650481604266,5,11,11,2019
PREGUNTA, ¿Se está reeditando el capítulo de Zelaya y Honduras hace 10 años aproximadamente?,0.32823650481604266,13,11,11,2019
PREGUNTA," Buenos días. Hans Salazar, de ZMG Noticias.",0.32823650481604266,7,11,11,2019
PREGUNTA,"Canciller, el día de ayer usted tuiteó lo siguiente: ‘México, de conformidad a su tradición de asilo y no intervención, ha recibido a 20 personalidades del ejecutivo y legislativo de Bolivia’.",0.32823650481604266,31,11,11,2019
PREGUNTA,La pregunta sería ¿se mantiene este número en 20 o ha aumentado el número de solicitantes de asilo?,0.32823650481604266,18,11,11,2019
PREGUNTA,"Y si es posible, dada la situación, si es prudente, dar a conocer entre qué personalidades son quienes han solicitado.",0.32823650481604266,20,11,11,2019
PREGUNTA,"Gracias, canciller.",0.32823650481604266,2,11,11,2019
PREGUNTA, Estos solicitantes de acuerdo…,0.32823650481604266,4,11,11,2019
PREGUNTA," Gracias. Esteban Durán, Diario Basta, Grupo Cantón.",0.32823650481604266,7,11,11,2019
PREGUNTA,"Canciller, ¿ya algunos países latinoamericanos se han manifestado con ustedes, con el gobierno respecto a la postura del gobierno mexicano?",0.32823650481604266,20,11,11,2019
PREGUNTA,Y si ustedes también ya han manifestado su postura respecto al nuevo gobierno golpista que está en este momento; si ya lo rechazaron ¿o cuál es su manifestación contra ellos?,0.32823650481604266,30,11,11,2019
PREGUNTA," Buenos días, desde Argentina, de La García y para los medios públicos de América Latina.",0.32823650481604266,15,11,11,2019
PREGUNTA,"Me gustaría saber qué consideración tiene sobre la posibilidad, la importancia de recuperar organismos como la Unasur y Celac para construir un equilibrio frente a estos escenarios.",0.32823650481604266,27,11,11,2019
PREGUNTA,"Y también quisiera si pudieran pronunciarse sobre la reunión del Grupo de Puebla, que fue presidido por Alberto Fernández como anfitrión este fin de semana en Buenos Aires.",0.32823650481604266,28,11,11,2019
PREGUNTA,Muchas gracias.,0.32823650481604266,2,11,11,2019
PREGUNTA, Sobre la importancia de organismos como recuperar Unasur y Celac frente a este silencio.,0.32823650481604266,14,11,11,2019
PREGUNTA," Gracias, buenos, del Sistema Público de Radiodifusión Canal 14.",0.32823650481604266,9,11,11,2019
PREGUNTA,Preguntarle si considera que hay algún mensaje que deba de tomar México respecto a lo que ocurrió allá en Bolivia.,0.32823650481604266,20,11,11,2019
PREGUNTA," Sí, bueno, me refiero… porque en las redes sociales se vio gente que está a favor y en contra de lo que ocurrió.",0.32823650481604266,23,11,11,2019
PREGUNTA,¿Qué opina México?,0.32823650481604266,3,11,11,2019
PREGUNTA," Buenos días. Ignacio de Alba, de Pie de Página.",0.32823650481604266,9,11,11,2019
