Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Muchas gracias, señor presidente.",0.32823650481604266,4,11,11,2019
RICARDO SHEFFIELD PADILLA,Muy buenos días a todas y a todos ustedes.,0.32823650481604266,9,11,11,2019
RICARDO SHEFFIELD PADILLA,"Quién es quién en los precios de las gasolinas. Estamos reportando que la gasolina regular, con un margen de 3.47 pesos por litro tiene el precio más alto, con el margen más alto, en Esmerald Gas, Los Cabos, Baja California, 21.99 por litro ya lleva tiempecito esta joyita, ahí en este lugar; y el más económico Costco Gas, Centro, Tabasco, 17.70 por litro precio al público, 23 centavos de margen.",0.32823650481604266,70,11,11,2019
RICARDO SHEFFIELD PADILLA,"En el caso de la gasolina Premium, el más alto, con el margen más alto, aquí en la Ciudad de México en Benito Juárez, 22 pesos con 89 centavos por litro en Mega Gasolineras, con un margen de 3.95 por litro; y el más económico, con un margen de 55 centavos lo encontramos en Veracruz, Veracruz, a litro, Luz del Carmen Fontan.",0.32823650481604266,62,11,11,2019
RICARDO SHEFFIELD PADILLA,"En el caso del combustible diésel, Despachadora de Abastos Jalisco, en Zapopan, Jalisco, a 22 pesos 35 centavos por litro es el precio más alto, con un margen de tres pesos 54 centavos; mientras que el más económico en Medellín de Bravo, Veracruz, 18.89 por litro, Súper Servicio los Mangos, que también ha estado aquí varias veces, en 30 centavos de margen.",0.32823650481604266,62,11,11,2019
RICARDO SHEFFIELD PADILLA,"Las marcas con los precios más altos en promedio en el país es Chevron, RedCo y Shell, mientras que las más económicas en promedio son Total, Gulf y LaGas.",0.32823650481604266,29,11,11,2019
RICARDO SHEFFIELD PADILLA,"En el siguiente, que es las acciones de verificación a las estaciones de servicio de gasolinas, a las gasolineras, atendimos 180 denuncias presentadas a través de la app Litro por Litro a través de 143 visitas o verificaciones.",0.32823650481604266,38,11,11,2019
RICARDO SHEFFIELD PADILLA,"Fueron dos gasolineras las que en esta ocasión no se dejaron verificar, inmovilizamos 24 bombas. Las dos gasolineras que no se dejaron verificar fue Servicios Integrados de Sotavento, en Ángel Cabada, en Veracruz, y Gasolinera de Los Tuxtlas, en Santiago Tuxtla, Veracruz, para que los consumidores eviten ir a esas gasolineras que no se dejan verificar, porque obviamente algo están escondiendo.",0.32823650481604266,61,11,11,2019
RICARDO SHEFFIELD PADILLA,"Y hablando de cosas escondidas, en el estado de Tamaulipas, sin poder dar más datos sobre la gasolinera para respetar el debido proceso, tras varias reuniones de coordinación con la Fiscalía General de la República, reestablecimos un protocolo para realizar las verificaciones. Iniciamos nosotros la verificación normal, de acuerdo a las normas oficiales mexicanas por parte de Profeco, pero cuando descubrimos un rastrillo, entonces interviene la Fiscalía General de la República, que ya nos acompaña a la verificación para que ese pillo no se nos escape, porque en realidad lo que están haciendo es robando a los consumidores.",0.32823650481604266,98,11,11,2019
RICARDO SHEFFIELD PADILLA,"Y ustedes pueden ver que se ha sofisticado bastante el tema del rastrillo. Este es el rastrillo viejo que detectamos, el que se ve hasta unos pedacitos de cartulina para separar esta tablilla que se adicionó. Estimamos que estas pueden estarse usando desde hace unos 15 años, más o menos; mientras que se ocupa una preparación muy especial para lograr detectar esos dos pequeños cables y una pieza adicional muy pequeña en lo que es el tablero de control, el cerebro de la bomba.",0.32823650481604266,84,11,11,2019
RICARDO SHEFFIELD PADILLA,"Y esto es lo que encontramos en Tamaulipas, que además es más efectivo, porque pueden robar exactamente lo que quieren y lo pueden hacer por variaciones de minuto a minuto a lo largo del día.",0.32823650481604266,35,11,11,2019
