Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, El día que decidí salir huyendo fue al ver en la inocente mirada de mis hijos la desesperanza y la incomprensión.,0.32823650481604266,21,25,11,2019
PREGUNTA,"Toda mi vida y mi historia se convirtieron en fuerza, en instinto de supervivencia, en un intento por exigir mis derechos y hacerlos valer a toda costa.",0.32823650481604266,27,25,11,2019
PREGUNTA, No fue fácil recuperar la esencia personal arrebatada años antes por aquel que pasó tan cerca de mí que pudo susurrar obscenidades en mi oído o por el arrendatario que me sometió contra la pared al salir del baño o por el médico que me ultrajó en una sala de hospital.,0.32823650481604266,51,25,11,2019
PREGUNTA," Hoy me expresan de ti siendo aquella que nunca pude ser estando contigo y estoy muy agradecida porque, aunque en su momento fuiste lo peor que en mi corta vida pudo haberme pasado, me di la oportunidad de superar aquellas dolencias internas y poder hacer así romper este círculo de violencia.",0.32823650481604266,51,25,11,2019
PREGUNTA," He vivido en carne propia la muerte de una mujer por esta violencia de género, la que inicia en casa, la que se oculta bajo los velos de lo permitido, la misma que yo viví y de la que un día, por encima de todo, me armé de valor y tuve la fortuna de salir y darle reestructura a mi vida e intento por cualquier medio ser el canal que ayude a hacer consciencia de lo que nunca debemos permitir.",0.32823650481604266,80,25,11,2019
PREGUNTA," Revivir esas pesadillas hechas experiencia con el fin de perdonar. Perdonarme a mí misma por pensar que fue mi culpa al ir con ese médico, rentar aquel cuarto, transitar por la calle, porque no fue mi culpa.",0.32823650481604266,37,25,11,2019
PREGUNTA," La violencia empieza desde el noviazgo, empieza desde las relaciones afectivas que uno se da cuenta que detrás de esa simulación de noviazgo, detrás de esa simulación de una amistad hay un trasfondo detrás de eso. Entonces, es importante que las personas como yo abran un poquito su espacio para que puedan ver más allá de lo que ven sus ojos.",0.32823650481604266,61,25,11,2019
PREGUNTA," Todas las mujeres que conozco han sufrido algún tipo de acoso, abuso, violencia sexual, todas.",0.32823650481604266,15,25,11,2019
PREGUNTA," Una mujer lastimada significa una sociedad lastimada, que no atiende el problema porque nos falta educación y valores, nos falta crear familias más sanas para lograr historias más sanas, y un sistema que entienda que el valor que esta problemática tiene, que deje de pensar que estamos en desventaja.",0.32823650481604266,49,25,11,2019
PREGUNTA,"Un día ocioso cualquiera me sorprende el cruel recuerdo que ocasionó la cicatriz, observó pasar el pensamiento y sigo con la cabeza en alto, sonrío de saberme fuerte, contemplo la realización de que no sólo sobreviví, sino vivo, vivo feliz.",0.32823650481604266,40,25,11,2019
PREGUNTA,"Fue un cambio interno que a mí me dio más valía, me reconocí más como mujeres, como lo que soy, como lo que quería. Entonces, todo mi entorno también empezó a cambiar afortunadamente.",0.32823650481604266,33,25,11,2019
PREGUNTA, Que nosotras nos desconozcamos a nosotras mismas es el proceso más difícil que se vive para tomar este tipo de decisiones.,0.32823650481604266,21,25,11,2019
PREGUNTA," Cuando nombras la violencia que sufriste, cuando la identificas, entonces empiezas a deslindar responsabilidades y de identificar quién fue el violentador y cómo sucedió, y que es responsabilidad sola y exclusivamente de quien violenta.",0.32823650481604266,34,25,11,2019
PREGUNTA,": Yo empecé a sentirme tan violentada, tan llena de cosas que no me gustaban y que yo sabía que no debía de permitir. Ese fue el momento yo creo en el yo dije: Esto no está bien y tengo que buscar la manera de salir de este círculo que me está destruyendo día con día.",0.32823650481604266,56,25,11,2019
PREGUNTA," Cuando uno empieza por la dignidad de su propia persona, todo lo que venga se podrá superar.",0.32823650481604266,17,25,11,2019
PREGUNTA," Muchas de estas historias tienes consecuencias muy graves y creo que llegó el punto en el que las mujeres debemos de decir: ‘Hasta aquí’, poner un alto y decir: ‘No más’.",0.32823650481604266,31,25,11,2019
PREGUNTA," Lo más importante sí es darnos cuenta que no estamos solas, que somos todas las que sufrimos esto y tomarnos de la mano y acompañarnos, porque sí se puede.",0.32823650481604266,29,25,11,2019
PREGUNTA, Gobierno de México.,0.32823650481604266,3,25,11,2019
PREGUNTA," Señor presidente, a propósito del tema original. La canciller Ángela Merkel dijo una frase importante que ahora toma la iniciativa para usted señora secretaria de Gobernación, Spotlight de la Unión Europea, dijo la canciller Merkel: ‘Ich liebe die Freiheit’, ‘amo la libertad’, y con eso bajó la incidencia en ataque a mujeres en la Unión Europea.",0.32823650481604266,56,25,11,2019
PREGUNTA,¿El gobierno mexicano asume la iniciativa Spotlight de la Unión Europea en ese particular?,0.32823650481604266,14,25,11,2019
PREGUNTA,"Y para el canciller, señor presidente, es esta pregunta. Él como secretario de Relaciones Exteriores con Manuel Camacho conoció una propuesta del candidato independiente Henry Ross Perot, que México necesitaba incrementar sus salarios para aprobar un acuerdo laboral.",0.32823650481604266,38,25,11,2019
PREGUNTA,"Le preguntaría, canciller, si como secretario de Relaciones Exteriores, conocían esa iniciativa y las condiciones o el llamado de Perot concluyen en estos tiempos con esa condición.",0.32823650481604266,27,25,11,2019
PREGUNTA," Finalmente, para las presidentas del Congreso, señor presidente, si ellas estarían en condición -a la presidenta de la Cámara de Diputados y del Senado- en hacer la interparlamentaria con las naciones del Triángulo Norte para evitar las acciones contra pequeñas y mujeres, dado que el ingreso del sur al norte del Suchiate ese tipo de vejaciones son presentes.",0.32823650481604266,58,25,11,2019
PREGUNTA,Eso es todo.,0.32823650481604266,3,25,11,2019
PREGUNTA," Gracias, buenos días a todos y a todas.",0.32823650481604266,8,25,11,2019
PREGUNTA,"Preguntar, por un lado, sobre el tema de las mujeres. ¿En qué quedó lo de los refugios para mujeres víctimas de violencia que se operaban con sociedad civil?, ¿cuánto dinero se destinó en el presupuesto, cuántas mujeres están siendo atendidas?, en fin.",0.32823650481604266,42,25,11,2019
PREGUNTA,"Y, por otro lado, preguntarle a la presidenta del Senado. Vimos hace unos días jaloneos en el Senado cuando se aprobó lo de Rosario Piedra. Preguntarle si iniciaron algún tipo de denuncia por este tipo de violencia política que se dio en este Senado.",0.32823650481604266,44,25,11,2019
PREGUNTA,"Y para el presidente, si me permite preguntarle sobre esta solicitud de la familia LeBarón al gobierno de Estados Unidos para que los grupos del narcotráfico se declaren como terroristas allá en ese país.",0.32823650481604266,34,25,11,2019
PREGUNTA,Gracias.,0.32823650481604266,1,25,11,2019
PREGUNTA, Gracias. ¿Qué presupuesto se destinó para el próximo año?,0.32823650481604266,9,25,11,2019
PREGUNTA," Para el próximo año me refiero, perdón.",0.32823650481604266,7,25,11,2019
PREGUNTA," Se aprobó, perdón.",0.32823650481604266,3,25,11,2019
PREGUNTA, Gracias.,0.32823650481604266,1,25,11,2019
PREGUNTA," Si, ¿iniciarán un juicio de procedencia contra quién?",0.32823650481604266,8,25,11,2019
PREGUNTA," Buenos días, presidente. Alberto Marroquín Espinosa, de JF Informa, desde Cancún, Frecuencia CAD y Es Ahora AM, de Querétaro.",0.32823650481604266,19,25,11,2019
PREGUNTA,"Existe un desperdicio de alimentos en México por siete mil millones de pesos. Recientemente se han comunicado iniciativas en favor de la seguridad alimentaria e incluso se asumió la presidencia de la Confederación Regional de la Cepal. En contexto debo decir que, de acuerdo a una investigación del Banco Mundial y del Instituto Politécnico Nacional, se pierden o desperdician alrededor del 35 por ciento de todo el alimento que se produce, es decir, que son 20.4 millones de toneladas al año. Una cifra conservadora, ya que sólo se toman en cuenta 79 productos que se concentran en zonas rurales, obviamente no tomamos la parte de las zonas urbanas.",0.32823650481604266,108,25,11,2019
PREGUNTA,"En consecuencia, en términos de gases de efecto invernadero se emiten al año 36 millones de toneladas de CO2, equivalente a 16 millones de vehículos, lo que equipara el total de los vehículos que circulan en la Ciudad de México, Jalisco y Nuevo León.",0.32823650481604266,44,25,11,2019
PREGUNTA,Con ese nivel de desperdicio se podría alimentar a 7.4 millones de mexicanos en pobreza que sufren hambre crónica.,0.32823650481604266,19,25,11,2019
PREGUNTA,"En términos de agua hablamos de 40 mil millones de metros cúbicos de uso, lo que sería suficiente para dotar de agua a toda la población de México durante 2.5 años.",0.32823650481604266,31,25,11,2019
PREGUNTA,"Por citar algunos ejemplos, además del desperdicio que se da en alimentos, le puedo decir en que carne de res se desperdician 37 tráileres diarios, lo que equivale al año de 552 mil toneladas al año; en pollo son 19 tráileres diarios, lo que equivale en 75 millones, 75 mil toneladas al año; y así tenemos varios ejemplos.",0.32823650481604266,58,25,11,2019
PREGUNTA,"Entonces, como le comentaba, el desperdicio total al año son siete mil millones. La pregunta es, presidente: los problemas de origen son variados, entre los que los que son el orden logístico, en la distribución de alimentos, los problemas de mercado, la falta de regulación, la ausencia de capacitación para evitar desperdicios, infraestructura y tecnología.",0.32823650481604266,55,25,11,2019
PREGUNTA,"Aquí la pregunta es: ¿Considera usted, presidente, emprender en su administración acciones o programas para enfrentar esta problemática? En ese caso Segalmex es la responsable de esta área.",0.32823650481604266,28,25,11,2019
PREGUNTA,"Gracias, presidente.",0.32823650481604266,2,25,11,2019
PREGUNTA, Gracias. Buenos días a todos.,0.32823650481604266,5,25,11,2019
PREGUNTA,"Para preguntarle al subsecretario Jesús Seade, por favor. Si nos pudiera dar más detalles de estas pláticas que dice, pues están circulando en los Estados Unidos en las que se han hecho propuestas que México no aceptaría. Usted lo señaló hace unos momentos en su exposición.",0.32823650481604266,46,25,11,2019
PREGUNTA,"Y para el presidente de la República, si me hace favor. Marcelo Ebrard ha dicho que el caso de LeBarón lleva avances y entiendo evidentemente, pero lo que ha ocurrido en las últimas semanas en Tamaulipas, por ejemplo, y en los últimos meses también, y lo que ocurrió en Culiacán son otros dos ejemplos de dónde están y qué dimensión tienen estas organizaciones criminales al hablar de narcoterrorismo.",0.32823650481604266,68,25,11,2019
PREGUNTA,"¿Cómo las clasifica su gobierno, el gobierno de la Cuarta Transformación, a este tipo de organizaciones criminales que han visto que al atacar a la población civil esta estrategia las fortalece?, ¿cómo las tiene clasificadas?",0.32823650481604266,35,25,11,2019
PREGUNTA," En su perspectiva, subsecretario, ya nada más, ya no se firmó este año y el año electoral… aquí estoy, Isabel González, de Grupo Imagen.",0.32823650481604266,24,25,11,2019
