Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANTONIO DEL VALLE PEROCHENA," Señor presidente, buenos días. Con su permiso.",0.32823650481604266,7,26,11,2019
ANTONIO DEL VALLE PEROCHENA,Muchas gracias por esa apertura mostrada para la creación de este Acuerdo Nacional de Inversiones en Infraestructura.,0.32823650481604266,17,26,11,2019
ANTONIO DEL VALLE PEROCHENA,Muy buenos días a todos.,0.32823650481604266,5,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Gracias también a todos los funcionaros que han estado involucrados en este proceso. El acuerdo que hoy anunciamos es sin duda un paso importantísimo, el resultado es del esfuerzo que durante varios meses han venido desarrollando un grupo de personas tanto del sector público como del privado.",0.32823650481604266,47,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Quisiera aprovechar este espacio para agradecer a la Asociación Nacional de la Industria Química, a la ANIQ, a la Cámara Mexicana de la Industria de la Construcción, al Consejo Coordinador Empresarial por supuesto y a todos los organismos que lo integramos, en especial hay que mencionar todo el apoyo que hemos tenido de Grupo Carso y de FOA, también de Grupo Alfa y de Cemex para lograr esto, así como de todos aquellos que de alguna manera han apoyado la integración de este primer paquete de proyectos.",0.32823650481604266,87,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"La inversión privada es fundamental para detonar el crecimiento y el desarrollo económico de México, para ello es indispensable el apoyo y compromiso del gobierno federal y de los gobiernos estatales y municipales.",0.32823650481604266,33,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Como han podido observar, uno de los temas más importantes que hoy se anuncia y la base de todo esto es la puesta de marcha de este mecanismo que va a facilitar y agilizar los instrumentos de proyectos de inversión privada.",0.32823650481604266,41,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Este mecanismo permite dar seguimiento puntual a los proyectos, agilizar los trámites en estricto apego a la ley y resolver los principales obstáculos que se puedan identificar.",0.32823650481604266,27,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Esta primera entrega debe sentar las bases para que en los próximos meses se detonen muchos proyectos más en logística, comunicaciones, telecomunicaciones, salud, turismo, agua y saneamiento, pero sobre todo en el sector energético que es lo que más necesita México para contar con industrias eficientes y competitivas.",0.32823650481604266,48,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Hoy el país requieres desarrollar fuentes de energía barata y eficiente. Debemos ver a la energía como fuente de desarrollo doméstico, no nada más como producto a exportar. Si México sigue detonando proyectos se va a necesitar mucha energía.",0.32823650481604266,39,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Este anuncio es sólo el comienzo, pues para lograr estas tasas de crecimiento que establece el Plan Nacional de Desarrollo es necesario seguir sumando proyectos en este mecanismo de colaboración público-privado y generar un círculo virtuoso para el crecimiento.",0.32823650481604266,39,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"México se encuentra en una coyuntura única, donde la desaceleración económica mundial y las bajas tasas de interés hacen que seamos uno de los pocos países con oportunidad de ofrecer proyectos viables con rendimientos adecuados.",0.32823650481604266,35,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Y ya como nos comentó Luis Niño, hay disponibilidad de financiamiento para proyectos en el país y en el extranjero. No obstante, para asegurar las inversiones se requiere de un Estado de derecho que dé certeza a los inversionistas nacionales y extranjeros; reglas claras y acuerdos como este generan certidumbre.",0.32823650481604266,50,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Un Estado que promueve y cuida la inversión privada es un Estado que se preocupa por el bienestar de su población. Entre más inversión haya, más oportunidades se generarán para todos los mexicanos.",0.32823650481604266,33,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"La inversión debe enfocarse sobre todo a los más necesitados, a aquellos que nunca han tenido acceso a oportunidad alguna. Es por ello que una parte importante de los proyectos que hoy se anuncian y los que vendrán se desarrollarán en las regiones más rezagadas del país.",0.32823650481604266,47,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Debemos capitalizar la coyuntura única que estamos viviendo. A pesar de estar frente a un escenario internacional complejo en materia económica, México tiene una gran oportunidad para posicionarse como una economía competitiva, abierta y atractiva para la inversión. Aprovechemos esta oportunidad trabajando unidos para generar mejores condiciones y oportunidades para todos los mexicanos.",0.32823650481604266,53,26,11,2019
ANTONIO DEL VALLE PEROCHENA,"Muchas gracias. Gracias, señor presidente.",0.32823650481604266,5,26,11,2019
