Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.7283130128387844,3,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a contestar preguntas, todas las preguntas que podamos contestar. Iniciamos, aquí está Francisco Garduño, porque quedamos de responder al planteamiento sobre Nuevo Laredo.",0.15537468233460652,25,28,11,2019
PREGUNTA,"  Sí, señor presidente. Muy buenos días.",0.798335423001261,6,28,11,2019
PREGUNTA,Carlos Cabeza del Diario de Nuevo Laredo.,0.4128704279754024,7,28,11,2019
PREGUNTA,"Precisamente, señor comisionado, es una responsabilidad muy fuerte. Es un preámbulo, voy a ser muy breve. Los héroes económicos, bien llamados por el presidente, tienen hoy una esperanza que se ha manifestado en el incremento de reservas inusitado e inédito. Esto ha ayudado bastante al consumo.",0.5368972018202698,46,28,11,2019
PREGUNTA,"Y también las políticas de apoyo social abajo se han manifestado en el incremento, por ejemplo, de las ventas de los abarroteros al mayoreo que salió ayer. Y luego dicen que si una, que si otra serán las causantes, pero las dos son movidas por el liderazgo del presidente, en ambos casos en todo caso, pero bueno.",0.01546953257466734,57,28,11,2019
PREGUNTA,A mí me preocupa mucho porque he ido varias veces a recibir a los paisanos con el programa Paisano con diputados y he visto que en tiempos pasados nada más se toman la foto y se van al otro lado de compras.,0.10215990564429098,42,28,11,2019
PREGUNTA,"Entonces, empieza la voracidad de una serie de funcionarios de todos los niveles; a nivel estatal sobre todo, casi no hay policías desde hace 15 años en Nuevo Laredo, tránsito hay muy poco, pero se habilitan para causar problemas a los paisanos.",0.055495127207344945,42,28,11,2019
PREGUNTA,"Entonces, ya no voy a contar más, pero en propia… digo, personalmente he visto el abuso. Entonces, el tramo de Nuevo Laredo a Monterrey es sumamente peligroso, de Monterrey a Saltillo, de Saltillo a San Luis de la Paz, de San Luis de la Paz a Querétaro; hasta que llegamos al Altiplano ya pueden respirar un poco más tranquilos los paisanos.",0.13776889351842742,61,28,11,2019
PREGUNTA,"Entonces, es una voracidad de los tramitadores, que andan ahí coyoteando, de algunos, y espero que en esta administración no, estoy seguro.",0.18884219196548463,22,28,11,2019
PREGUNTA,"En materia aduanera también hay un cierto… He visto que han preparado un folleto muy pormenorizado con todos los requisitos, lo felicito, muy sintetizado, muy de acceso fácil al usuario.",0.682674531233727,30,28,11,2019
PREGUNTA,La pregunta es: ¿de qué medida va a garantizar que lleguen? Porque dependemos mucho de las reservas ahorita en la economía y ellos esperan ver una diferencia.,0.024294733529786058,27,28,11,2019
PREGUNTA,"Los conozco en su mentalidad perfectamente y van a decir: ‘Es más de lo mismo, porque me extorsionaron, me quitaron la mitad de las cosas que traía, etcétera’.",0.020391982212468757,28,28,11,2019
PREGUNTA,Muchas gracias por su respuesta. Disculpe.,0.1945368934284305,6,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,  Pues vamos a darle a Francisco la palabra.,0.5167394501670057,8,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero yo quiero también aprovechar esta pregunta para comentar que se está limpiando al gobierno de corrupción de arriba para abajo, como se limpian las escaleras. Y, como hemos dicho aquí, va a llevar tiempo a que permee que baje este comportamiento, esta forma de ser, que el servidor público sea un auténtico servidor público, que entienda que no debe de extorsionar, que no debe de cometer ningún acto de corrupción.",0.13351482556257097,71,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Quiero expresarles que tengo ya indicios que ya la actitud de los servidores públicos ha empezado a cambiar abajo, porque hay un ambiente distinto, ya no se permite la corrupción y además es delito grave.",0.01277222048634223,35,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero más que por la modificación a la Constitución y convertir la corrupción en delito grave, yo creo que lo que está ayudando es que se está dando un ejemplo distinto y esto está ayudando.",0.09733957892891575,35,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ayer unos transportistas vinieron a verme y ya me manifestaban que es otra la actitud, que ha empezado a cambiar, no se ha erradicado por completo, que ya empezó a cambiar la actitud de los policías federales, la Policía de Caminos, la que se encarga del cuidado de las carreteras.",0.058180902674775346,50,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Me hablaban de cómo estaba establecida la extorsión y que ahora la misma gente, los mismos transportistas están ya negándose, rechazando la extorsión, porque ya no hay condiciones, ya no se permite el que haya extorsión, el que haya mordida. Entonces, qué bien que todos los ciudadanos estemos asumiendo esta actitud.",0.002510388913298421,51,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también exhortar, llamar a todos los servidores públicos, en este caso en especial a la Policía de Caminos para que se termine la extorsión, se acabe con la extorsión.",0.01545062161039114,30,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y estamos por aprobar una Ley de Confianza Ciudadana, así se llama la ley, para quitar inspectores en establecimientos comerciales; que, bajo protesta de decir verdad, el dueño de un establecimiento comercial de una empresa haga una manifestación y no van a haber inspectores.",0.048804962887278355,44,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Que exprese el dueño de una empresa, de un restaurant, de un comercio que está al corriente, que está al día, que sabe cuáles son sus obligaciones, que deben de tener salidas de emergencia, en su caso, que deben de tener extinguidores, que cumplen con toda la normatividad.",0.03205642700428716,48,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y esa manifestación se realiza y sólo va a haber una fiscalización por sorteo, periódicamente, que puede ser cada año, en compañía de las cámaras de comercio, de las cámaras empresariales para ver si el ciudadano, el dueño del establecimiento comercial cumplió. Si cumplió, hacerle un reconocimiento; si no cumplió, entonces sí, fiscalización permanente.",0.35233938621456995,54,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero vamos a avanzar hacia allá con el propósito de que no haya extorsión, de que no se esté padeciendo la visita de inspectores en vía pública de manera permanente.",0.0014727475194880194,30,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a aplicar esto, porque lo que queremos es que no haya corrupción arriba ni abajo, y lo vamos a lograr poco a poco. Por eso el asunto de las aduanas.",0.062148916201612496,31,28,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En el caso de Nuevo Laredo, se entiende la preocupación porque es en toda la frontera: de Tamaulipas, Matamoros, Reynosa, Río Bravo, Nuevo Laredo, Piedras Negra, Acuña ya de Coahuila, Ojinaga, Juárez y la frontera en Sonora, San Luis Río Colorado, antes de San Luis Río Colorado es Agua Prieta, y entre Agua Prieta y San Luis Río Colorado, Nogales y Mexicali, y Tijuana, en toda la frontera.",0.04703022082654164,68,28,11,2019
