Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, si les parece, informamos sobre el otro tema y luego abrimos para preguntas.",0.32823650481604266,14,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Va a informarles el director de Aduanas, Ricardo Ahued.",0.32823650481604266,9,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pues son los dos temas, abrimos para preguntas y respuestas sobre los temas y sobre otros asuntos. Adelante.",0.32823650481604266,18,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ya lo informó el secretario de Relaciones Exteriores, yo puntualizo:",0.32823650481604266,10,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Primero, desde los primeros momentos que fuimos informados tomamos acciones, enviamos nuestras condolencias a la familia, a los amigos, al pueblo, al gobierno estadounidense. Hay constancia de ello.",0.32823650481604266,28,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Segundo, le di instrucciones al secretario de Relaciones Exteriores, al secretario de la Defensa, al secretario de Marina, al secretario de Seguridad Pública para que se trasladaran al lugar de los hechos. Esto lo hicieron y fueron de los primeros en llegar como autoridades de nuestro país.",0.32823650481604266,47,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tercero, di instrucciones para crear un equipo especial de investigación y esclarecer los hechos para castigar a los responsables. Esto en coordinación con las fiscalías de los estados, en particular la fiscalía de Sonora y la Fiscalía General de la República. Estamos trabajando en conocer lo que sucedió y en hacer justicia. No hemos podido hablar, informar sobre este tema por razones obvias, por cuidar el debido proceso y por mantener este asunto con el sigilo que exige la investigación.",0.32823650481604266,80,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca de las declaraciones y de lo que se ha venido expresando, nosotros consideramos que vamos a convencer al gobierno de Estados Unidos de que podemos los mexicanos hacer justicia y que queremos mantener siempre una relación de cooperación y de respeto con el gobierno de Estados Unidos.",0.32823650481604266,48,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto implica un agradecimiento al presidente Trump porque en las conversaciones que hemos tenido, tanto en el caso de Sinaloa como en este lamentable caso de la familia LeBarón, él ha hecho propuestas de operación y al mismo tiempo ha sido respetuoso de la decisión que nosotros tomamos como país libre, independiente, soberano.",0.32823650481604266,53,29,11,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Queremos mantener muy buenas relaciones. Y como lo dije de una manera muy resumida, cooperación sí, intervencionismo no. Y pensamos que con la información, la cooperación, la diplomacia, la persuasión vamos a llegar a un acuerdo en este tema.",0.32823650481604266,39,29,11,2019
