Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO RODRIGUEZ VARGAS," Muchas gracias, señor presidente.  Buenos días a todas y a todos.",0.32823650481604266,11,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Como lo anunciamos la semana pasada, el día de hoy vamos a ampliar la lista de bienes que se van a ofrecer el próximo sábado 14 y el domingo 15 en nuestra sexta subasta con sentido social que organiza el Instituto para Devolver al Pueblo lo Robado.",0.32823650481604266,47,10,12,2019
RICARDO RODRIGUEZ VARGAS,"En lo que estamos añadiendo, ¿qué destaca?",0.32823650481604266,7,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Bueno, destacan siete vehículos denominados de lujo.",0.32823650481604266,7,10,12,2019
RICARDO RODRIGUEZ VARGAS,¿Qué son estos vehículos?,0.32823650481604266,4,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Ahorita presentamos las fotos, son dos vehículos McLaren, dos vehículos Lamborghini, un Aston Martin, un Ferrari y un Corvette. Ahorita presento el rango de precios.",0.32823650481604266,25,10,12,2019
RICARDO RODRIGUEZ VARGAS,"También por primera vez presentamos nueve aeronaves, son nueve aviones que vamos a subastar en el Instituto para Devolver al Pueblo lo Robado y justamente son para recursos que se vayan a las causas justas, a las causas sociales de este país. Como dice el presidente, primero los pobres. Son recursos que estaban de forma, por así decirlo, ociosos y que ahora van a tener un alto impacto social.",0.32823650481604266,69,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Adicionalmente, otra instrucción del señor presidente es sacar todo lo que se tiene.",0.32823650481604266,13,10,12,2019
RICARDO RODRIGUEZ VARGAS,¿Qué quiero decir con esto?,0.32823650481604266,5,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Que vamos a sacar las joyas que no se vendieron en la subasta anterior, los vehículos, las residencias, todo lo que tenemos lo sacamos en esta megasubasta que hemos denominado la madre de todas las subastas y ahorita van a ver por qué es la madre de todas las subastas en lo que vamos a presentar, tanto en aeronaves como en vehículos.",0.32823650481604266,62,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Bueno, son 674 lotes, nunca habíamos tenido una subasta con… Para que ustedes tengan idea, en una subasta amplia estamos hablando de 300 lotes y ahorita estamos presentando el doble de lo que usualmente hemos presentado como una subasta amplia, que son 674 lotes, por eso lo vamos a hacer en dos días.",0.32823650481604266,53,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Lo hacemos el próximo sábado 14 y el domingo 15 en lo que ya conocen como el lugar donde usualmente se hacen, que es el Centro Cultural Los Pinos, por lo que representa o lo que representaba en las anteriores administraciones.",0.32823650481604266,41,10,12,2019
RICARDO RODRIGUEZ VARGAS,"Tenemos nueve aeronaves, la más cara son alrededor de 19 millones. Tenemos que esta que es un Lear Jet, este Lear Jet permite viajes de aproximadamente 10,11 horas, cuesta 19 millones; también tenemos unos Gulfstream, los Gulfstream tienen un poco menor valor; y tenemos los Cessna que son obviamente de menor valor en su precio.",0.32823650481604266,55,10,12,2019
