Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA,"  Gracias, señor presidente.",0.32823650481604266,3,2,12,2019
RICARDO SHEFFIELD PADILLA,Muy buenos días a todas y a todos ustedes.,0.32823650481604266,9,2,12,2019
RICARDO SHEFFIELD PADILLA,"Quién es Quién en el precio de la gasolina. En la gasolina regular, el precio más alto, el margen más alto lo encontramos en Ralsi SA de CV en La Paz, Baja California Sur, con un precio al público de 21.75 por litro y un margen de tres pesos con 19 centavos; mientras que el más económico lo encontramos en E.S.G.E.S. en Centro Tabasco, con un precio al público de 19.90 por litro y un margen de 15 centavos.",0.32823650481604266,79,2,12,2019
RICARDO SHEFFIELD PADILLA,"En la gasolina Premium el margen y el precio más alto lo encontramos en Inverservicios en gasolineras en Tlaquepaque, Jalisco, a 22.72 por litro, un margen de 3.80, esto está en Periférico Sur 8300, para que lo ubiquen bien los consumidores de la zona metropolitana de Guadalajara; Serviplus Gasolinera en Cunduacán, Tabasco, a 18.89 por litro y un margen de 29 centavos es el más económico en gasolina Premium.",0.32823650481604266,69,2,12,2019
RICARDO SHEFFIELD PADILLA,"En el diésel, Fonatur Operadora Portuaria, en Huatulco, Oaxaca, tiene el precio más alto, 22.87 por litro, con un margen de 2.97 por litro; mientras que el más económico, Operadora Tabasqueña Edmagra, en Centro, Tabasco, a 19.49 por litro, con un margen de 23 centavos.",0.32823650481604266,45,2,12,2019
RICARDO SHEFFIELD PADILLA,"Si lo vemos por marcas, en los precios altos, siguen en los primeros lugares Chevron, Redco y Arco, mientras que Shell y OxxoGas han estado subiendo paulatinamente sus precios, lo cual ha empujado a Pemex del medio de la tabla hacia abajo; mientras que los más económicos siguen siendo Full Gas, Total y LaGas.",0.32823650481604266,54,2,12,2019
RICARDO SHEFFIELD PADILLA,"Si nos vamos al tema de verificación de gasolineras, tuvimos 268 denuncias y quejas atendidas, todas presentadas por la app Litro por Litro, por medio de este mecanismo; y realizamos 238 visitas o verificaciones, hubo una gasolinera que se negó a ser verificada y fueron 10 bombas, mangueras inmovilizadas en la semana.",0.32823650481604266,52,2,12,2019
RICARDO SHEFFIELD PADILLA,"La gasolinera que se negó a ser verificada, para que evitemos consumir ahí, porque obviamente algo están escondiendo y no es nada bueno para el consumidor, es Impulso Peninsular en Mérida, Yucatán, en la calle 60, para todos nuestros amigos de Mérida, que ubiquen bien esta gasolinera que no se dejó verificar.",0.32823650481604266,52,2,12,2019
RICARDO SHEFFIELD PADILLA,"En número de descargas de la aplicación hasta el día de hoy, 129 mil 612 y seguimos tomando muy en cuenta todas sus observaciones a la app y realizando las verificaciones en base a las denuncias que ahí se presentan.",0.32823650481604266,40,2,12,2019
RICARDO SHEFFIELD PADILLA,"La gasolina más barata en la app la encontramos, para regular en 17.75 Centro Tabasco; mientras que la más cara en La Paz, Baja California, 21 pesos 82 centavos por litro.",0.32823650481604266,31,2,12,2019
