Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ánimo, ya es viernes.",0.4807397411011187,4,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a ir a una gira, vamos a Querétaro, a Michoacán y a Colima. Vamos a visitar plantas de la Comisión Federal de Electricidad este fin de semana para garantizar que no haya apagones, que no falte la energía eléctrica.",0.3781019280755063,40,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy vamos a informar sobre la aprobación del tratado en la Cámara de Representantes de Estados Unidos, lo que esto significa. Desde luego es una muy buena noticia para México, considero que también es algo importante para las tres naciones, y tiene que ver con el fortalecimiento de la región, de todo el norte de nuestro continente, para atraer inversiones en el caso de México, no sólo de Estados Unidos, sino de otras partes del mundo, crear empleos, fortalecer nuestra economía. Marcelo Ebrard, secretario de Relaciones; y Graciela Márquez, secretaria de Economía, van a informar.",0.5830692474245831,98,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También nos acompaña la maestra Luisa María Alcalde, que es la secretaria del Trabajo; Zoé Robledo, director del Instituto Mexicano del Seguro Social; Carlos Martínez, del Infonavit, porque vamos a hacer también un llamado a las empresas. Hoy es el último día por ley para pagar el aguinaldo y hay una práctica no tan aceptable, no tan limpia: que se despide a los trabajadores en este tiempo, o se despide de verdad o hay simulación, para no pagar aguinaldos y otras prestaciones, y no queremos que eso siga sucediendo.",0.0023477118633399643,89,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es muy claro, que sucede, que pasa desde hace varios años, y se puede probar; no podemos quedarnos callados. Ayer hablamos de este tema, de cómo en diciembre, en vez de que se establezcan nuevos puestos de trabajo, que haya nuevos empleos, se caen, pero considerablemente, se pierden 300, 400 mil empleos.",0.014331263806387128,52,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¿Cómo es eso?, ¿a qué se atribuye?, ¿cuál es el fenómeno?, ¿por qué en noviembre hay 70 mil empleos nuevos y en diciembre se pierden 300 mil o 400 mil? Es interesante, ¿verdad? saber si es real, ¿a qué se debe? Y a lo mejor algunos empresarios ni lo saben, porque sus nóminas las manejan a través de empresas.",0.056377383513105006,59,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a tratar este tema y el propósito es que se paguen los aguinaldos, que se cumpla con la ley. Y decirles que va a haber inspección sobre este tema, vamos a estar pendientes, y si tenemos el mecanismo adecuado, va a haber un Quién es Quién en el trato a los trabajadores, porque tenemos información de que se trata también de grandes empresas, no sólo de pequeñas, medianas empresas, y por eso digo que a lo mejor ni siquiera lo saben los dueños, que no creo que hagan estos trucos que afecten a sus trabajadores. En fin, vamos a tratar ese tema.",0.013489028856905876,104,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Le damos la palabra a Marcelo y luego a Graciela para lo del tratado.,0.430595740685119,14,20,12,2019
MARCELO EBRARD CASAUBON," Con su permiso, señor presidente, compañeras, compañeros, señoras y señores.",0.1863491247729679,10,20,12,2019
MARCELO EBRARD CASAUBON,"Bueno, de manera muy breve, señalar que, como ya es de su conocimiento, el día de ayer se aprobó en la House of Representatives, Cámara de Representantes de Estados Unidos, el Tratado México-Estados Unidos-Canadá, con una votación de 385 a favor y sólo 41 en contra, es decir, con una aprobación mayor a lo que habíamos pensado.",0.5505016892894299,57,20,12,2019
MARCELO EBRARD CASAUBON,"De hecho, en la historia de los tratados comerciales de Estados Unidos es el tratado más votado después del tratado de Estados Unidos-Israel, que se aprobó en el año 1985, según nos informó la Secretaría de Economía, en ese caso fue por unanimidad.",0.1259058115171813,43,20,12,2019
MARCELO EBRARD CASAUBON,"Y en el caso de la aprobación de ayer, es un amplio consenso de los dos partidos políticos, tanto del Partido Demócrata como del Partido Republicano, lo cual nos hace para nuestro punto de vista… Aunque todavía falta que el Senado lo va a ver en enero, etcétera, etcétera, por ese respaldo nosotros ya damos por un hecho que el tratado ha sido aprobado y nos preparamos para su implementación y entrada en vigor.",0.11913680761243013,74,20,12,2019
MARCELO EBRARD CASAUBON,¿Qué significa?,0.541333260777616,2,20,12,2019
MARCELO EBRARD CASAUBON,"Sólo diría yo tres cosas, porque la secretaria de Economía les va a comentar con más detalle:",0.21707423470891565,17,20,12,2019
MARCELO EBRARD CASAUBON,"Primero, se termina una etapa de incertidumbre muy larga, porque no se sabía qué iba a ocurrir y eso hace que las inversiones se frenen, que se compliquen los procesos de decisión en favor de la creación de empleos y eso tiene un impacto importante adverso. Con esta votación eso se termina, ahora hay certidumbre, cuáles son las reglas que vamos a tener; y sobre todo, y lo más importante: que el mercado más grande del mundo sigue siéndolo, es decir, Estados Unidos, Canadá y México o México, Estados Unidos y Canadá constituyen el mercado más grande del mundo.",0.5079544244466874,99,20,12,2019
MARCELO EBRARD CASAUBON,"Con esta aprobación se ratifica que así es, por número, por dimensión, por magnitud. Y esa es una excelente noticia, porque tendrá un impacto muy relevante, como es obvio, en las inversiones y decisiones de las empresas.",0.5245217788240831,37,20,12,2019
MARCELO EBRARD CASAUBON,"Segundo, ya se sabe cuáles son las reglas con las cuales se va a funcionar y cómo se van a resolver las controversias cuando las haya. Y eso es una excepción hoy en el mundo, no se firman tratados así hace ya tiempo. Es una muy buena noticia también por eso.",0.5286448687078339,51,20,12,2019
MARCELO EBRARD CASAUBON,"Y para México también muy buena noticia, porque significa esencialmente empleos, inversión y desarrollo tecnológico. Empleos, inversión y desarrollo tecnológico para México. Es una muy buena noticia, excelente diría yo. En la mañana me decían que por qué excelente, por todo lo que acabo de decir, va más allá de buena.",0.6136444361587243,51,20,12,2019
MARCELO EBRARD CASAUBON,"Y le cedo el uso de la palabra a la secretaria de Economía, Graciela Márquez.",0.07658538772230458,15,20,12,2019
GRACIELA MARQUEZ COLIN," Gracias, canciller. Con su permiso, presidente.",0.0851468019430378,6,20,12,2019
GRACIELA MARQUEZ COLIN,"Muy buenos días a todas, a todos.",0.926123185901524,7,20,12,2019
GRACIELA MARQUEZ COLIN,"Efectivamente, el día de ayer como ustedes seguramente lo reportaron, tuvimos esa votación histórica en la Cámara de Representantes de los Estados Unidos. Y aun cuando hay algunos pasos que tomar, la importancia es la fuerza con la que se aprueba y cómo pone fin a esta etapa, cierra el año de 19 y cierra el año de este periodo de incertidumbre, de este periodo, yo diría, no sólo de incertidumbre, sino de a los inversionistas que habían estado expectantes de qué es lo que ocurriría con el tratado.",0.40668055177441653,89,20,12,2019
GRACIELA MARQUEZ COLIN,"Les voy a mostrar algunos números, algunas gráficas. Inicio con algunos datos relevantes de qué significa un tratado de libre comercio en América del Norte. Pues significa un mercado muy grande y es un mercado grande por las siguientes razones:",0.5425209853708856,40,20,12,2019
GRACIELA MARQUEZ COLIN,"Primero, porque estamos hablando de una población de 400 millones de habitantes, con un PIB, con un Producto Interno Bruto de 23 billones de dólares. Eso es lo que hace el mercado grande, la conjunción entre la población y el volumen de producción de estos tres países. Entonces, si sumamos esto nos da el mercado más grande del mundo. Y el comercio entre las tres economías rebasa el billón de dólares.",0.09639377829193038,71,20,12,2019
GRACIELA MARQUEZ COLIN,"Entonces, esa es la importancia de este tratado que se firma originalmente, entra en vigor originalmente en el 94 y que hoy nos permite que los flujos comerciales y que los flujos y la integración productiva, porque no solamente se trata de comercio, se trata de una integración productiva, que los procesos ya se localizan en los tres países y que hay esta integración productiva en un mercado muy grande.",0.546217030116806,70,20,12,2019
GRACIELA MARQUEZ COLIN,¿Y por qué la importancia del mercado muy grande?,0.7477808953644884,9,20,12,2019
GRACIELA MARQUEZ COLIN,"Porque ese va a ser un atractivo a inversores fuera de la región. Entonces, la región en sí misma se hace atractiva para que inversionistas europeos, inversionistas asiáticos, inversionistas de otras partes del mundo vean la importancia de invertir en América del Norte para acceder a ese mercado tan grande.",0.6617621196852214,50,20,12,2019
GRACIELA MARQUEZ COLIN,¿Qué podríamos esperar del nuevo T-MEC?,0.582227993984255,6,20,12,2019
GRACIELA MARQUEZ COLIN,"Pues lo que podríamos esperar… para responder esa pregunta tenemos que ver qué es lo que ocurrió en el periodo previo cuando operaba el TLCAN. Lo que tendríamos que esperar es un aumento de la inversión. Vean ustedes cómo aumentó la inversión estadounidense en México, la parte beige, pero vean también que esa inversión norteamericana fue acompañada de esto que les decía, de que es un factor de arrastre, atrae más inversión de otras partes del mundo.",0.5392807719998525,77,20,12,2019
GRACIELA MARQUEZ COLIN,¿Por qué?,0.541333260777616,2,20,12,2019
GRACIELA MARQUEZ COLIN,"Por la posibilidad de acceder al mercado de América del Norte. En términos de comercio, en México el comercio bilateral con Estados Unidos entre 93 y 2018 creció 551 por ciento.",0.7623624897726035,31,20,12,2019
GRACIELA MARQUEZ COLIN,¿Entonces qué podemos esperar de esta nueva integración?,0.7007036911834252,8,20,12,2019
GRACIELA MARQUEZ COLIN,Podemos esperar que haya flujos de inversión y que se mantenga o en el peor de los casos se mantenga o crezca el flujo comercial en nuestras economías. Estados Unidos es el primer socio comercial de México y México se convirtió este año en el primer socio comercial de los Estados Unidos.,0.33136069530763934,52,20,12,2019
GRACIELA MARQUEZ COLIN,¿Qué quiere decir el T-MEC comparado con lo que teníamos? Y eso es importante.,0.895743712812769,14,20,12,2019
GRACIELA MARQUEZ COLIN,"Hay una continuidad y también hay nuevos aspectos del T-MEC. Garantizamos, como les decía, la competitividad de la región. Si nosotros comerciamos sin aranceles, lo que va a ocurrir es que vamos a tener acceso preferente a los mercados de los dos países, va a haber una cooperación regulatoria, más inversión, vamos a regular la entrada temporal de mercancías para hacer esta integración productiva, porque las mercancías entran sin arancel, se arma parte del proceso, se exporta, vuelve a regresar y todo eso sin barreras comerciales, sin barreras de aranceles. Se reducen los obstáculos técnicos al comercio.",0.21572500328426766,97,20,12,2019
GRACIELA MARQUEZ COLIN,¿Y qué es nuevo?,0.6057045850543099,4,20,12,2019
GRACIELA MARQUEZ COLIN,"Las oportunidades para la economía del siglo XXI. Se ha hablado mucho de la modernización del tratado, y básicamente está en la parte de la propiedad intelectual, el respeto a los inventores, a las patentes que pueda entonces incentivar más patentes, más desarrollo tecnológico y, por ende, productividad.",0.05805477563378467,48,20,12,2019
GRACIELA MARQUEZ COLIN,"El comercio digital, un asunto que no existía en el 94, cuando inició el tratado previo, y una mejor integración en servicios financieros, que también a traer beneficios a México; y da, como ya se dijo acá, certidumbre al comercio, a las inversiones, se definen perfectamente reglas para las empresas propiedad del Estado, los mecanismos de solución de controversias, que ya mencionaba el canciller.",0.03507512793845347,64,20,12,2019
GRACIELA MARQUEZ COLIN,"A partir de diciembre, de principios de diciembre de este año, el sistema de solución de controversias de la Organización Mundial de Comercio quedó sin efecto porque no se ha nombrado a los jueces; entonces, todos los países del mundo no tienen hoy esa posibilidad de acudir a la Organización Mundial de Comercio a dirimir sus controversias. Se está trabajando en ello, México está tratando de que -como miembro de la OMC- se impulse una formación de este jurado, pero hoy por hoy no hay este mecanismo de solución de controversias.",0.05609132047333589,91,20,12,2019
GRACIELA MARQUEZ COLIN,"El TLC nos incorpora este mecanismo de solución de controversias con nuestros socios, tanto con Canadá como con Estados Unidos impulsa la competencia y regula compras públicas.",0.06965228733191178,27,20,12,2019
GRACIELA MARQUEZ COLIN,"Y, finalmente, unos temas que han sido menos tocados y que tal vez convendría… En algún momento nosotros en la Secretaría de Economía vamos a hacer un folleto, una explicación, sobre temas que han sido menos tocados.",0.19985979469096146,37,20,12,2019
GRACIELA MARQUEZ COLIN,"Se da un apoyo a pymes, a las pequeñas y medianas industrias. Y aquí conviene recordar que el 99 por ciento de las empresas mexicanas corresponden a este sector, 99 por ciento. Entonces, es importante que el tratado incorpore a las pymes y que le dé espacios dentro de esta integración comercial y productiva.",0.6046920372993041,54,20,12,2019
GRACIELA MARQUEZ COLIN,"Incluyen también asuntos de género, los derechos laborales, que sí se han tratado ampliamente; tiene algunos candados anticorrupción, exige a las empresas que participen que no haya prácticas corruptas y se protege el medio ambiente.",0.04334034099149787,35,20,12,2019
GRACIELA MARQUEZ COLIN,Simplemente para decirles qué es lo que había y qué es lo que pasó.,0.409160846991809,14,20,12,2019
GRACIELA MARQUEZ COLIN,"Lo verde oscuro son los capítulos que ya existían en el TLCAN y que fueron modernizados, a los que se les introdujeron cambios y los más claros, los azul claro, son los que son completamente nuevos en este tratado y que habla, efectivamente, que hay continuidades, hay rupturas, hay cambios y también hay esta modernización necesaria.",0.14565637812568621,56,20,12,2019
GRACIELA MARQUEZ COLIN,"Entonces y para concluir, las noticias de ayer, las noticias de la aprobación en la Cámara de Representantes son muy buenas noticias.",0.50821334664543,22,20,12,2019
GRACIELA MARQUEZ COLIN,"Creemos que hoy los inversionistas tienen reglas claras, saben qué va ocurrir en la región de América Latina. Y lo que saben es que va a continuar un tratado exitoso, una integración productiva y que en México trabajaremos con el sector privado para cumplir con los periodos de transición para apoyar esta integración, para apoyar industria automotriz, acero, pero también apoyar servicios financieros, digitales, comercio digital y cumplir, y aprovechar el tratado como una plataforma de desarrollo, no solamente comercial, sino también regional y que traiga desarrollo a todas las partes de México.",0.17369588331237276,93,20,12,2019
GRACIELA MARQUEZ COLIN,Muchas gracias.,0.500183160728402,2,20,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Ustedes.,0.541333260777616,1,20,12,2019
ZOE ROBLEDO ABURTO," Muchas gracias, señor presidente, con su permiso.",0.3320906135357328,7,20,12,2019
ZOE ROBLEDO ABURTO,Buenos días a todas y a todos.,0.8896628877580698,7,20,12,2019
ZOE ROBLEDO ABURTO,"Como lo saben, el tema del empleo a final del año tiene algunas explicaciones que tienen que ver con factores estacionales de la propia economía.",0.6233273834352109,25,20,12,2019
ZOE ROBLEDO ABURTO,"Sin embargo, hemos ido detectando otros elementos que podrían responder otro tipo de prácticas, como ya lo mencionó desde el día de ayer el señor presidente, temas que pueden pasar por el aguinaldo, pero también cuestiones de evasión y discontinuidad de los derechos de los asegurados en el Seguro Social.",0.0018159778122053803,50,20,12,2019
ZOE ROBLEDO ABURTO,Es una presentación para ver un poco el panorama y algunas de las estrategias que estamos lanzando.,0.9409976959482603,17,20,12,2019
ZOE ROBLEDO ABURTO,"Todos los cierres de año debido a estos factores se registran caídas de empleos y que están muy vinculados al crecimiento observado entre enero y noviembre, eso es lo que explica muchas veces la magnitud.",0.5521914555933779,35,20,12,2019
ZOE ROBLEDO ABURTO,En promedio en los últimos años se pierden alrededor de 270 mil empleos en diciembre de cada año. En los últimos 10 años este promedio en la tasa de crecimiento de empleo entre enero y noviembre es de alrededor de 5.2 por ciento y la caída está alrededor de -1.5 por ciento respecto al nivel alcanzado en noviembre.,0.12357610724323534,58,20,12,2019
ZOE ROBLEDO ABURTO,"Aquí lo que nos empieza a llamar mucho la atención, justamente a partir de que se empezaron a llevar, a implementar y a esparcir por muchos lados estas prácticas de subcontratación, el famoso outsourcing, que busca evadir… ha habido una mayor participación en la pérdida de diciembre de los empleos permanentes; es decir, si vemos solamente 2018, el 66 por ciento de los empleos que se perdieron en 2018, que fueron cerca de 378 mil, fueron de trabajadores permanentes y 34 por ciento de trabajadores eventuales.",0.045839110530248736,86,20,12,2019
ZOE ROBLEDO ABURTO,Esto lo podemos ver de dos formas:,0.7666355593997776,7,20,12,2019
ZOE ROBLEDO ABURTO,"Si lo vemos por tipo de empresa, hay más disminución de empleos en empresas asociadas al tema, al rubro educativo, escuelas y comercio en particular tiendas departamentales. Algunos de ellos se pueden explicar a partir del fin del ciclo escolar, toda vez que también en junio ocurre una disminución en este sector de la economía y también respecto al comercio y a las tiendas departamentales con el incremento de la demanda, previo a las fiestas decembrinas.",0.04197098847193659,76,20,12,2019
ZOE ROBLEDO ABURTO,"Aquí la secretaria Graciela no me dejará mentir que en noviembre muchas veces las tiendas departamentales tienen una contratación importante de trabajadores eventuales, justamente por El Buen Fin y el inicio de las compras navideñas. Esto incluso se puede sostener en la primera quincena de diciembre, pero después empieza a caer.",0.1377904152400093,51,20,12,2019
ZOE ROBLEDO ABURTO,"Ahora, si lo viéramos por sector, en esta parte de abajo, en los últimos 10 años cuatro sectores han sido los que explican entre el 80 y el 95 por ciento de la caída estacional observada en diciembre de cada año: la transformación, los servicios para empresas, la construcción, como lo mencionaba, el comercio; el sector de la construcción es el que más disminuye, sin embargo, y esto también es muy interesante, en los últimos años el sector de la transformación también ha ido adquiriendo una importancia significativa.",0.9411881949553993,88,20,12,2019
ZOE ROBLEDO ABURTO,"La siguiente gráfica también explica mucho de esto, porque si lo observamos acá, el mayor número de caídas de diciembre, esto es 2018, 128 mil empleos, corresponde a empresas de más de mil trabajadores, es decir, son empresas muy grandes.",0.2416135105586801,40,20,12,2019
ZOE ROBLEDO ABURTO,"Si lo vemos, empresas entre 251 y 500, va disminuyendo; efectivamente, entre 51 y 250 empleados tiene un número importante, pero entre seis y 50 va disminuyendo e incluso, empresas de menos de seis empleados, que como ya se ha dicho aquí, participan muchísimo de la economía, no tienen una diminución tan importante.",0.2966001580767554,53,20,12,2019
