Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.32823650481604266,2,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy vamos a informar sobre el avance que tiene el programa de proporcionar, el de inscribir a las trabajadoras domésticas y trabajadores domésticos en el Seguro Social. Es un programa muy importante, que cumple un año de haberse iniciado por un mandato de la Suprema Corte de Justicia.",0.32823650481604266,51,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos también a tratar el tema de los Precios de Garantía, de los productos básicos, de los cultivos básicos: maíz, frijol, arroz, trigo, leche. Este programa es muy importante para apoyar a los productores, sean ejidatarios, comuneros o pequeños propietarios.",0.32823650481604266,41,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Son los temas para hoy, luego abrimos ya la ronda de preguntas y respuestas. Ayer quedaron apuntados cuatro compañeros y compañeras, en ese orden vamos a dar la palabra. Así empezamos. De modo que le voy a pedir a Zoé Robledo que inicie con el programa de las trabajadoras domésticas.",0.32823650481604266,50,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muy bien.,0.32823650481604266,2,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien, adelante, Víctor.",0.32823650481604266,4,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos, estos son los dos temas que se abordan el día de hoy.",0.32823650481604266,13,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Si hay preguntas sobre los temas o nos vamos a lo general.,0.32823650481604266,12,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sobre el tema. Bueno, vamos, ¿les parece cuatro sobre el tema?, porque tenemos pendientes.",0.32823650481604266,14,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Adelante, sobre el tema. Dos, tres, cuatro. Fueron cuatro hombres, cuatro mujeres.",0.32823650481604266,12,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Adelante.,0.32823650481604266,1,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Cualquiera.,0.32823650481604266,1,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pronto vamos a anunciar, se está trabajando, hemos tenido ya reuniones tanto con los productores como con los servidores públicos encargados de la producción de alimentos, se va a presentar un programa acerca del maíz en especial, que no sólo es lo del Precio de Garantía, esto lo iniciamos para apoyar a los pequeños productores con precio. Tiene una explicación, entre otras, además de que es un asunto de justicia.",0.32823650481604266,70,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Solía pasar que la Secretaría de Agricultura y las dependencias en general del gobierno tenían muchísimos programas para todo. Por ejemplo, en el caso del campo, en la producción del campo, se requiere de mecanización de la tierra, se requiere de agua, se requiere de semilla, se requiere de crédito, se requiere de comercialización, se requiere de extensionismo, en fin, de muchísimas cosas, y se hacía de todo, pero muy testimonial, se dispersaban los recursos.",0.32823650481604266,75,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, la nueva política es definir los programas que puede impulsar el gobierno y que tengan más impacto, que ayuden más a los productores y en especial a los más necesitados. Un cambio que ya se dio es que el presupuesto destinado al campo ya está llegando abajo, porque se quedaba en medio y arriba.",0.32823650481604266,55,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora lo acabamos de ver, quienes tienen más apoyos son los productores más pobres. Les puedo decir que el programa Procampo no se entregaba en comunidades indígenas; entonces, eso ya se corrigió, el presupuesto va orientado fundamentalmente a los pequeños productores, sean comuneros, ejidatarios o pequeños propietarios.",0.32823650481604266,47,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo segundo es esto, la definición. ¿Qué hacer?, ¿a dónde orientamos el presupuesto? Y se llegó a la conclusión que lo mejor es garantizar precio. Si se tiene un buen precio, si se le paga bien al productor, pues él ve cómo consigue el tractor o la yunta, cómo consigue la semilla, cómo consigue incluso el crédito, cómo consigue el fertilizante, lo que requiere para producir, porque hay precio.",0.32823650481604266,69,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque esto que estamos haciendo ahora y que nos está llevando tiempo tiene el propósito de que se sepa lo de los precios, porque van a empezar a sembrar y que por anticipado la gente decida: ‘Voy a sembrar esto, porque tengo precio’.",0.32823650481604266,43,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Uno de los problemas en el campo, de los problemas que padecen los campesinos, los más pobres, es que tienen que vender barato y comprar caro lo que necesitan. Entonces, para eso es este programa.",0.32823650481604266,35,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, además de esto tenemos que pensar en la autosuficiencia alimentaria, el caso del arroz, el caso del trigo, para el pan y así lo del maíz amarillo y otros alimentos o materias primas que necesitamos buscar la autosuficiencia.",0.32823650481604266,39,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Va a haber un programa especial, además de este que vamos a anunciar, para el maíz que ya incluye el que podamos reducir la dependencia en maíz. Porque es una contradicción, ¿cómo?, si el maíz es originario de México y ahora México es el país que más maíz compra en el extranjero, ¿por qué llegamos a eso?",0.32823650481604266,57,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto que decía Nacho del arroz, estamos comprando el 85 por ciento del arroz que consumimos; el caso del trigo para el pan, 80 por ciento de lo que consumimos se compra.",0.32823650481604266,32,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ese es un plan que viene de maíz, se los adelanto, ya lo hemos estado analizando.",0.32823650481604266,17,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y otro que viene es para lograr la autosuficiencia en leche, porque también ahí estamos comprando más del 30 por ciento de la leche que consumimos y tenemos posibilidad de aumentar la producción, pero ese es otro plan en cuanto a esto.",0.32823650481604266,42,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Miren, hablaba yo que antes no se les entregaba el Procampo a los integrantes de las comunidades indígenas, tampoco se les entregaba ningún apoyo a los cafetaleros y a los cañeros; ahora por primera vez ya los productores de café y los productores de caña están recibiendo un apoyo.",0.32823650481604266,49,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Me comprometo a que hoy les entreguen la información sobre cuántos productores de café, cuántos productores de caña ya están recibiendo su apoyo.",0.32823650481604266,23,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se incluyó… ¿tienes el informe, por favor?",0.32823650481604266,7,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Es un apoyo directo al productor. De conformidad con un censo, se le hace llegar una cantidad a cada productor.",0.32823650481604266,20,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todos vamos a llegar a la conclusión muy pronto, ya algunos estamos más sensibles de la necesidad de tener una infraestructura de dispersión de recursos, el Banco del Bienestar.",0.32823650481604266,29,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Imagínense a un productor de café en la sierra, en Pluma, Hidalgo, en la Sierra de Oaxaca, ¿cómo recibe su apoyo? ¿a dónde tiene que ir a buscar su apoyo o hay que llevarle su apoyo? Entonces, la idea es que si Pluma es la comunidad céntrica de 20, 30 comunidades alrededor pequeñas, pues ahí ponemos una sucursal del Banco del Bienestar.",0.32823650481604266,62,5,12,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos 400 y necesitamos 13 mil, y en eso andamos; además, 13 mil sucursales con internet para que con su tarjeta, ya sea el adulto mayor, ya sea el beneficiario por una pensión de discapacidad, un estudiante con una beca, un campesino que está recibiendo este apoyo, el joven que está en el programa Jóvenes Construyen el Futuro, el que está en el programa Sembrando Vida, va con la tarjeta y saque su recurso.",0.32823650481604266,74,5,12,2019
