Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROCIO NAHLE GARCIA," Buenos días, señor presidente.",0.32823650481604266,4,9,12,2019
ROCIO NAHLE GARCIA,"Voy a reportar sobre el proceso de refinación, voy a iniciar cómo vamos con las rehabilitaciones de las seis refinerías del sistema nacional de refinación de Pemex.",0.32823650481604266,27,9,12,2019
ROCIO NAHLE GARCIA,"Esta es una gráfica de las producciones desde diciembre del 2018 hasta noviembre, cómo hemos cerrado. Pusimos una intermedia que fue en septiembre. Cuando nosotros estuvimos aquí, reportamos que estábamos en proceso de 814 mil barriles por día, exactamente en el programa de rehabilitación entran las plantas de proceso a partir de septiembre; a la semana salió un tren completo de Tula, lo cual bajó 120 mil de proceso y el tren está en reparación, en rehabilitación.",0.32823650481604266,77,9,12,2019
ROCIO NAHLE GARCIA,"Justamente viene la producción de gasolina y viene la producción de destilados intermedios porque las refinerías, aparte de producir gasolina, producen diésel, turbosina y destilados intermedios.",0.32823650481604266,26,9,12,2019
ROCIO NAHLE GARCIA,"Este es el calendario. Tenemos el calendario de plantas de proceso, todas las que están en amarillas, dependiendo de cada refinería están actualmente en rehabilitación.",0.32823650481604266,25,9,12,2019
ROCIO NAHLE GARCIA,"Dividimos en tres fases: las plantas de proceso, las plantas de fuerza y los tanques. Las refinerías son muy grandes, las amarillas están en proceso y las rojas, que están de este lado, son las que van a empezar en 2020 en los primeros meses, enero y febrero, cada refinería, cada planta, y los que están programados o diferidos para el 2020.",0.32823650481604266,62,9,12,2019
ROCIO NAHLE GARCIA,"Estos son los tanques, lo que pasamos fueron plantas, estos son tanques. También cada refinería… Una refinería si no tiene tanques disponibles no puede operar, tiene que tener tanques para el reposo del hidrocarburo y tanques para poder despachar los intermedios que se almacenan y que entran en la siguiente etapa de refinación. Estos son los tanques y también tenemos ya programados para la primera semana, para los primeros meses de enero y febrero. Están haciendo un trabajo muy importante todos los trabajadores de Pemex.",0.32823650481604266,85,9,12,2019
ROCIO NAHLE GARCIA,"Y esto es cómo vamos en cada refinería. Salina Cruz es la que se programó para tener más plantas en este año, Salina Cruz y Salamanca, que son las que están abajo, planta por planta.",0.32823650481604266,35,9,12,2019
ROCIO NAHLE GARCIA,"El color azul es cómo se programó que tendríamos que ir en este momento, el rojo es cómo vamos y las refinerías que están arriba, en la parte de arriba, son las que van a entrar con más plantas en enero y febrero a reparación. Los hicimos así por cada refinería.",0.32823650481604266,51,9,12,2019
ROCIO NAHLE GARCIA,"Y este es el avance general de cada refinería. Como les dije, Salamanca y Salina Cruz son las que se programaron para que fueran más avanzada. Llevamos un 60 por ciento de rehabilitación y esperamos cerrar el mes de diciembre con un incremento fuerte, porque ya varias están terminando.",0.32823650481604266,49,9,12,2019
ROCIO NAHLE GARCIA,"Tula ya terminó dos tanques muy grandes, uno de 200 mil barriles que estaba programado aquí, acaba de terminar la semana pasada, y esperemos que a final de diciembre, como lo dijimos, podamos subir más carga de proceso tal como se programó desde principios del año.",0.32823650481604266,46,9,12,2019
ROCIO NAHLE GARCIA,Eso es en cuanto a las rehabilitaciones.,0.32823650481604266,7,9,12,2019
ROCIO NAHLE GARCIA,Y el siguiente reporte es un reporte que cada semana les estamos haciendo a ustedes por instrucciones del señor presidente para el reporte de cómo va la refinería de Dos Bocas.,0.32823650481604266,31,9,12,2019
ROCIO NAHLE GARCIA,"Este es el proyecto, va a procesar 340 mil barriles por día, nos va a dar una producción de 170 mil barriles de gasolina.",0.32823650481604266,24,9,12,2019
ROCIO NAHLE GARCIA,"Les comentamos que eran seis paquetes, es una obra compleja de construcción, son plantas, son tanques, es de ingeniería.",0.32823650481604266,19,9,12,2019
ROCIO NAHLE GARCIA,"En cada paquete vamos midiendo cómo va la construcción, cómo va la licitación, cómo se va a el financiamiento y vamos puntualmente de acuerdo al programa. La tenemos que hacer en tres años y entonces vamos de acuerdo las licitaciones correspondientes, acero, concreto, etcétera. Entonces, este es un reporte de cómo vamos, dónde van a estar las plantas de proceso prácticamente.",0.32823650481604266,61,9,12,2019
