Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," Con su permiso, señor presidente. Muy buenos días.",0.541333260777616,8,21,02,2019
JOSE RAFAEL OJEDA DURAN,Con respecto a la Secretaría de Marina en lo que ha intervenido en esta operación de robo de hidrocarburos se le informa lo siguiente.,0.541333260777616,24,21,02,2019
JOSE RAFAEL OJEDA DURAN,"Ya teníamos en años atrás convenios con Pemex donde se le daba vigilancia en la Sonda de Campeche, por ejemplo, y en instalaciones estratégicas.",0.541333260777616,24,21,02,2019
JOSE RAFAEL OJEDA DURAN,A partir del 28 de diciembre al día 7 de enero se nos dieron otras nuevas tareas con respecto a esta situación. Se nos encomendaron 11 instalaciones de Pemex que fueron dos refinerías: la de Tampico y la de Salina Cruz; y nueve terminales marítimas.,0.541333260777616,45,21,02,2019
JOSE RAFAEL OJEDA DURAN,"Ya ahí la orden era intervenir, entrar, porque anteriormente era una seguridad exterior únicamente; pero ya la orden ahí era intervenir, entrar y verificar lo que se hacía en el interior de esas dos refinerías y en el interior de esas nueve terminales marítimas. Se continúa con ese tipo de operaciones.",0.541333260777616,51,21,02,2019
JOSE RAFAEL OJEDA DURAN,"A partir del 10 de enero ya se nos encomendaron otras tareas, como fueron seguridad en ductos, se nos encomendaron en tres ductos, claro, nos repartimos la tarea entre la Secretaría de la Defensa y la Secretaría de Marina.",0.541333260777616,39,21,02,2019
JOSE RAFAEL OJEDA DURAN,"En el Tuxpan-Azcapotzalco, en el Minatitlán-Azcapotzalco, y en el que pasa por el estado de Guanajuato. A partir de ahí se empezaron a mandar personal de infantería de Marina.",0.541333260777616,29,21,02,2019
JOSE RAFAEL OJEDA DURAN,"Actualmente tenemos ahí involucrados alrededor de cuatro mil elementos destacamentados ahí en los ductos, en las refinerías y en las terminales marítimas.",0.541333260777616,22,21,02,2019
JOSE RAFAEL OJEDA DURAN,Y a partir de esa fecha se continúa con ese operativo.,0.541333260777616,11,21,02,2019
JOSE RAFAEL OJEDA DURAN,¿Qué es lo que se ha logrado?,0.541333260777616,7,21,02,2019
JOSE RAFAEL OJEDA DURAN,"Se han inspeccionado: 137 mil 947 personas, cinco embarcaciones, 23 mil 448 vehículos, aseguramiento de 17 personas, nueve embarcaciones, 106 vehículos, 98 mil 736 litros de gasolina y 99 tomas clandestinas en un tramo.",0.541333260777616,34,21,02,2019
JOSE RAFAEL OJEDA DURAN,Y se han vinculado a proceso cuatro embarcaciones por prácticas de trasiego de combustible no autorizado que involucraron alrededor de 28 mil litros de hidrocarburo.,0.541333260777616,25,21,02,2019
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la protección de los ductos. Es una inspección disuasiva que ha sido muy efectiva y se han asegurado ahí en esos ductos tres personas, 79 vehículos, 98 mil 586 litros de gasolina y se han asegurado, y ya con apoyo del personal técnico de Pemex se han logrado tapar bien, de una manera efectiva, 366 tomas clandestinas y se continúa con ese trabajo.",0.541333260777616,69,21,02,2019
JOSE RAFAEL OJEDA DURAN,Es lo que corresponde por el lado de la Secretaría de Marina.,0.541333260777616,12,21,02,2019
JOSE RAFAEL OJEDA DURAN,Muchas gracias.,0.541333260777616,2,21,02,2019
