Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," ¿Cómo están?, buenos días, ánimo.",0.7620954385754369,5,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos a dedicar todo el tiempo posible a la sesión de preguntas y respuestas. Es mejor. Empezamos.,0.5403403800069313,17,26,02,2019
PREGUNTA," Buenos días, presidente.",0.7291835902702605,3,26,02,2019
PREGUNTA,La información es democracia. Conferencia de prensa matutina desde Palacio Nacional.,0.9430619123716028,11,26,02,2019
PREGUNTA,Yo quisiera preguntarle. En estos días hemos estado publicando varios resultados de la Auditoría Superior de la Federación que se dieron a conocer. Entre ellos se detecta que en el tren México-Toluca hubo un disparo de inversión en costos del 80 por ciento y además hubo pagos que no están justificados por más de 700 millones de pesos.,0.026214818114093215,58,26,02,2019
PREGUNTA,"Saber, en esta nueva etapa de su gobierno, qué diferencia va a haber en estas obras. Había una visita el próximo jueves que se pospuso. Saber también por qué.",0.6452041523732461,29,26,02,2019
PREGUNTA,Por qué también hoy se cancela el inicio de la reconfiguración de la refinería que tenía programado en Hidalgo.,0.015299354203242127,19,26,02,2019
PREGUNTA,Y saber qué habló ayer con Germán Larrea. Si tuvo oportunidad de plantearle el tema de los mineros.,0.32056428129567943,18,26,02,2019
PREGUNTA,Muchas gracias.,0.500183160728402,2,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Estamos enfrentando lo que es de dominio público, una situación de muchas irregularidades, una herencia de obras inconclusas de inversiones sin beneficios.",0.009406657921263686,22,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Parte de esas obras que desgraciadamente, desafortunadamente no es la única, es el Tren Toluca a la Ciudad de México que se estimó en 20 mil millones de pesos de manera original, fue creciendo la cantidad. Y ahora para concluirlo se necesitan alrededor de 15 mil millones adicionales más lo ya invertido. En total costaría 65 mil millones de pesos lo que se estimó en 20, 25 mil millones.",0.16570708669691525,69,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Así está todo. Ayer hablamos también de estas plantas de fertilizantes que compraron, que se comprometieron recursos por alrededor de dos mil millones de dólares y todavía no operan las plantas, porque eran plantas viejas, convertidas en chatarra, además de que se compraron a precios elevados se destinaron recursos adicionales para rehabilitarlas y no se puede todavía terminar de modernizarlas.",0.2489105622495066,60,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, en todos estos casos vamos a presentar denuncias para no ser nosotros cómplices, porque si no lo mencionamos sería una omisión si no actuamos y la instancia correspondiente va a decidir. Por eso la Fiscalía General autónoma independiente.",0.005230556810295163,39,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero son muchos temas así: presas, hospitales, gasoductos, universidades, plantas, esto de los trenes.",0.5184068239822757,14,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Les explico. Por ejemplo, la situación del tren de Guadalajara, estuvieron a punto de inaugurarlo. Se autorizaron para este año mil millones de pesos, pero cuando pido el reporte de cuánto se requiere para terminarlo, me están planteando los técnicos que necesitamos un presupuesto adicional a los mil millones de pesos, de tres mil 500 millones de pesos para terminarlo el fin de año.",0.4407996991444072,64,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Y por qué tenemos que terminarlo lo más pronto posible?,0.5741594643877453,10,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque ha generado todo tipo de molestias una obra que se debió terminar desde hace años. Y así muchas otras. Entonces, estamos haciendo una reprogramación para ir terminando obras en procesos. No nos equivocamos, desde el principio dijimos: primero mantenimiento de carreteras, de infraestructura.",0.32519965448214844,44,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Afortunadamente, se aprobó presupuesto para mantenimiento de caminos. Y ya tengo el informe que se han licitado el 75 por ciento de las obras de mantenimiento a estas alturas. Eso fue un avance.",0.24664965825172575,33,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo segundo. Se le dio importancia a las obras en proceso, pero son tantas que no va a alcanzar el presupuesto de este año. Tenemos que reprogramar la terminación de estas obras. El caso de tren de Guadalajara son cuatro mil 500 millones. El caso del tren de Toluca a Ciudad de México alrededor de 15 mil millones.",0.49102917244238065,58,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a priorizar. A lo mejor terminamos el de Guadalajara para resolver ese asunto y nos queda el de Toluca a la Ciudad de México para terminarlo en dos, tres años en la medida de que se reprograme el presupuesto.",0.21315192452285447,41,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero eso es lo que se recibió. Una situación de mucho tiradero de obra. Se hacían muchas obras para beneficio de compañías constructoras y no se pensaba en el interés general, pero vamos a salir adelante.",0.04340578624183,36,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Cuál es tu otra pregunta?,0.22657186580713878,5,26,02,2019
PREGUNTA, ¿Por qué canceló su visita el próximo jueves?,0.6174313204065046,8,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Tengo hoy una reunión para lo del tren, precisamente, con el secretario de Comunicaciones, con la jefa de Gobierno que hay un tramo que tiene que ver con la Ciudad de México donde vamos a tomar ya una definición.",0.6763394965374081,39,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y no tenía caso que yo fuera sin tener todos los elementos, por eso se pospuso.",0.2234111379032721,16,26,02,2019
PREGUNTA," Y la segunda era la reunión que tuvo ayer con algunos empresarios, vino Germán Larrea. Si pudo comentarle el tema de los mineros.",0.5583340269506282,23,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, exactamente lo de los mineros, pero sí me reuní con un grupo de empresarios para intercambiar puntos de vista con el propósito de que se invierta en el país, porque necesitamos que haya crecimiento en la economía. Necesitamos generar empleos. Y fue muy buena la reunión. Ellos tienen inversiones en el sector minero, en el energético, tienen inversiones en comunicaciones, el grupo con el que me reuní.",0.5069184545245025,68,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y lo voy a seguir haciendo para que se estimula la inversión, que haya confianza y que podamos contar con la inversión privada, nacional y extranjera, porque también debe de quedar claro que no nos alcanzaría la inversión pública para crecer como lo necesita el país.",0.2823948140465608,46,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Necesitamos crecer a una tasa promedio anual del 4 por ciento, porque no olvidemos que en 36 años la tasa de crecimiento anual ha sido del 2 por ciento en términos generales. En términos reales prácticamente no ha habido crecimiento, porque si se descuenta el incremento poblacional es casi cero en 36 años.",0.023386318475789147,53,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, si no hay crecimiento económico, no hay empleos, no hay bienestar, no hay paz, no hay tranquilidad.",0.058733184000671186,18,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo estoy convencido, seguro, que vamos a avanzar mucho y que va a haber crecimiento económico. Entre otras cosas, insisto, porque no va a haber corrupción, que ese es un ingrediente que impide. Cuando hay corrupción se impide que haya crecimiento, o sea, la corrupción impide el crecimiento. Entonces, al no permitirse la corrupción, hay crecimiento.",0.0793639365199687,56,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se los explico de manera sencilla. Los técnicos, los expertos, van a las cifras, suele pasar y dicen: ‘La inversión pública en México es de las más bajas del mundo’. Y sí, es de las más bajas, incluso del continente americano, pero a eso habría que agregar la corrupción.",0.3407204187384669,49,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, si se invierten en el papel 600 mil millones de pesos, en realidad son efectivos, si acaso, 300 mil, porque esa inversión pública se convierte en corrupción en su mayor parte y además se hacen obras que no se terminan.",0.06896057986626955,41,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Qué va a pasar ahora?,0.7963370074709457,5,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Que esos 600 mil millones, en efecto, van a ser inversión pública y no se van a ir por el caño de la corrupción.",0.0830065600844175,24,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, tengo confianza de que esto nos va a permitir crecer. Vamos a hacer mucho más ahora con el presupuesto.",0.6005846900110762,20,26,02,2019
PREGUNTA," Nada más ¿a qué hora es su reunión con la SCT, presidente? Y si nos comparte el resto de su agenda del día, por favor.",0.07978217537944285,25,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Tengo esa reunión, luego tengo otra reunión con el gobernador de Nayarit, que recuerde, pero Jesús les da la agenda.",0.5376988780552548,20,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tres aquí, tres y tres.",0.541333260777616,5,26,02,2019
PREGUNTA, Buenos días.,0.9384397760356878,2,26,02,2019
PREGUNTA,"¿Qué información tiene sobre los refugios de mujeres en situación de violencia, porque los recursos federales no están llegando, hay alguna razón en particular para frenar esta ayuda?",0.1006689533384716,28,26,02,2019
PREGUNTA,"También ayer el vicepresidente de Estados Unidos le pide reconocer a Juan Guaidó. Y en este mismo tema, pedirle una opinión de lo que sucedió ayer con el periodista mexicano Jorge Ramos, allá en Venezuela.",0.13277482782831732,35,26,02,2019
PREGUNTA,Gracias.,0.441790940003079,1,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Mire. Nada que signifique justicia va a ser hecho a un lado. Que quede claro. Refugio de mujeres maltratadas, discriminadas, en riesgo, todo eso se mantiene, eso y más.",0.11230116193584823,29,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Lo que estamos haciendo es terminar con los gastos superfluos.,0.140016023555898,10,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Les voy a dar un ejemplo, dos ejemplos y pueden ser tres.",0.019283520359178713,12,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Miren. Un millón de personas con discapacidad ya están recibiendo, no todos, pero ya muchos y yo espero en un mes todos, están recibiendo una pensión de dos mil 550 pesos cada dos meses. Todas las niñas y todos los niños con discapacidad del país; pero, al mismo tiempo, existe el Instituto para la Atención a Personas con Discapacidad.",0.17955020622114615,59,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La pensión a un millón de personas con discapacidad que significa una inversión sin precedente. Nunca en la historia de México se había destinado tanto y les invito a que revisen el gasto público sobre esto. Hablamos como de 18 mil millones de pesos, pero se creó un instituto. El instituto tiene 600, 800 millones, algo así.",0.06881821339642591,57,26,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Entonces ¿qué estamos haciendo?,0.24794239265799167,4,26,02,2019
