Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,: Buenos días.,0.500183160728402,3,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy se conmemora un aniversario más de la promulgación de la Constitución de 1917, que es la Constitución vigente, muy reformada, muy modificada, sobre todo en el periodo neoliberal, en los últimos tiempos.",0.500183160728402,36,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Trabajamos desde temprano para dejar, en seis años, muy avanzada la obra de transformación.",0.500183160728402,14,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sin embargo, mantiene la esencia, han reformado la letra, pero se mantiene el espíritu de esta Constitución que se proclama, se aprueba, luego del movimiento revolucionario iniciado en 1910. Es el fruto de la lucha del pueblo de México por la transformación, en este caso la tercera transformación.",0.500183160728402,48,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si recordamos la primera fue la Independencia, la segunda fue el Movimiento de Reforma; la tercera la Revolución, con la Constitución del 17, que es la que recoge los anhelos del pueblo que luchó por la justicia y por la democracia.",0.500183160728402,41,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y ahora nosotros estamos llevando a cabo la Cuarta Transformación de la vida pública del país con la participación de millones de mexicanos.,0.500183160728402,23,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Por eso nos importa mucho recordar el que hoy se conmemora un año más de la aprobación de la Constitución de 1917.,0.500183160728402,22,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos a estar en Querétaro en la ceremonia de los poderes en el acto del gobierno de la República con motivo de este aniversario de la Constitución del 17.,0.500183160728402,29,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No vamos a olvidar estas fechas, porque si no sabemos de dónde venimos, difícilmente vamos a saber hacia dónde vamos.",0.500183160728402,20,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En esa Constitución, por ejemplo, se estableció en el artículo 27 el dominio de la nación sobre los recursos naturales, en particular se estableció que la propiedad del petróleo es de la nación, no del Estado; no del gobierno, de la nación. Por eso el petróleo es de los mexicanos y así otros recursos estratégicos.",0.500183160728402,55,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Han tratado de revertir este mandato constitucional, no lo han logrado del todo. Y nosotros estamos decididos a fortalecer el principio de que los recursos naturales son de la nación.",0.500183160728402,30,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No tenemos una legislación como la que existe en Estados Unidos. De acuerdo al derecho anglosajón, el dueño de la tierra es también el dueño del subsuelo.",0.500183160728402,27,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por la Constitución del 17 se establece que en México el subsuelo y todos los bienes que existen debajo de la tierra pertenecen a la nación, esto es el petróleo, el gas, todos los recursos naturales. Es distinto a lo que sucede en Estados Unidos.",0.500183160728402,45,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La polémica que se generó en ese entonces, lo que llevó a este artículo 27, fue que Porfirio Díaz entregó concesiones a empresas extranjeras y esas empresas que explotaban el petróleo desde 1901, que empezó la explotación petrolera en San Luis Potosí, en el campo petrolero El Ébano.",0.500183160728402,48,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esas empresas se sentían dueñas de grandes extensiones, dominaban todo el Golfo de México, toda la costa de Tamaulipas, de Veracruz, Tabasco, desde luego el Istmo.",0.500183160728402,26,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cuando se aprueba este artículo hay protestas, porque estas empresas y los gobiernos extranjeros tenían espías en Querétaro.",0.500183160728402,18,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Los Constituyentes del 17, con mucho sigilo, sin informar demasiado, decidieron presentar el texto al artículo 27, de modo que se aprobó pronto y ya no hubo tiempo de que se ejercieran presiones como era la costumbre.",0.500183160728402,37,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A partir de que se aprueba, sí vienen presiones fuertes al grado de que transcurrieron más de 20 años sin que se aprobara la Ley Reglamentaria del 27 en materia de petróleo, no lo permitían las empresas extranjeras y nuestro país recibió amenazas de todo tipo. Hasta que en 1938 el general Cárdenas tomó la decisión de que se recuperara el petróleo para beneficio de los mexicanos.",0.500183160728402,67,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Esa es parte de la historia.,0.500183160728402,6,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya conocen ustedes lo que ha venido sucediendo en los últimos tiempos, cómo han buscado dar marcha atrás a esa decisión soberana, porque después del 38, aunque se dieron algunas concesiones, presidentes como don Adolfo Ruiz Cortines modificó el 27 para que no se permitieran concesiones en materia de petróleo.",0.500183160728402,50,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Al sexenio siguiente, un gran presidente Adolfo López Mateos, hizo otra reforma al 27 para que no se permitieran ni concesiones ni contratos.",0.500183160728402,23,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El presidente Díaz Ordaz, con todo lo cuestionado que fue su gobierno, sobre todo por la represión a estudiantes, canceló los contratos que existían, siendo secretario, director de Pemex, Reyes Heroles, canceló los contratos.",0.500183160728402,34,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y canceló un contrato que tenía una empresa extranjera para explotar el petróleo en todo el litoral hasta Campeche, y unos años después de que se canceló ese contrato se descubrió Cantarell, el campo petrolero que sostuvo la economía de México durante 40 años.",0.500183160728402,44,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y ya el periodo neoliberal, ya lo conocen ustedes, es la lucha para mantener el petróleo, que siempre ha sido una gran tentación, siempre ha sido la gran tentación.",0.500183160728402,29,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso es muy importante lo de la conmemoración de la Constitución, porque si no vamos a estar pensando que es un puente más. No. Es algo muy importante, es la Constitución vigente la que nos rige.",0.500183160728402,37,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Aún modificada, reformada, es nuestra ley de leyes, es el marco legal al que debemos de apegarnos en todas nuestras decisiones como gobierno y también como ciudadanía, como sociedad.",0.500183160728402,29,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Esto es lo que quería yo informarles.,0.500183160728402,7,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y como nos vamos a ir allá, a Querétaro, vamos a abrir la sesión de preguntas y respuestas. No van a ser muchas ahora.",0.500183160728402,24,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Las dos. Hacemos esto: tres, tres y tres. Izquierda, derecha y centro.",0.500183160728402,12,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,": Sí, primero, expresar mi solidaridad contigo, mi apoyo amplio, total, fraterno, sincero. Todo mi apoyo.",0.500183160728402,16,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Decirte que estamos luchando todos los días para pacificar al país, para que no haya violencia, que nadie sea ofendido, agredido, amenazado, secuestrado, asesinado. Es nuestra ocupación. No sólo es nuestra preocupación, en eso estamos.",0.500183160728402,35,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Puedo comentarles que, ante la persistencia de homicidios, de violencia, estamos aplicándonos a fondo.",0.500183160728402,14,05,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy mismo decidimos llevar a cabo una acción en 17 regiones en donde se están cometiendo muchos delitos, el 35 por ciento de los homicidios en 17 regiones.",0.500183160728402,28,05,02,2019
