Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días, presidente.",0.32823650481604266,3,17,2,2020
PREGUNTA," ¿Qué mensaje enviaría a estos manifestantes?, que si bien no están boteando, pero están dejando que no se cobre, tomaron las casetas para que pasen los vehículos sin pagar.",0.32823650481604266,29,17,2,2020
PREGUNTA,"  Presidente, usted habló la semana pasada precisamente de estas empresas y dijo que había políticos involucrados.",0.32823650481604266,16,17,2,2020
PREGUNTA,"¿Podría darnos, decirnos qué políticos están involucrados con estas empresas?",0.32823650481604266,10,17,2,2020
PREGUNTA," Presidente, tengo otra pregunta.",0.32823650481604266,4,17,2,2020
PREGUNTA,"Investigadores de la UNAM y otras instituciones están reclamando que los Fondos Documentales de Investigaciones Políticas y Sociales, FDIPS, que es diferente al DFS, de la Dirección Federal de Seguridad del Archivo General de la Nación, han sido cerrados, contrario al decreto y promesa que hizo el año pasado de abrirlos.",0.32823650481604266,51,17,2,2020
PREGUNTA,"El fondo IPS estaba abierto desde sexenios anteriores. Es un fondo que consta de más de unas tres mil cajas de información en donde investigadores y periodistas podíamos ir y pedir una caja, hay un mundo de información que se puede consultar ahí y que se puede encontrar.",0.32823650481604266,48,17,2,2020
PREGUNTA,"¿Cuándo se cumplirá este compromiso de abrir todos los archivos históricos?, ¿qué le ha dicho a usted el director del Archivo General de la Nación de cómo van en este tema?",0.32823650481604266,31,17,2,2020
PREGUNTA," Sí, presidente. El Fondo IPS no estaba clasificado como el DFS, pero es un fondo increíble donde se pueden encontrar documentos de Gobernación, de todos los estados de la República.",0.32823650481604266,30,17,2,2020
PREGUNTA,"Entonces, sí es un fondo muy importante para los investigadores y periodistas también que queremos saber un poco qué pasó, por ejemplo, con la Guerra Sucia en los diferentes estados o como se hacían escuchas a veces para la Secretaría de Gobernación de diferentes entidades. Está muy interesante.",0.32823650481604266,48,17,2,2020
PREGUNTA," Buenos días, presidente. Paul Velázquez, de Los Mochis.",0.32823650481604266,8,17,2,2020
PREGUNTA,"Presidente, dos temas. El primero, ¿existe la…? Usted ha repetido que el dinero puede desvirtuar los valores de las personas. Veinte millones de pesos en un premio de la rifa del avión pudiera desvirtuar a las personas, pero aparte pudiera ponerlos en el ojo del huracán de la delincuencia organizada.",0.32823650481604266,50,17,2,2020
PREGUNTA,"¿Existiera la posibilidad que reanalizara que, en lugar de ser 100 ganadores de 20 millones se fuera a dos mil ganadores de un millón?",0.32823650481604266,24,17,2,2020
PREGUNTA,"El dinero, como el amor, no se puede ocultar. Un millón es suficiente para pagar la hipoteca, comprar una casa o poner un pequeño negocio. Podía no ser tan visto como 20 millones. Primera pregunta.",0.32823650481604266,35,17,2,2020
PREGUNTA, ¿Los otros empresarios siguieron su ejemplo o ya…?,0.32823650481604266,8,17,2,2020
PREGUNTA," Segundo tema. Le quiero hablar de la posibilidad de que México viole un tratado internacional, el Convenio de Ramsar, que protege los humedales y la promoción que está haciendo el gobierno buscando la independencia de los fertilizantes, la posible instalación de la planta de amoniaco en la bahía de Topolobampo, una de las más grandes del país, donde se encuentra la segunda roca saliente más grande del mundo, conocida como El Farallón; la Isla de los Patos, que permite que la migración de aves cada año se logre la reproducción y donde se llevó a cabo el primer combate aeronaval en la historia del mundo durante la Primera Guerra Mundial en 1914.",0.32823650481604266,112,17,2,2020
PREGUNTA,"El colectivo Aquí No pide de nuevo, así como se lo hicimos llegar el pasado martes 4 de junio aquí en la mañanera, una reunión con el secretario de Medio Ambiente.",0.32823650481604266,31,17,2,2020
PREGUNTA,"Usted giró una instrucción, pero no ha llegado, yo creo, porque no se ha concretado la cita. Si pudiera retomar el tema, por favor.",0.32823650481604266,24,17,2,2020
PREGUNTA, ¿En qué fechas se espera que estén operando?,0.32823650481604266,8,17,2,2020
PREGUNTA, ¿Relanzará Fertimex?,0.32823650481604266,2,17,2,2020
PREGUNTA," Gracias, buenos días.",0.32823650481604266,3,17,2,2020
PREGUNTA,"Isabel González, de Grupo Imagen.",0.32823650481604266,5,17,2,2020
PREGUNTA,"Presidente, a propósito de la merienda con los empresarios, donde hubo chocolate o tamales, yo le pregunto: ¿de cuánto dinero estamos hablando para que el gobierno de la 4T sea una realidad?, ¿cuántas colectas ha pensado usted semejantes para equipar escuelas, para terminar de equipar a los hospitales, patrullas, sostener las becas de los estudiantes, de las personas de la tercera edad?",0.32823650481604266,62,17,2,2020
PREGUNTA,"Y si solamente la ‘coperacha’ de los empresarios machuchones, así como usted lo dice en sus términos, va a ser en efectivo o puede ser en especie. ¿Ha pensado usted en teletones, por ejemplo?",0.32823650481604266,34,17,2,2020
PREGUNTA,Se hablaba… El líder de la Concamin deslizando muy sutilmente la posibilidad de que eso sea una donación y a partir de ahí sea una donación de impuestos. Eso sería importante.,0.32823650481604266,31,17,2,2020
PREGUNTA,"¿De cuánto estamos hablando? Y si es la única colecta que está pensando la 4T para que la 4T sea una realidad. Hace falta dinero en el país, hace falta la inversión en el país, presidente.",0.32823650481604266,36,17,2,2020
PREGUNTA," Por lo que entiendo, ya no va a hacer más colectas de este tipo.",0.32823650481604266,14,17,2,2020
PREGUNTA, Oiga y lo de la deducibilidad de los impuestos.,0.32823650481604266,9,17,2,2020
PREGUNTA," ¿No se puede?, ¿es por donación’",0.32823650481604266,6,17,2,2020
PREGUNTA," En otro tema, presidente. Ayer aquí al ladito, en la Catedral Metropolitana, el obispo auxiliar de México, Salvador González Morales, habló en su homilía de la violencia que se está viviendo en México, de la violencia contra las mujeres, los niños, las niñas, los migrantes.",0.32823650481604266,45,17,2,2020
PREGUNTA,"Consideró, comentó que pareciera que el Estado mexicano no está haciendo mucho o no está haciendo prácticamente nada para combatir estas agresiones hacia estos grupos vulnerables, que pareciera que en lugar de estar en primer lugar el tema de las agresiones a estos grupos vulnerables, se relativiza.",0.32823650481604266,47,17,2,2020
PREGUNTA,"Me gustaría saber cuál es su opinión, cuál es su consideración. Usted ha pedido la ayuda de los religiosos, no solamente los católicos, de todos los credos, incluso cuando usted estuvo en Estados Unidos muchísimas religiones lo siguieron a usted, nosotros lo vimos, Grupo Imagen lo siguió, fuimos testigos de eso.",0.32823650481604266,51,17,2,2020
PREGUNTA,"¿Qué le dice usted al obispo, a esta consideración de la creencia religiosa más importante en México?",0.32823650481604266,17,17,2,2020
PREGUNTA,"¿La Iglesia está haciendo su trabajo, no está haciendo su trabajo?, ¿qué le responde?",0.32823650481604266,14,17,2,2020
PREGUNTA, ¿Es bueno que la Iglesia diga esto?,0.32823650481604266,7,17,2,2020
PREGUNTA, ¿No está en segundo término las agresiones hacia las mujeres?,0.32823650481604266,10,17,2,2020
PREGUNTA," Y ya nada más, finalmente, una inquietud, presidente.",0.32823650481604266,8,17,2,2020
PREGUNTA,"Me gustaría saber que nos comentara cuál es va a ser la relación del gobierno de la 4T, del gobierno que usted encabeza, con Pedro Haces, que es el líder sindical y fundador de un nuevo partido Fuerza Social, que va muy bien, nos platicaron en el INE que va muy bien.",0.32823650481604266,52,17,2,2020
PREGUNTA,Se van a reunir. La CTM es al PRI como el PRI a la CTM.  ¿La Catem es a la 4T?,0.32823650481604266,21,17,2,2020
PREGUNTA, No hay favoritos.,0.32823650481604266,3,17,2,2020
PREGUNTA, Una buena relación.,0.32823650481604266,3,17,2,2020
PREGUNTA," Gracias, presidente.",0.32823650481604266,2,17,2,2020
PREGUNTA," Buenos días, presidente, Hans Salazar, de ZMG Noticias, Gurú Político, Zócalo Virtual.",0.32823650481604266,12,17,2,2020
