Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,  Buenos días.,0.32823650481604266,2,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues iniciamos la semana. Si les parece, vamos a escuchar el reporte de Quién es Quién en los Precios de los Combustibles, pasamos también los videos para mostrar los avances en la construcción del aeropuerto de Santa Lucía y la refinería de Dos Bocas, y luego contestamos preguntas y hay respuestas a todo lo que ustedes planteen, si les parece.",0.32823650481604266,60,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Vamos con los videos.,0.32823650481604266,4,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sólo complementar, como información, que el fin de semana inauguramos 69 cuarteles de la Guardia Nacional, hay 12 que están en proceso, de modo que van a ser 81, y se inicia la construcción de 80 más; vamos a tener 161 cuarteles a finales de este año.",0.32823650481604266,47,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto es muy importante porque en 14 meses tenemos ya más elementos en la Guardia Nacional que los que tenía la Policía Federal, la Policía Federal llegó a tener 36 mil elementos, efectivos 10 mil, 26 mil ocupados de cuestiones administrativas; ahora la Guardia Nacional tiene 76 mil elementos.",0.32823650481604266,49,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En 20 años la Policía Federal no llegó a tener los cuarteles que hemos construido en 14 meses. Esto es importante porque se va desplegando la Guardia Nacional y vamos a tener presencia en 266 coordinaciones territoriales, no sólo 150 mil elementos, sino las instalaciones.",0.32823650481604266,45,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Todo esto es posible porque se está invirtiendo. El presupuesto para este año de la Guardia Nacional es de alrededor de 50 mil millones de pesos.,0.32823650481604266,26,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Los cuarteles los están construyendo los ingenieros militares y son muy buenas instalaciones, tienen su plaza, su cancha deportiva, desde luego dormitorio para hombres, mujeres, tienen un aula para la formación, capacitación, tienen un consultorio para atender heridos, tienen estas instalaciones sistemas de vigilancia, estacionamiento para vehículos, un sitio para guardar las armas, están bardeados, con casetas de vigilancia.",0.32823650481604266,59,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces estuvimos en Michoacán, en Jalisco y en Guanajuato, porque se les dio prioridad a estos tres estados. De modo que vamos avanzando también en esto que nos preocupa mucho que es el de garantizar la paz y la tranquilidad, el poder enfrentar el flagelo de la violencia, estamos dedicados de tiempo completo a ese propósito. Entonces, también informarles.",0.32823650481604266,59,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No sé si hicieron, lo de los cuarteles, un video; si no, lo podemos presentar mañana sobre estas instalaciones, porque es muy importante.",0.32823650481604266,23,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cuando existía la Policía Federal, los mandaban a una misión a un estado y tenían que vivir en hoteles, en campamentos a la intemperie. No les importaba realmente crear una institución de seguridad bien hecha, profesional; ahora es distinto.",0.32823650481604266,39,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sí quiero destacar esto porque llevamos 14 meses. Parece como si estuviésemos a mitad del sexenio, pero no, 14 meses y hemos avanzado considerablemente. Bueno, ahí quedó.",0.32823650481604266,27,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, va a informar el Gabinete de Seguridad y les voy a pedir que incluyan todo el plan que se tiene sobre las casetas, cómo se está actuando, cuánto nos hemos ahorrado, cuánto ha ingresado a la hacienda pública, que es dinero de todo el pueblo, los servidores públicos somos simplemente administradores de los dineros del pueblo, entonces, cuando se llevan a cabo estas acciones es para que se protejan los bienes de todos.",0.32823650481604266,74,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Puede ser que alguien diga de manera indiferente que no es su dinero; está equivocado, sí es su dinero, es el dinero de todos. Hay quienes nada más se encogen de hombros y dicen: ‘A mí qué me importa’, pero con ese ingreso es que se puede garantizar el derecho a la educación, a la salud, el desarrollo, la seguridad pública.",0.32823650481604266,61,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si hay robadera, si lo que impera es la corrupción, pues el presupuesto se disminuye y entonces es cuando vienen los gasolinazos o los aumentos de impuestos para poder financiar el presupuesto o, peor aún, el endeudamiento, y estar pagando intereses de deuda.",0.32823650481604266,43,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, lo he venido diciendo, ya no ha robadera, prohibido robar. Si no se roba arriba, si no se permite el robo en ningún nivel de la escala social… ‘No, es porque son unos corruptos arriba, el presidente es un ratero ¿y yo por qué no?, ¿en dónde leo yo si todos están robando?’. No, no, se acabó eso.",0.32823650481604266,59,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Que entiendan que es una forma que tiene el gobierno, que es de todos, es del pueblo, para tener ingresos y terminar esa carretera, que nos ha costado bastante, precisamente por la corrupción, no por los que toman la caseta o permiten que pasen libre, sino por empresas que han quedado mal y no ha cumplido con sus contratos.",0.32823650481604266,59,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No puedo hacerlo. Hoy en la mañana, cuando analizamos cómo actúan jueces y magistrados, que utilizan pretextos, que están mal integradas las averiguaciones para dejar en libertad a presuntos delincuentes, se acuñó una frase que me gustó: ya no es debido proceso, sino el debido pretexto.",0.32823650481604266,46,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero bueno, por debido proceso no puedo decir quiénes, porque vamos a proceder, estamos procediendo legalmente.",0.32823650481604266,16,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Hoy mismo pedimos información y mañana les decimos cuál es el estado que guarda lo del Archivo. La indicación es que se abran todos los archivos, que no haya reservas. Eso es lo que se acordó y se tiene que cumplir.",0.32823650481604266,41,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Debe ser por algún asunto burocrático o por falta de personal, a veces también los directores de las áreas, para presionar, llevan a cabo ciertas acciones de resistencia, para decir: ‘¿Cómo abro todo el archivo si no tengo personal?, Hacienda no me da la autorización’, pero no sé si sea este el caso.",0.32823650481604266,53,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si faltara personal, que no creo porque tampoco es así de que pide y vas a tener, porque tenemos que racionalizar los gastos, pero si fuese ese el caso, de inmediato hay que atenderlo.",0.32823650481604266,34,17,2,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Mañana ya sabemos.,0.32823650481604266,3,17,2,2020
