Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CESAR EMILIANO HERNANDEZ OCHOA," Gracias, señor presidente.",0.32823650481604266,3,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"La presentación muy breve que se les va a hacer ahora, es del arranque del padrón que se denomina confianzaciudadana.gob.mx y parte de la idea que, digamos, que el propio presidente anunció cuando era presidente electo, de que había que confiar en la gente para construir comunidad y que uno de los temas para acabar con la corrupción de abajo era precisamente el lidiar con una de las molestias más fuertes que era todo el tema de los inspectores, que en algunos casos podían generar causas de molestia entre la gente.",0.32823650481604266,91,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Es muy breve lo que se presenta. La primera lámina, la siguiente, si la pueden pasar, es un proceso muy sencillo de inscripción, son cuatro pasos:",0.32823650481604266,26,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,Se registran las personas.,0.32823650481604266,4,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Se llena un formulario, en el formulario son tres campos básicamente los que se capturan: el nombre, si es una empresa, el representante legal, el domicilio; la actividad económica a la que se dedican, esos son los requisitos; y hay otros campos adicionales que pueden o no llenarse de información adicional que sirven para que las personas, los ciudadanos, empresarios con actividades económicas puedan darnos más información, que nos ayuden a volvernos más cumplidos.",0.32823650481604266,74,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,Se firma un manifiesto de cumplimiento.,0.32823650481604266,6,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,Se obtiene una constancia de registro.,0.32823650481604266,6,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"El sistema está hecho también para que en la parte de información adicional la gente nos pueda reportar si enfrenta problemas de corrupción con inspectores, problemas de trámites muy engorrosos o que nos den más información que nos ayuden a trabajar con las dependencias, a resolveros esos problemas o ayudarlos a poder cumplir con los objetivos.",0.32823650481604266,56,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Muy brevemente, la siguiente lámina, es básicamente es el manifiesto que se genera en el sistema, cuando uno accede y se registra. Ese es el manifiesto personalizado, su nombre se carga automáticamente en ese formato que está ahí, ahí se declara y esa es la clave del manifiesto, lo dijo el señor presidente ahora, es comunicar, el ciudadano tiene que comunicar que es una persona cumplida y quiere cumplir la norma, y que hasta donde él sabe está en cumplimiento de todas sus obligaciones legales y regulatorias.",0.32823650481604266,87,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Está basado en la buena fe, es una buena fe donde el gobierno le está correspondiendo al ciudadano que dice: ‘Yo soy cumplido’, dándole un cierto beneficio y está hecho para facilitar el cumplimiento de sus obligaciones. Este portal y este manifiesto no son para fiscalizar, son para darle la oportunidad al ciudadano de expresar su voluntad y su conformidad con la ley.",0.32823650481604266,63,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Se firma y los datos son muy sencillos, puede ser ya sea con la CURP, con las empresas ya medianas de más de 51 empleados pueden firmar con la Fiel o pueden firmar con el RFC, pero está hecho para que cualquier persona que tenga una identidad pueda acceder a este sistema.",0.32823650481604266,52,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"La siguiente lámina es la constancia. La constancia es el escudo que le va a permitir a la gente que ya ingresó y que es parte del portal y que tiene ya su registro poder exhibirla y decir: ‘Mira, yo soy una persona que es una persona cumplida y el gobierno me está dando esta constancia de registro en el Padrón de Confianza Ciudadana’.",0.32823650481604266,64,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Es una constancia por establecimiento, hay algunas condiciones por supuesto, si hay algún tipo de representación falsa o algo así, la constancia es nula. Pero todos los que se registren pueden tener esta constancia y les va a dar la garantía ante cualquier acto de inspección de que pueden exhibir y decir: ‘¿Sabes qué?, a mí me tiene que ser seguidas una serie de reglas y yo tengo una garantía de que soy una persona cumplida, se me da el beneficio de la duda’.",0.32823650481604266,84,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"La siguiente lámina es un poquito…. El régimen que entró en vigor cuando el 20 de enero se publicó la Ley de Fomento a la Confianza Ciudadana es que básicamente una suspensión general de inspecciones, salvo las excepciones que están previstas en la ley o las que son realizadas con este procedimiento de selección estratégica, lo llama la ley que pueden ser sorteos, que ahí sí se vale que practiquen las inspecciones. El desarrollo de este tipo de procedimientos de cómo se van a dar los sorteos se va pactando dependencia por dependencia.",0.32823650481604266,93,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"La semana pasada firmamos un primer convenio con el secretario de Turismo, Miguel Torruco, donde se abarcaron las inspecciones de los contratos de prestación de servicios turísticos, son el 50 por ciento de las inspecciones de la Secretaría de Turismo.",0.32823650481604266,40,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,Hoy seremos testigos dentro de algunos momentos de la firma de un convenio con la Ciudad de México para extender los beneficios del padrón federal al padrón local que se va a desarrollar.,0.32823650481604266,33,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Hay otros tres estados que también se desarrollarán este tipo de convenios para generar los beneficios, no sólo para las inspecciones federales, sino también para las inspecciones de menor nivel.",0.32823650481604266,30,26,2,2020
CESAR EMILIANO HERNANDEZ OCHOA,"Y una de las ideas básicas también es que una vez al año, con la periodicidad a las personas que se les haya dado esta visita de inspección por la manera aleatoria del sorteo que se haya decidido, puedan al final del año, los que hayan salido bien de esas inspecciones, recibir un reconocimiento del titular del Ejecutivo.",0.32823650481604266,58,26,2,2020
