Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE ALCOCER VARELA," Muchas gracias, señor presidente.",0.32823650481604266,4,28,2,2020
JORGE ALCOCER VARELA,Muy buenos días tengan todas y todos ustedes.,0.32823650481604266,8,28,2,2020
JORGE ALCOCER VARELA,"En efecto, esta es una situación anunciada y mis primeras palabras, que se suman a lo que ya señaló el presidente, es llamar a lo que caracteriza al pueblo de México, a su solidaridad y el acompañamiento en situaciones, que no es de gravedad, es una situación anunciada, es una situación que llama a la participación de todos.",0.32823650481604266,58,28,2,2020
JORGE ALCOCER VARELA,"Hay grupos más especiales, como ya se ha anunciado, circunstanciales, geográficas y ahí me detengo, que afortunadamente hay un factor favorable. Nosotros estamos saliendo del periodo de invierno -no con eso tener confianza en extremo- y esto mitiga la posibilidad de un virus que es no de mucha fuerza letal o de producir enfermedades.",0.32823650481604266,54,28,2,2020
JORGE ALCOCER VARELA,"Está recogido en esta experiencia ante un virus que se conocen otros de sus componentes, esta es una de las partes de expresión novedosa junto con otros virus, como saben ustedes el SARS que tuvo una presencia hace unos años.",0.32823650481604266,40,28,2,2020
JORGE ALCOCER VARELA,"Entonces, lo primero es la tranquilidad, pero no el ocultamiento. Aquí lo que se necesita es esa solidaridad del mexicano y no adelantarse, sino seguir los protocolos, las indicaciones con confianza, y esto lo señalo, con confianza a los médicos, a las enfermeras y a uno mismo, porque el autocuidado es muy importante en estos momentos, se expresa mucho el cariño.",0.32823650481604266,61,28,2,2020
JORGE ALCOCER VARELA,"Pero si alguien está tosiendo, la saliva es el conductor más claro y hay que alejarnos, no llegar a los extremos que muchas gentes, no la población, pero gentes con preocupación lo están recomendando de usar no solo cubrebocas, sino aditamentos, técnicamente más avanzados que no son necesarios ni en el mismo hospital, como ustedes saben.",0.32823650481604266,56,28,2,2020
JORGE ALCOCER VARELA,"Ayer se tuvo una expresión en la información técnica muy puntual, muy clara, llamando a la población, llamando a todos nosotros y cuidando a los más factibles que tenga esta infección. Esta es una primera situación.",0.32823650481604266,36,28,2,2020
JORGE ALCOCER VARELA,"Y la otra, además muy clara, es la confianza que también deben tener de nuestros hospitales. No se requiere contabilizar y hacer una situación de cuántas camas se necesitan en esta situación por habitante, por mexicano, por estado. No, lo que tenemos es claramente suficiente.",0.32823650481604266,45,28,2,2020
JORGE ALCOCER VARELA,"Se ha dado una dispersión y comunicación con los 32 secretarios de Salud y en ocasiones con los mismos gobernadores que están interesados en esto, como debe ser, para cuidar a su población.",0.32823650481604266,33,28,2,2020
JORGE ALCOCER VARELA,"Y tenemos cubierto esto, siempre y cuando -y eso compete a los mexicanos- tener el seguimiento de los protocolos. Hay que avanzar, no hay que atropellarse. Y definitivamente estas acciones son recogidas de experiencias previas y de las experiencias internacionales.",0.32823650481604266,40,28,2,2020
JORGE ALCOCER VARELA,"Ahora tenemos uno, dos, tres, casos y el objetivo para esta situación en esta tercera fase es evitar que se contagie y tener aislados en una forma muy sencilla, pero que compete a la sanidad, a los médicos, de saber en qué momento después de 14, 28 días esto se levanta.",0.32823650481604266,51,28,2,2020
JORGE ALCOCER VARELA,"Esta es una segunda nota que quisiera que tomaran todos los mexicanos, ustedes son los conductores de esto, de tranquilidad y de seguridad, no es de ocultamiento.",0.32823650481604266,27,28,2,2020
JORGE ALCOCER VARELA,"Y la última, es lo que también el presidente ya mencionó, una información constante, la variable más importante cuando hay una situación que cambia el rumbo de la llamada rutina de una población es comunicar y comunicar para no tomar medidas exageradas de que vamos a cerrar esto, vamos a tomar esta decisión. No es necesario, estamos preparados para ello.",0.32823650481604266,60,28,2,2020
JORGE ALCOCER VARELA,"Y agrego muy brevemente. Los hospitales privados, como siempre, en estas situaciones se suman a estas acciones y están avisados, comparten protocolos y los vamos a seguir con ellos.",0.32823650481604266,29,28,2,2020
JORGE ALCOCER VARELA,"Este es un panorama que me da gusto que ustedes estén atentos a ello y que lo difundan, porque estamos en la realidad de una situación donde tenemos que prevenir que estos casos, y si hubiera otros, se dispersen y se magnifiquen por falta de esos cuidados. El autocuidado es tan importante como el cuidado que se obtienen en un hospital con un médico. Esto es en todo.",0.32823650481604266,68,28,2,2020
JORGE ALCOCER VARELA,Muchas gracias.,0.32823650481604266,2,28,2,2020
