Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Muchas gracias. Con su permiso, señor presidente.",0.32823650481604266,7,4,2,2020
ZOE ROBLEDO ABURTO,"Efectivamente, el tema de las plazas y particularmente de especialistas lleva mucho tiempo en donde se fue complicando por una situación en particular: no se abrían las plazas, no había plazas nuevas qué ofrecer y en ese sentido el examen se diseñaba mucho en ese sentido, no tanto en función de qué se necesita, sino de qué plazas estaban abiertas y en particular en el Seguro Social.",0.32823650481604266,67,4,2,2020
ZOE ROBLEDO ABURTO,"El proceso que llevamos a cabo desde el año pasado junto con el propio sindicato de abrir una convocatoria de cerca de ocho mil plazas entre médicos, médicas, enfermeras, enfermeros, para el tema de hospitales de tiempo completo, para poder dar cirugía programada en fin de semana, el tema de consulta de especialidad y consulta de medicina familiar en fin de semana y la admisión continúa en urgencias, en las unidades de medicina familiar, la verdad que demuestra que sí hay también gente interesada en participar.",0.32823650481604266,86,4,2,2020
ZOE ROBLEDO ABURTO,De la convocatoria de cerca de casi nueve mil nuevas plazas en la primera etapa -no significa que todos cubran con el perfil- fueron cerca de 70 mil personas que mostraron algún interés y entiendo que también en la convocatoria de Médicos del Bienestar también ha habido esa respuesta.,0.32823650481604266,49,4,2,2020
ZOE ROBLEDO ABURTO,"Ahora, efectivamente hay casos muy específicos, por ejemplo, allá en Sonora de lugares en donde una especialidad en particular se convierte difícil de conseguir.",0.32823650481604266,24,4,2,2020
ZOE ROBLEDO ABURTO,"Honestamente muchas veces está vinculado a que no existe oferta, o más bien, no existe demanda para una práctica privada. Pongo un ejemplo, los radiólogos, difícilmente uno ve en la calle un consultorio de radiólogo, lo puede ver de un pediatra, de un cardiólogo, de otro tipo de especialidad.",0.32823650481604266,49,4,2,2020
ZOE ROBLEDO ABURTO,"Ahí lo que hemos estado trabajando, más allá de que nosotros sí creemos que el IMSS ofrece oportunidades para hacer un plan de vida profesional al interior del propio instituto, creemos que hay lugares en donde trabajando con los gobiernos estatales y municipales, podemos generar ese tipo de incentivos para que los doctores y las doctoras quieran ir a estos lugares.",0.32823650481604266,61,4,2,2020
ZOE ROBLEDO ABURTO,"Hay lugares, también lo decimos con toda claridad, que Tamaulipas es un caso en donde ciertos puntos, por motivo de alguna situación de inseguridad, se torna complicado; sin embargo, los doctores de IMSS-Bienestar a quienes se les ha ido ofreciendo a partir de un criterio de lejanía, de conectividad y también de situaciones, digamos de rezago social, se les ofrecen sobresueldos que van de entre cinco, 10, 15 y hasta 20 por ciento.",0.32823650481604266,73,4,2,2020
ZOE ROBLEDO ABURTO,"Pongo un ejemplo muy sensible: el de San Quintín, que es el hospital al que nosotros a su personal le ofrecemos mayor sobresueldo por la lejanía de ese lugar.",0.32823650481604266,29,4,2,2020
ZOE ROBLEDO ABURTO,"Pero es una composición: tanto lejanía, acceso a medios de comunicación, digamos en términos de carreteras, que esté conectado el lugar, y también cuestiones de rezago social, porque a nosotros nos interesa que los doctores que están mejor pagados sean los que van a los lugares más pobres de nuestro país donde tenemos alguna instalación de IMSS-Bienestar. Es un problema, dirían los técnicos, multicausal, no es una sola razón por las cuales de repente carecemos de médicos.",0.32823650481604266,77,4,2,2020
ZOE ROBLEDO ABURTO,"En el caso de Sonora -reitero, porque sí es un tema muy específico- lo que estamos haciendo ahora que ya vamos a tener dentro de unos días los resultados del Examen Nacional de Residencias Médicas más la convocatoria, ver cuáles incentivos tenemos para arraigar a los médicos en la institución.",0.32823650481604266,50,4,2,2020
ZOE ROBLEDO ABURTO,"Y un elemento más que hemos estado trabajando en el sector salud. Sí tenemos que ver cómo se recupera este asunto de la mística del doctor. En muchos casos existe y es extraordinario verlo, y que no sean solamente las motivaciones de carácter económico las que determinen o guíen una decisión.",0.32823650481604266,51,4,2,2020
ZOE ROBLEDO ABURTO,"Una de ellas es que muchos de los doctores que se preparan en el Seguro Social en cursos de especialidad y demás no tienen algún mecanismo en donde le retribuyan al Seguro Social con tiempo y trabajo en el instituto, como sí ocurre de repente, para poner un ejemplo similar, en Conacyt, en donde a veces los estudiantes de alguna especialidad que no ofrece el país cuando regresan tienen un compromiso de trabajar en una institución pública.",0.32823650481604266,77,4,2,2020
ZOE ROBLEDO ABURTO,"Estamos analizando qué tanto eso es viable y posible, también haciendo de nuestra parte algo que se había dejado de hacer: abrir más cursos. Hay lugares en donde los cursos son muy limitados y de repente abriendo uno o dos más podemos tener más especialistas.",0.32823650481604266,45,4,2,2020
ZOE ROBLEDO ABURTO,Gracias.,0.32823650481604266,1,4,2,2020
ZOE ROBLEDO ABURTO," Yo sí creo que es un problema que podemos resolver este año, quizá en el primer semestre, porque hemos trabajado muy, digamos, de manera colaborativa con todo el sector salud.",0.32823650481604266,30,4,2,2020
ZOE ROBLEDO ABURTO," A ver, el tema de la controversia de tesis que publicaron en el Semanario de Justicia, creo que sí vale la pena aclarar algunas cosas:",0.32823650481604266,25,4,2,2020
ZOE ROBLEDO ABURTO,"Primero, no es la primera vez que la Corte, en este caso la Segunda Sala, no es el pleno de la Corte, la Segunda Sala, tiene una opinión al respecto, lo tuvo en 2010 y lo tuvo en 2016.",0.32823650481604266,39,4,2,2020
ZOE ROBLEDO ABURTO,"Primero hay que decir algo: el ámbito de aplicación de esto no es un ámbito de aplicación general, es decir, no es una sentencia para las instituciones de seguridad social de nuestro país, es un criterio para los juzgados, para los tribunales colegiados de menor jerarquía.",0.32823650481604266,46,4,2,2020
ZOE ROBLEDO ABURTO,¿En dónde tienen que resolver como lo está estableciendo la Segunda Sala?,0.32823650481604266,12,4,2,2020
ZOE ROBLEDO ABURTO,"Cuando hay juicios nada más. No es de aplicación del Seguro Social, es decir, no es de aplicación obligatoria, no significa esto que estemos en un desacato ni mucho menos, simplemente no aplica al Seguro Social.",0.32823650481604266,36,4,2,2020
ZOE ROBLEDO ABURTO,"Y en ese sentido sí decir que nosotros vamos a seguir calculando las pensiones de las personas que están en este modelo de transición entre la ley del 73 y la ley del 97 en 25 salarios mínimos como se ha hecho durante los últimos años. Nadie corre riesgo el monto de su pensión, no se ‘rasura’ nada, como encabezó ayer un medio, no hay recálculo tampoco, no hay disminución.",0.32823650481604266,70,4,2,2020
ZOE ROBLEDO ABURTO,"Hay que entender una cosa: la Corte y en particular la Segunda Sala de la Corte estableció un criterio para sus juzgados, no para las instituciones de seguridad social. En ese sentido y para mayor seguridad lo que estamos planteando es que este criterio sea validado como lo estoy planteando, no me refiero al criterio de la Corte, al criterio de nosotros, seguir calculando igual por el Consejo Técnico del Seguro Social. Incluso lo digo, ni siquiera sería necesario, pero más vale tener esa certeza por el órgano de decisión de carácter tripartita que es el Consejo Técnico.",0.32823650481604266,98,4,2,2020
ZOE ROBLEDO ABURTO,"Pero sí me interesa aclarar, se va a respetar el esquema de cotización de todos los trabajadores que están en este esquema de transición a la hora de cotizar arriba de 10 salarios mínimos, es decir, se les va a seguir calculando en 25, por una razón simple: creemos que es el trabajo de toda su vida que cotizaron con 25 salarios, pues sería injusto reducirlo a 10. Pero esta controversia de tesis de la Segunda Sala no es de aplicación al Seguro Social.",0.32823650481604266,84,4,2,2020
ZOE ROBLEDO ABURTO, En IMSS-Bienestar.,0.32823650481604266,2,4,2,2020
ZOE ROBLEDO ABURTO," Primero, el dato que se acaba de presentar es de IMSS-Bienestar, de las farmacias y el surtimiento del IMSS-Bienestar, no es del régimen ordinario.",0.32823650481604266,24,4,2,2020
ZOE ROBLEDO ABURTO,"Este sistema de abastecimiento de recetas es dinámico, todos los días se va moviendo. Por eso yo comparto lo que presentaba el subsecretario López-Gatell de tener muy claro cuando se hace un tipo de información, cobertura de temas que tienen que ver con el abasto de aclarar en dónde se está planteando esto, porque de repente un hospital puede tener un asunto de desabasto que se atiende el mismo día o en horas, de manera muy rápida.",0.32823650481604266,77,4,2,2020
ZOE ROBLEDO ABURTO,"Segundo, ¿de qué medicamentos estamos hablando?, porque simplemente durante lo que va de este 2020, el IMSS ha intercambiado recetas por cerca de 17 millones de recetas entregadas; si tuviéramos un problema de desabasto, significaría que este número de 17 millones estuviera abajo.",0.32823650481604266,43,4,2,2020
ZOE ROBLEDO ABURTO,"Ahora, esta información que el columnista publica hoy es una información de alguna manera interna que nosotros tendríamos que verificar cuál es la fuente, por una razón más allá de la responsabilidad o no de publicar cosas que van cambiando todos los días:",0.32823650481604266,43,4,2,2020
ZOE ROBLEDO ABURTO,"Un día una unidad médica de alta especialidad, una de las 25 que hay en el país, o una delegación, hoy oficinas de representación del Seguro Social puede tener variaciones en el abasto. Esto no es algo que haya ocurrido ahora, es algo permanente; lo que sí les puedo decir que lo atendemos todos los días, todos los días estamos haciendo intercambios.",0.32823650481604266,62,4,2,2020
ZOE ROBLEDO ABURTO,¿Cuál es un dato mucho más fiable que el que publica hoy este columnista?,0.32823650481604266,14,4,2,2020
