Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
-PREGUNTA," Gracias, presidente. Buenos días.",0.32823650481604266,4,07,12,2018
-PREGUNTA,"Mire, en esta semana van dos periodistas asesinados, yo le quiero preguntar, la Fiscalía para Delitos Contra la Libertad de Expresión tiene una impunidad de 98.5 por ciento en los casos que toma.",0.32823650481604266,33,07,12,2018
-PREGUNTA,"¿Qué hará diferente, específicamente su Gobierno, a lo que hizo el Gobierno de Calderón y el Gobierno de Peña Nieto, para acabar con esta tragedia que aqueja al gremio periodístico?",0.32823650481604266,30,07,12,2018
-PREGUNTA," Gracias, buenos días.",0.32823650481604266,3,07,12,2018
-PREGUNTA,"Isabel González, de Grupo Imagen.",0.32823650481604266,5,07,12,2018
-PREGUNTA,"Ha dicho, presidente, en esta semana, que se le van a adelantar los recursos federales a los Gobernadores, que van a tener mayor presupuesto.",0.32823650481604266,24,07,12,2018
-PREGUNTA, (inaudible),0.32823650481604266,1,07,12,2018
-PREGUNTA," Gracias, presidente.",0.32823650481604266,2,07,12,2018
-PREGUNTA,Buenos días.,0.32823650481604266,2,07,12,2018
-PREGUNTA,"Horacio Jiménez, del Periódico El Universal.",0.32823650481604266,6,07,12,2018
-PREGUNTA,"Si me podría comentar qué espera el presidente con revivir la Plataforma México. Esta plataforma de información de delincuencia organizada, que se va a revivir en la Secretaría de Seguridad Pública.",0.32823650481604266,31,07,12,2018
-PREGUNTA,"En segundo elemento, presidente, también me gustaría preguntarle: qué opina de esta Ley de Austeridad, que ya está lista en la Cámara de Diputados y que se prevé que se apruebe la próxima semana en comisiones y en el pleno, y que prácticamente pone fin a los bonos para todos los servidores públicos e integrantes del Poder Judicial y organismos desconcentrados.",0.32823650481604266,61,07,12,2018
-PREGUNTA,Gracias.,0.32823650481604266,1,07,12,2018
-PREGUNTA," Gracias, señor presidente.",0.32823650481604266,3,07,12,2018
-PREGUNTA,Buenos días.,0.32823650481604266,2,07,12,2018
-PREGUNTA,"Miguel Alzate, de Canal 14.",0.32823650481604266,5,07,12,2018
-PREGUNTA,"Si nos pudiera aclarar, ayer el secretario de Turismo y el secretario de Comunicaciones y Transportes tuvieron ideas encontradas sobre al aeropuerto.",0.32823650481604266,22,07,12,2018
-PREGUNTA,"Torruco decía que en Santa Lucía iba a operar con vuelos internacionales y Jiménez Espriú hablaba que tanto la Ciudad de México como Santa Lucía iban a tener las dos operacionales nacionales e internacionales, porque si bien este proyecto ya se avaló con la consulta, parece que el Gobierno no tiene una idea clara de cuál va a ser su operación. Si nos puede aclarar esto.",0.32823650481604266,66,07,12,2018
-PREGUNTA,"Y, también, sobre la estrategia de seguridad que nos hablaba hace un momento, al principio, si tiene algún estado ya con la mira puesta para empezar esta estrategia que están trabajando.",0.32823650481604266,31,07,12,2018
-PREGUNTA,Gracias.,0.32823650481604266,1,07,12,2018
-PREGUNTA," Presidente, muy buenos días.",0.32823650481604266,4,07,12,2018
-PREGUNTA,"Carla Contreras, de Canal 11.",0.32823650481604266,5,07,12,2018
-PREGUNTA,"Haciendo un poco mención al tema este de seguridad. Ayer se anunció el despliegue de los primeros 50 mil elementos. Con qué instrucción llegan estos elementos, presidente, cuál va a ser el primer contacto que tengan con la ciudadanía, dado que es uno de los temas más sensibles que ahorita afectan al país.",0.32823650481604266,53,07,12,2018
-PREGUNTA,"Abordando el tema del turismo. Cuando llega la debacle energética, el sector turístico se convierte en uno de los motores de la economía nacional, y hoy ingresan una gran cantidad de recursos al país.",0.32823650481604266,34,07,12,2018
-PREGUNTA,"Ayer se anuncia el cierre del Consejo Nacional de Promoción Turística, ¿cómo le va a hacer el nuevo Gobierno para garantizar que el turismo se mantenga como uno de los principales sectores de la economía nacional?",0.32823650481604266,36,07,12,2018
-PREGUNTA,"Y, finalmente, su opinión sobre esta decisión de la Suprema Corte de defender los derechos de las trabajadoras domésticas. De hecho, ya ayer hubo una palomita por parte de la ONU para esta decisión, que es histórica para nuestro país, pero usted qué opina.",0.32823650481604266,44,07,12,2018
-PREGUNTA, (Inaudible),0.32823650481604266,1,07,12,2018
-PREGUNTA," Primero, un pequeño comentario.",0.32823650481604266,4,07,12,2018
-PREGUNTA,"En lo que dijo ahorita sobre el Instituto Nacional de Transparencia, el INAI, solo para comentar que para los periodistas sí ha servido mucho y muchas investigaciones que hemos podido hacer, que revelan corrupción en niveles de Gobierno, se hacen porque nos entregan documentos que por otro lado no podríamos tener.",0.32823650481604266,51,07,12,2018
-PREGUNTA,"No sé si usted tiene un plan de deshacer del instituto, pero me gustaría saber sin habrá forma de accesar a esta información en una forma transparente para el ciudadano y el público.",0.32823650481604266,33,07,12,2018
-PREGUNTA,"Y otro, sobre la situación de los migrantes centroamericanos en Tijuana. Estaba yo viendo, muchos están durmiendo en carpas, afuera, que no tienen mucha impermeabilidad y hay mucha enfermedad.",0.32823650481604266,29,07,12,2018
-PREGUNTA,"La situación está medio fea en temas humanitarios y quiero saber si hay un plan para atender a ellos, más allá de lo que están haciendo y que han estado haciendo desde las últimas semanas.",0.32823650481604266,35,07,12,2018
-PREGUNTA," Buenos días, presidente.",0.32823650481604266,3,07,12,2018
-PREGUNTA," Para preguntarle o, mejor dicho, pedirle una descripción, un detalle sobre esta estrategia que usted ha anunciado en sus últimos discursos y ahora mismo, esta estrategia de hablar con las familias.",0.32823650481604266,31,07,12,2018
-PREGUNTA,"Usted ha dicho, hablar con las familias todos los días. ¿Lo ha hecho?, ¿cuál es, digamos, el modelo que ha seguido? y ¿cuáles son los resultados hasta ahora obtenidos?",0.32823650481604266,29,07,12,2018
-PREGUNTA,Soy Daniel Blancas de La Crónica.,0.32823650481604266,6,07,12,2018
-PREGUNTA,Buenos días.,0.32823650481604266,2,07,12,2018
-PREGUNTA," Buenos días, presidente.",0.32823650481604266,3,07,12,2018
-PREGUNTA,"Jaime Obrajero, reportero de W Radio.",0.32823650481604266,6,07,12,2018
-PREGUNTA,"Yo quiero reportar el tema de los derechos plenos de las trabajadoras y trabajadores domésticos. Preguntarle si su Gobierno sí va a ratificar el Convenio 189 de la Organización Internacional del Trabajo, que precisamente cedió a eso, porque eso debió haber ocurrido desde hace cuatro años y son poco más de 2 millones los trabajadores domésticos, trabajadoras domésticas, la mayoría mujeres.         Si su Gobierno piensa ratificarlo y cuándo podría darse esto.",0.32823650481604266,71,07,12,2018
-PREGUNTA," Señor presidente, buenos días.",0.32823650481604266,4,07,12,2018
-PREGUNTA,"Urbano Barrera, del diario Ovaciones.",0.32823650481604266,5,07,12,2018
-PREGUNTA,"Yo quisiera preguntarle si dentro de su plan de austeridad aún contempla las recompensas, el sistema de recompensas, si se va a hacer esa ayuda, ese pago, a los testigos protegidos, que se les da un salario, casa-habitación, todo esto para poder avanzar en el combate a la delincuencia.",0.32823650481604266,49,07,12,2018
-PREGUNTA,La segunda es: el subsecretario Encinas dijo que se va a beneficiar a quien entregue información valiosa con el caso Ayotzinapa.,0.32823650481604266,21,07,12,2018
-PREGUNTA,"¿Se va a respetar todavía esa recompensa, máxima de 30 millones de pesos, en México?",0.32823650481604266,15,07,12,2018
-PREGUNTA,"Y la otra. Tocando el tema de los huachicoleros. La sociedad, todos los automovilistas también sufren un robo de combustible cada que vamos a las estaciones de servicio, a llenar el tanque.",0.32823650481604266,32,07,12,2018
-PREGUNTA,"El delito de robo desde que se expende, ¿también va a ser delito grave, cuando nos roban el 10 por ciento de la gasolina, que nosotros pagamos, pero que no se nos suministra al momento de llevar el automóvil?",0.32823650481604266,39,07,12,2018
-PREGUNTA,Gracias.,0.32823650481604266,1,07,12,2018
-PREGUNTA, Gracias.,0.32823650481604266,1,07,12,2018
-PREGUNTA,"Buenos días, presidente.",0.32823650481604266,3,07,12,2018
-PREGUNTA,"Preguntarle sobre el tema del balance de seguridad. Estamos por terminar una semana, ¿cuáles son los estados que reportaron mayores índices de inseguridad y si hubo una disminución? Por un lado.",0.32823650481604266,31,07,12,2018
-PREGUNTA,"Por el otro, ¿cuál es su opinión referente a la castración química? ¿Cree que sea la solución para evitar los delitos de violación, precisamente?",0.32823650481604266,24,07,12,2018
-PREGUNTA," Presidente, buenos días.",0.32823650481604266,3,07,12,2018
-PREGUNTA,"David Pérez de Tejada, de Informe 24.",0.32823650481604266,7,07,12,2018
-PREGUNTA,"Ahora que va a visitar Chiapas, ya como presidente constitucional, ¿cuál es la estrategia ante la grave crisis que padece el Estado, sobre todo en educación y salud?, ¿qué es lo que se va a hacer?",0.32823650481604266,36,07,12,2018
-PREGUNTA,"Y qué opina ante la solicitud de varios chiapanecos que, inclusive, han recolectado firmas, donde piden juicio político por corrupción para el casi, exgobernador, y senador Manuel Velazco.",0.32823650481604266,28,07,12,2018
