Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JUAN FRANCISCO RIVERA CAVAZOS,": Buenos días. Con su permiso, señor presidente.",0.541333260777616,8,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,Esta es una situación actual de un evento que tuvimos el día de ayer en el ducto de Tuxpan-Azcapotzalco.,0.541333260777616,19,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Como ya se mostraba el video, el derrame era de gran… magnitud considerable. Aquí lo que pasó, el artefacto ilícito fue degollado, tal vez de manera intencional para provocar el derrame y que originara la suspensión del poliducto para abastecer al Valle de México.",0.541333260777616,44,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"En esta ocasión, ¿qué es lo que hacemos? Dependiendo del perfil topográfico, donde se ubica la toma clandestina, se toman acciones como, primero, suspender la operación del ducto para evitar que siga el derrame; posteriormente, hacer trabajos de excavación para checar y hacer recuperación del mismo producto.",0.541333260777616,47,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Ya una vez que se cuenta con condiciones de seguridad para nuestros trabajadores, entramos ya con la reparación. Ese tipo de reparación, aquí la podemos ver, a su mano izquierda, son accesorios que se compran, se llama una abrazadera Smith Clamp para poder ya tapar el orificio, y con eso, nuevamente restablecer la operación del poliducto.",0.541333260777616,56,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Ese es otro evento que tuvimos, también el día de ayer, en el poliducto Tuxpan-Azcapotzalco, en otra ubicación del perfil, igual también con derrame de magnitud considerable; éste es un poco más noble ya que el perfil topográfico con el depresionamiento rápidamente nos permite hacer la obturación con equipos especializados que tenemos y con ello nuevamente restablecer la operación.",0.541333260777616,59,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Hay dos tipos de escenarios, en este caso la reparación es mínima, una hora, dos horas, y la que le mostraba anteriormente en ocasiones puede llevar hasta 12 horas por la seguridad que tiene que ver para nuestra gente y hacer los trabajos de recuperación de todo el producto.",0.541333260777616,49,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Bien, en el poliducto de Tula-Toluca, en el municipio de Acambay, Estado de México, también atendimos una toma clandestina descontrolada con incendio, ese es otro tipo, también, de eventos en el que nos enfrentamos día con día y que nuestra gente, aplicando los protocolos de seguridad, atendemos.",0.541333260777616,47,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Ese tipo de eventos también nos lleva tiempo para atender, ya que lo primero que tenemos que hacer es sofocar el incendio; una vez sofocado el incendio ya se implementan las medidas de seguridad para que nuestro personal entre al sitio y reparar la toma y reestablecer nuevamente la operación de los poliductos.",0.541333260777616,53,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Bien, es otro evento de otras características, también dada la complejidad en el mismo poliducto Tula-Toluca, que se ha visto afectado.",0.541333260777616,21,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Es el accesorio ilícito, utilizan medias cañas, con espárragos a los lados, posteriormente lo que es la válvula ilícita y aquí también, lo que tenemos que hacer es suspender la operación del ducto, hacer trabajos de depresionamiento para que nuestra gente pueda entrar, retirar el accesorio. Una vez retirado el accesorio se sanea el área para poder hacer trabajo de soldadura.",0.541333260777616,61,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,"Hay una iniciativa importante, como es el prohibir o regular la venta de las válvulas para evitar que se sigan haciendo tomas clandestinas.",0.541333260777616,23,15,01,2019
JUAN FRANCISCO RIVERA CAVAZOS,Muchas gracias por su atención.,0.541333260777616,5,15,01,2019
