Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,": Gracias, señor presidente.",0.32823650481604266,4,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,Muchas gracias. Muy buenos días a todos.,0.32823650481604266,7,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Como parte de las acciones que el gobierno federal está implementando para disminuir los índices de inseguridad en el país, desde el inicio de la presente administración el presidente de la República, en el Plan Nacional de Paz y Seguridad 2018-2024, instruyó a las Fuerzas Armadas para que, independientemente de las funciones que realizan para garantizar la seguridad nacional y la seguridad interior, apoyen de manera determinante las actividades en materia de seguridad pública.",0.32823650481604266,74,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Desde el 1º de diciembre del 2018, las Fuerzas Armadas y la Policía Federal desplegaron en las 150 coordinaciones regionales a efectivos de Policía Militar, Policía Naval y de la propia Policía Federal, con miras a la creación de la Guardia Nacional, institución que será la encargada de prevenir el delito, preservar la seguridad y hacer frente a la delincuencia dentro de un marco de respeto a la ley y a los derechos humanos.",0.32823650481604266,74,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Una vez que se aprueben las reformas constitucionales, este personal constituirá la Guardia Nacional, mismo que ya dispone de adiestramiento policial especializado y una sólida capacitación en materia de derechos humanos para desempeñarse como fuerzas de proximidad social y, al mismo tiempo, que se aprovechen sus valores y virtudes castrenses en los que la disciplina constituirá la columna vertebral del funcionamiento de esta fuerza.",0.32823650481604266,64,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Los 35 mil 745 efectivos desplegados en las coordinaciones regionales realizan actividades para prevenir y combatir los delitos del orden común; adicionalmente participan en otras actividades relacionadas con el desarrollo nacional y seguridad pública, como son: recorridos sobre rutas y áreas específicas, detención en flagrancia y apoyo a la ciudadanía, aplicación de la estrategia para la atención a las instalaciones estratégicas de Pemex.",0.32823650481604266,63,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Para consolidar la conformación de esta nueva institución del Estado se requiere la participación de mujeres y hombres íntegros, con gran sentido de la condición humana y responsabilidad social, para que resguarden los derechos de las personas; conscientes que su correcta actuación será fundamental para contribuir a preservar la seguridad pública y atender el problema de la delincuencia, mediante procedimientos policiales con respeto a la ley y a los derechos humanos como ya mencioné.",0.32823650481604266,74,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Por ello, la integración del personal que formará parte de esta institución será un proceso prioritario y de trascendental importancia, que se realiza en tres etapas:",0.32823650481604266,26,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"La primera, que correspondió a la integración que se citó anteriormente, de Policía Naval, Policía Militar y Policía Federal, quienes ya iniciaron actividades en cuestión de capacitación técnica, policial y axiológica en cuanto a virtudes militares.",0.32823650481604266,36,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"La segunda, la invitación a que militares marinos y policías en activo soliciten su integración a esta institución.",0.32823650481604266,18,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Y la tercera que, como ya mencionó el señor presidente, aquí se está anunciando el día de hoy la captación de personal civil que desee incorporarse a este nuevo proyecto, que se realizará en los centros de reclutamiento militares y navales, que se establecerán en todo el país. En la lámina se ven los centros en las diferentes regiones militares y navales.",0.32823650481604266,62,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,El objeto es brindarles la oportunidad a los jóvenes que habitan en la República Mexicana para que se sumen a este esfuerzo nacional.,0.32823650481604266,23,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Para materializar esta etapa, se reclutarán del 2019 al 2021, un total de 50 mil jóvenes; durante el presente año solamente corresponderá captar 21 mil 170 elementos, destinados, bajo responsabilidad de la Secretaría de la Defensa Nacional, 14 mil y por la Secretaría de Marina, seis mil.",0.32823650481604266,47,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"A continuación, el señor almirante secretario va a continuar con esta presentación sobre el reclutamiento.",0.32823650481604266,15,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,": Gracias, señor presidente.",0.32823650481604266,4,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Como ya lo citamos anteriormente, van a tener una serie de ofrecimientos por parte del gobierno federal, entre ellos servicio médico toda la carrera profesional.",0.32823650481604266,25,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Pero para entrar en específico el personal, su ingreso será a partir de los 18 años y hasta los 30 años para el caso de la gente que tenga alguna especialidad que pueda ser empleada dentro de la estructura, alguna capacitación especial, licenciaturas, maestrías que puedan ser identificadas como importantes para incorporarlas a la institución.",0.32823650481604266,55,02,01,2019
SECRETARIO LUIS CRESCENCIO SANDOVAL GONZALEZ,"Para entrar tienen que ser sometidos a un examen físico, un examen médico, un examen psicológico, la verificación de no tener antecedentes penales. Ese es el mismo procedimiento que se utiliza tanto en la Secretaría de Marina como en la Secretaría de la Defensa Nacional cuando accede algún ciudadano a las Fuerzas Armadas.",0.32823650481604266,53,02,01,2019
