Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HOMERO MENDOZA RUIZ,: Muchas gracias.,0.541333260777616,3,28,01,2019
HOMERO MENDOZA RUIZ,Muy buenos días.,0.541333260777616,3,28,01,2019
HOMERO MENDOZA RUIZ,"Me voy a permitir presentarles una gráfica que describe el esfuerzo que han hecho las Fuerzas Armadas, la Policía Federal y Pemex para la detección y atención de las tomas clandestinas.",0.541333260777616,31,28,01,2019
HOMERO MENDOZA RUIZ,"Ustedes ven en el cuadro que está expuesto el resultado de tomas clandestinas, el alertamiento en tomas clandestinas que a través del sistema de monitoreo que se sigue en Pemex nos hace llegar al Ejército y a la Secretaría de Marina y Policía Federal.",0.541333260777616,44,28,01,2019
HOMERO MENDOZA RUIZ,Del 7 al 27 de enero tenemos estos resultados:,0.541333260777616,9,28,01,2019
HOMERO MENDOZA RUIZ,"Han sido localizadas un total de 293 tomas clandestinas, no localizadas porque, precisamente, el sistema no es tan preciso, no nos da la ubicación exacta, el kilómetro exacto en cada uno de los ductos, que nos diera la certeza y nos diera la oportunidad de atender eficazmente cada toma.",0.541333260777616,49,28,01,2019
HOMERO MENDOZA RUIZ,"Paralelo a este esfuerzo de no localizadas tenemos mil 22, tenemos también no reportadas, esta cifra describe el esfuerzo que hacen, independientemente de las tomas o de las alertas que nos da Pemex, el personal militar en el terreno sigue realizando reconocimientos y encuentra tomas clandestinas que nosotros en este caso somos los que le reportamos a Pemex para que las incluya dentro del esquema general de atención.",0.541333260777616,68,28,01,2019
HOMERO MENDOZA RUIZ,"Total, tenemos 369 no reportadas por Pemex, pero que ya ha han sido atendidas.",0.541333260777616,14,28,01,2019
HOMERO MENDOZA RUIZ,"Nos arroja un total de mil 684 tomas clandestinas, de las cuales un promedio de 600, en realidad han sido atendidas y nos quedan estas mil 22, que seguramente nos obliga a realizar un esfuerzo adicional que incluye unos reconocimientos más intensos, pero también la necesidad de que Pemex estructure células para atención de estas tomas clandestinas y podamos tener un trabajo más eficiente.",0.541333260777616,64,28,01,2019
HOMERO MENDOZA RUIZ,"Les voy a presentar como lo indicó el señor presidente, en San Juan del Río, muy cercano, a escasos ocho kilómetros de donde el día 18 tuvimos también, en el mismo día en el que se presentó la crisis en el estado de Hidalgo, también tuvimos una toma clandestina en Querétaro que provocó un incendio que fue controlado.",0.541333260777616,58,28,01,2019
HOMERO MENDOZA RUIZ,"Esta toma, si como ustedes observan los gráficos, a las 8:15 de la mañana fue detectada por personal de nosotros, tres bases de operaciones acudieron para acordonar el área.",0.541333260777616,29,28,01,2019
HOMERO MENDOZA RUIZ,"Suspendió Pemex a las 8:53 el flujo en el ducto, bloqueando el tramo y el derrame se ubicó en un área rural de labranza despoblada, sin riesgo para la población, pero contaminó.",0.541333260777616,32,28,01,2019
HOMERO MENDOZA RUIZ,"A las 10:50 se controló la fuga, quedando reparado el ducto. Tenemos ahí el video, a ver por favor pónganlo, ustedes vean la magnitud.",0.541333260777616,24,28,01,2019
HOMERO MENDOZA RUIZ,"Bien, como ustedes pueden apreciar, esto precisamente confirma el riesgo que representa este tipo de actividades ilícitas, porque cualquier chispa, cualquier flamazo provoca el incendio y consecuentemente, en el caso de los que acuden, acuden pobladores o personas a tomar el combustible de esta manera ilícita, pueden tener alguna lesión.",0.541333260777616,50,28,01,2019
HOMERO MENDOZA RUIZ,"Tenemos otra toma clandestina, esta tiene una particularidad, esta fue encontrada en el tramo Salamanca-Guadalajara, en el municipio de Zapotlanejo, la particularidad de esta toma es que está sobre el ducto; no se percibía ningún olor, no había aroma, no había signos de que pudiera estarse utilizando.",0.541333260777616,47,28,01,2019
HOMERO MENDOZA RUIZ,"Siguiendo el recorrido de la manguera, una manguera de alta presión, a dos kilómetros del lugar encontramos el sitio en donde se estaba envasando el líquido.",0.541333260777616,26,28,01,2019
HOMERO MENDOZA RUIZ,"Esto nos obliga a nosotros, al personal que realiza reconocimiento terrestre, a extender sus reconocimientos a hacer el esfuerzo a ambos lados de los poliductos para cerciorarnos de que no existan este tipo de tomas, este tipo de áreas de almacenamiento.",0.541333260777616,41,28,01,2019
HOMERO MENDOZA RUIZ,"Es cuanto, señor presidente.",0.541333260777616,4,28,01,2019
HOMERO MENDOZA RUIZ,: (inaudible).,0.541333260777616,2,28,01,2019
HOMERO MENDOZA RUIZ,": Perdón, el general regresó de su comisión que tenía en Panamá y se encuentra asignado a la Dirección General de Personal en espera de que se le presente o se le haga algún requerimiento legal o administrativo en relación a su función como jefe de la Subdirección de Salvaguarda de Pemex.",0.541333260777616,52,28,01,2019
HOMERO MENDOZA RUIZ,": No, bajo ningún concepto. Él está asignado a la Dirección General de Personal.",0.541333260777616,14,28,01,2019
HOMERO MENDOZA RUIZ,"Hasta ahorita nosotros no tenemos ninguna notificación oficial o judicial respecto a él, únicamente espera a que se le notifique alguna (inaudible). Simplemente fue una medida tomada, asumida por la Secretaría de la Defensa Nacional de tener la oportunidad de que, en caso de ser requerido, se presente.",0.541333260777616,48,28,01,2019
