Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GRACIELA MARQUEZ COLIN," Con su permiso, presidente.",0.32823650481604266,4,14,11,2019
GRACIELA MARQUEZ COLIN,Muy buenos días a todas y todos.,0.32823650481604266,7,14,11,2019
GRACIELA MARQUEZ COLIN,"Como ya se adelantaba, queremos el día de hoy anunciar el inicio del programa El Buen Fin 2019, que arranca al primer minuto del viernes 15 de noviembre y se extiende hasta el último minuto del lunes 18 de noviembre, el próximo lunes.",0.32823650481604266,43,14,11,2019
GRACIELA MARQUEZ COLIN,"Lo primero que hay que decir es que este es un programa de colaboración entre el sector público y el sector privado. Del sector privado participa Concanaco-Servytur, una organización empresarial con más de 250 cámaras y más de 700 mil empresas afiliadas; lo mismo que el ANTAD, que representa 100 cadenas de autoservicio y 46 mil empresas afiliadas.",0.32823650481604266,58,14,11,2019
GRACIELA MARQUEZ COLIN,"Además de estas dos organizaciones empresariales, crecientemente El Buen Fin también ha reflejado un cambio que se ha dado en la economía mexicana y que tiene que ver con las compras en línea, por eso también es muy importante la participación de la Asociación de Internet Mx y la Asociación Mexicana de Ventas Online. Esto es en cuanto a las organizaciones empresariales directamente ligadas a actividades de comercio.",0.32823650481604266,68,14,11,2019
GRACIELA MARQUEZ COLIN,"Pero en El Buen Fin también contamos con la participación del Consejo Coordinador Empresarial, la Asociación de Bancos de México y la Cámara Nacional de la Industria de la Radio y la Televisión.",0.32823650481604266,33,14,11,2019
GRACIELA MARQUEZ COLIN,"Del lado del sector público el programa participa, se coordina con la Secretaría de Economía, pero coordina un espectro amplio que incluye a la Secretaría de Turismo, a la Secretaría de Hacienda y Crédito Público, cuya participación del SAT, que forma parte del Hacienda, es muy importante, además de Fonacot, que participa también en el programa.",0.32823650481604266,56,14,11,2019
GRACIELA MARQUEZ COLIN,¿Cuáles son las actividades de arranque de este Buen Fin y en qué consiste El Buen Fin?,0.32823650481604266,17,14,11,2019
GRACIELA MARQUEZ COLIN,"La idea es, primero, un fomento a las compras y que este fomento a las compras pase por descuentos reales, pase por un ofrecimiento a los consumidores de productos más baratos, en mejores condiciones de mayor calidad. Y para ello entonces se organizan estos cuatro días de Buen Fin.",0.32823650481604266,49,14,11,2019
GRACIELA MARQUEZ COLIN,"Las actividades, les decía, arrancan el primer minuto del viernes 15 de noviembre. Y para dar el banderazo de salida estaremos en una librería del sur de la Ciudad de México el secretario de Hacienda, la directora del SAT, el presidente de la Concanaco Servytur y quien habla.",0.32823650481604266,48,14,11,2019
GRACIELA MARQUEZ COLIN,"A las 10 de la mañana del viernes también estaremos en la calle de Madero, aquí a un par de cuadras del Palacio Nacional, dando el arranque; y ahí nos acompañará además, el secretario de Turismo y la jefa de Gobierno de la Ciudad de México, Claudia Sheinbaum.",0.32823650481604266,48,14,11,2019
GRACIELA MARQUEZ COLIN,"Además de estos dos puntos de arranque, durante el sábado, domingo y lunes en las ciudades de Mérida, Guadalajara y Monterrey estaremos realizando visitas a establecimientos para ver el desempeño del Buen Fin.",0.32823650481604266,33,14,11,2019
GRACIELA MARQUEZ COLIN,"El Buen Fin, además, tiene un estímulo adicional a los consumidores que hacen sus compras con tarjeta de crédito. Estas quedan registradas, estas compras, y se realiza un sorteo que devuelve a los consumidores el monto de sus compras si resultan ganadores en el sorteo, y los ganadores se dan a conocer en el mes de diciembre.",0.32823650481604266,57,14,11,2019
GRACIELA MARQUEZ COLIN,"Esperamos que, como en los años anteriores, siga creciendo El Buen Fin, siga creciendo la participación para que las familias mexicanas tengan la oportunidad de adquirir bienes y servicios más baratos, de mejor calidad y en mejores condiciones.",0.32823650481604266,38,14,11,2019
GRACIELA MARQUEZ COLIN,"Todos hemos visto las imágenes de compra, los principales bienes que son adquiridos son: calzado, ropa, electrodomésticos y crecientemente servicios de turismo.",0.32823650481604266,22,14,11,2019
GRACIELA MARQUEZ COLIN,"Con esto les dejo esta información del Buen Fin, que creemos que va a seguir siendo en esta, su novena edición, un programa que muestre la colaboración del sector público y del sector privado, pero sobre todo, que beneficie a todos los consumidores que en él participan.",0.32823650481604266,47,14,11,2019
GRACIELA MARQUEZ COLIN,Muchas gracias.,0.32823650481604266,2,14,11,2019
GRACIELA MARQUEZ COLIN,"Doy la palabra ahora a José Manuel López, presidente de la Cámara de Comercio, de la Concanaco.",0.32823650481604266,17,14,11,2019
GRACIELA MARQUEZ COLIN,Gracias.,0.32823650481604266,1,14,11,2019
GRACIELA MARQUEZ COLIN," Como ya nos los hizo saber José Manuel, está esta aplicación de parte de Concanaco Servytur, que les servirá a los consumidores para su toma de decisiones, pero también nosotros queremos enfatizar el importante papel que va a tener Profeco en este Buen Fin.",0.32823650481604266,44,14,11,2019
GRACIELA MARQUEZ COLIN,"Profeco tiene fechas pico, fechas muy importantes a lo largo del año, y precisamente El Buen Fin es una fecha muy importante para Profeco, para su labor de verificación y su labor de conciliación.",0.32823650481604266,34,14,11,2019
GRACIELA MARQUEZ COLIN,"Revisa, como ya se indicó, que las ofertas sean ofertas reales; y cuando no son, recibe las demandas, las quejas de los consumidores y llega a una conciliación con los consumidores.",0.32823650481604266,31,14,11,2019
GRACIELA MARQUEZ COLIN,"El procurador me ha mostrado ya la estrategia que tiene a seguir estos días y estamos seguros que en el trabajo que hagan los consumidores con un consumo responsable, con las preguntas de si realmente lo necesita, si tiene forma de financiar, de pagarlo, sin caer en esquemas de sobreendeudamiento, por una parte, y que realmente sean artículos y servicios que mejoran su bienestar y el bienestar de su familia, por una parte; y por otra, que la autoridad, que Profeco haga su trabajo, y ahí viene el procurador a hacer su trabajo.",0.32823650481604266,93,14,11,2019
GRACIELA MARQUEZ COLIN,"Le agradezco mucho que nos acompañe, nos va a estar acompañando durante todo el proceso del Buen Fin y seguramente él nos podrá decir esta estrategia de verificación que tiene ya armada y que va a ser muy importante.",0.32823650481604266,39,14,11,2019
GRACIELA MARQUEZ COLIN,"Es cierto que la aplicación es muy buena y Ricardo Sheffield va a venir a reportar aquí, como lo hace cotidianamente con los precios de las gasolinas, los resultados que obtendremos en El Buen Fin en términos de verificación y en términos de Quién es quién en los precios del Buen Fin.",0.32823650481604266,52,14,11,2019
GRACIELA MARQUEZ COLIN,Ricardo.,0.32823650481604266,1,14,11,2019
GRACIELA MARQUEZ COLIN, Gracias por la pregunta.,0.32823650481604266,4,14,11,2019
GRACIELA MARQUEZ COLIN,"Efectivamente, se sigue trabajando en un plan de infraestructura que será anunciado próximamente y que nos dará cuenta de inversiones ya de realización inmediata de corto y mediano plazo.",0.32823650481604266,29,14,11,2019
GRACIELA MARQUEZ COLIN,"Y esto va a ayudar a reactivar a la economía mexicana, pero no es el único elemento y no podemos pensar que el Plan Nacional de Infraestructura por grande que sea es el único elemento, suma a las otras acciones que toma el gobierno federal.",0.32823650481604266,45,14,11,2019
GRACIELA MARQUEZ COLIN,"Ya desde mediados del verano, el secretario de Hacienda anunció una serie de créditos otorgados por Fonacot y así se han ido sumando distintas acciones.",0.32823650481604266,25,14,11,2019
