Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días, señor presidente. Hans Salazar, de ZMG Noticias, Zócalo Virtual y Gurú Político.",0.32823650481604266,14,4,11,2019
PREGUNTA,"Sobre el tema de la visita del presidente electo Alberto Hernández, de Argentina. Usted ve precisamente… se ha mencionado mucho en esta víspera de la visita sobre si va a haber, si se pretende incluso en un futuro inmediato un eje que fortalezca, no solo que fortalezca la relación México-Argentina, sino un eje progresista que pasé por… que vaya desde México hasta Argentina pasando por Bolivia y eventualmente otros países que están ahorita en una convulsión social, en una lucha incluso contra el propio modelo neoliberal que aquí se ha mencionado.",0.32823650481604266,91,4,11,2019
PREGUNTA,"¿Usted avizora esa fortaleza?, no solamente en un tema económico, en un tema de visión regionalista, sino más allá avizorando esta eventual decaída, muerte incluso algunos analistas lo mencionan al neoliberalismo.",0.32823650481604266,31,4,11,2019
PREGUNTA,"¿Usted iría más allá sobre en esta relación a hacer un liderazgo fuerte y consolidarlo?, ¿usted estaría dispuesto a llegar a ese grado de alianza con Argentina y demás países?",0.32823650481604266,30,4,11,2019
PREGUNTA,"Y ahorita le hago una segunda pregunta, por favor.",0.32823650481604266,9,4,11,2019
PREGUNTA," Presidente, segunda pregunta. A propósito de este punto que menciona la democracia, el llegar al poder a través de la democracia, usted llegó con un respaldo inédito.",0.32823650481604266,27,4,11,2019
PREGUNTA,"Y la pregunta obligada el día de hoy, por el fin de semana que usted tuiteó, es el tema de que en México la mayoría de la población respaldaría a su presidente elegido democráticamente -ya dije, con un respaldo impresionante- contra un golpe de Estado.",0.32823650481604266,45,4,11,2019
PREGUNTA,"Usted tuiteó este fin de semana a propósito y bueno, ha habido el tema del general Gaytán, por poner un ejemplo y que ya se ha mencionado en esta conferencia por parte de usted. Aquí han estado los mandos tanto de la Secretaría de la Defensa Nacional como de la Marina.",0.32823650481604266,51,4,11,2019
PREGUNTA,¿Usted ve riesgos?,0.32823650481604266,3,4,11,2019
PREGUNTA,"El discurso de… incluso ahora ya hay otro general que ha mencionado y que tiene un discurso que la oposición se ha ido contra usted, es una narrativa muy similar.",0.32823650481604266,30,4,11,2019
