Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
IGNACIO OVALLE FERNANDEZ," Con su permiso, señor presidente y muy buenos días a toda la audiencia.",0.32823650481604266,13,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Su servidor va a hacer una pequeña descripción recordatoria de lo que ya hemos dicho en otra ocasión sobre Precios de Garantía, entre otras razones para ver qué hemos hecho y cómo vamos.",0.32823650481604266,33,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Quiero recordar que en el caso de maíz se fijó un precio de cinco mil 610 pesos, más 150 pesos adicionales de apoyo al transporte para que no abusen del pequeño productor a pie de parcela; y ahí hay una limitación, el límite es a productores de hasta cinco hectáreas de temporal y solamente se compran hasta 20 toneladas.",0.32823650481604266,59,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Pero, ¿esto qué significa?",0.32823650481604266,4,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Significa que el 100 por ciento de los productores más humildes de México queda cubierto con este Precio de Garantía. Hay otros productores de maíz, muchos más, pero todos los que son más pobres del campo mexicano, los que estuvieron inveteradamente olvidados son atendidos con ese Precio de Garantía.",0.32823650481604266,49,5,12,2019
IGNACIO OVALLE FERNANDEZ,¿Qué ocurrió hasta la fecha con ello?,0.32823650481604266,7,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Bueno, pues debo informar por indicaciones del presidente y la autorización de nuestro secretario de Agricultura que está permanentemente pendiente del desarrollo de este programa, en el caso de maíz, nosotros compramos, empezamos a comprar este año, en este momento está empezando a recogerse los primeros frutos de esa cosecha. No se había hecho antes, porque es hasta este ciclo cuando se empieza a dar la cosecha correspondiente.",0.32823650481604266,68,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Estimamos que vamos a comprar y beneficiar a un millón 600 mil productores cuando menos y es probable que captemos dos millones de toneladas. Si eso tiene lugar, la derrama económica va a ser de 11 mil 200 millones o más de pesos en favor de esa población.",0.32823650481604266,48,5,12,2019
IGNACIO OVALLE FERNANDEZ,"En el caso del frijol el precio quedó fijado en 14 mil 500 pesos. Y ustedes, o algunos de ustedes, quizá recordaran, que el límite era para poseedores o productores de hasta 20 hectáreas; la necesidad, la realidad, ha impuesto la necesidad de elevar ese límite a productores de hasta 30 hectáreas de temporal y cinco hectáreas de riego.",0.32823650481604266,59,5,12,2019
IGNACIO OVALLE FERNANDEZ,"Aquí hay un límite, que es que se compran hasta 15 toneladas por productor, pero aquí también podemos decir que prácticamente el 100 por ciento de los productores más necesitados en este grano, en frijol, son atendidos.",0.32823650481604266,37,5,12,2019
