Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,: Buenos días. Hoy vamos a tratar dos temas.,0.7556402888436086,9,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La licenciada Olga Sánchez Cordero va a exponerles sobre el proceso de selección de la persona que va a hacerse cargo del trabajo, la comisión para apoyo a víctimas de la violencia y la búsqueda de desaparecidos.",0.017696007553246667,37,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Anunciamos la Consulta Ciudadana que se llevará a cabo el 23 y 24 de febrero para que la población decida con nosotros sobre la continuidad de operaciones de la Central Termoeléctrica Huexca, en Yecapixtla, Morelos. También presentamos la terna de los aspirantes a titular de la Comisión Nacional de Búsqueda de Personas, quienes fueron postulados por su experiencia profesional, desempeño en el sector público y privado, así como su labor social. La persona que resulte seleccionada emprenderá con los familiares de las víctimas acciones de búsqueda, verdad y justicia a los desaparecidos.",0.06061696139335896,92,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Es un proceso establecido por la ley para la elección de la responsable de la comisión encargada de la búsqueda de desaparecidos y atención a familiares de víctimas. Ella les va a explicar.,0.15718020049817386,33,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya se tiene una terna y hoy por la tarde se va a tomar la decisión, pero se quieren dar a conocer los nombres para que también, en este tiempo hasta la tarde, si hay alguna crítica, cuestionamiento, denuncia, se pueda todavía presentar y se considere al momento de tomar la decisión final.",0.03190790416296613,53,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo segundo que vamos a tratar es lo de la planta termoeléctrica de Morelos, que va a ameritar una consulta a los ciudadanos.",0.22746437297427238,23,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se van a dar ahora todos los elementos, además yo voy a asistir, porque ese fue el compromiso que hice, voy a estar en Cuautla el domingo próximo para hacer de manera directa la presentación a los ciudadanos, a la gente.",0.8676263197417172,41,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero desde ahora vamos a explicar, porque estas conferencias conferencias, estos diálogos, este mecanismo de información de las mañanas ayuda mucho para que, en todo el país, en los municipios, se enteren, tengan la información suficiente.",0.4981949369221419,36,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Puede uno tener una asamblea de 10 mil, de 20 mil ciudadanos, pero nunca va a ser lo mismo que la comunicación que logramos en estas conferencias. Nada más en redes sociales nos ven, siguen esta conferencia alrededor de 120 mil personas o 120 mil están conectados, puede ser que no solo estén viendo esta entrevista, esta conferencia una persona, pueden ser dos, pero son alrededor de 120 mil, estamos hablando de un Zócalo lleno.",0.1084718239413344,75,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a aprovechar para que siempre aquí se informe y yo no voy a dejar de estar en las asambleas, porque es distinto, puede ser que tenga menos repercusión en cuanto a la comunicación, en cuanto al mensaje, pero nunca un medio de información va a sustituir el sentimiento de la gente que se expresa en una asamblea, en un mitin, en un encuentro. Eso es algo que nunca va a poder suplirse; ni las benditas redes sociales van a poder tener el efecto que se tiene cuando hay una comunicación directa, porque eso es una sensibilidad humana. Ahí se vibra, ahí están todos los sentimientos en los encuentros. Ahí se escucha, no sólo lo que expresa el cerebro, sino ahí se manifiesta el corazón, los sentimientos; ahí es razón y pasión, las dos cosas.",0.5412772244844464,136,08,02,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Dicho todo lo anterior, vamos a escuchar a la licenciada Olga Sánchez, para que nos explique cómo fue el proceso y quiénes forman parte de la terna.",0.06486035220771563,27,08,02,2019
OLGA SANCHEZ CORDERO,": Muchas gracias, presidente.",0.42659809592117026,4,08,02,2019
OLGA SANCHEZ CORDERO,Muy buenos días a todas y a todos.,0.926123185901524,8,08,02,2019
OLGA SANCHEZ CORDERO,"Efectivamente, se va a exponer fundada y motivadamente el resultado de la consulta pública para el nombramiento de la persona titular de la Comisión Nacional de Búsqueda de Personas.",0.03121538958020944,29,08,02,2019
OLGA SANCHEZ CORDERO,"El señor presidente nos instruyó, instruyó a la Secretaría de Gobernación, para coordinar este proceso de selección de esta persona titular de la comisión, de acuerdo con el artículo 51 y 52 de la Ley General en Materia de Desaparición Forzada de Personas y Desaparición Cometida por Particulares y del Sistema, por supuesto, Nacional de Búsqueda de Personas.",0.024877910045680966,58,08,02,2019
OLGA SANCHEZ CORDERO,"El 18 de enero de este año, del 2019, se publicaron las bases para la realización de la consulta pública para el nombramiento de la persona titular de esta Comisión Nacional de Búsqueda de Personas.",0.05779377779789385,35,08,02,2019
OLGA SANCHEZ CORDERO,"Y en esta página de la Secretaría de Gobernación, no sé si esté: httpsconsultacnbcomisionacionaldebusqueda.segob.gob.mx[1], ahí se publicaron las bases de esta convocatoria.",0.003948349517432991,22,08,02,2019
OLGA SANCHEZ CORDERO,"La consulta pública se llevó a cabo con fundamento en estos dos artículos. Y quisiera yo comentarles que fueron 11 las personas propuestas, tanto por organizaciones de la sociedad civil, como por los colectivos y familiares de las personas desaparecidas.",0.22241572677766014,40,08,02,2019
OLGA SANCHEZ CORDERO,"Los candidatos propuestos contaron con 24 horas para presentar su documentación, y todas las personas propuestas cubrieron los requisitos previstos en las bases, y en este artículo 51 de la ley.",0.25001208694497673,31,08,02,2019
