Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Muchas gracias. Buenos días, presidente. Shaila Rosagel, reportera de Grupo Healy, El Imparcial, La Crónica y Frontera de Tijuana.",0.541333260777616,19,26,04,2019
PREGUNTA,"Presidente, tengo algunas preguntas.",0.541333260777616,4,26,04,2019
PREGUNTA,"La primera es si usted considera que el Instituto Nacional de Migración ha hecho un papel adecuado en el manejo de la crisis de migrantes que tiene al borde las relaciones entre México y Estados Unidos, ante el aumento del flujo migratorio.",0.541333260777616,42,26,04,2019
PREGUNTA,"Nos gustaría saber cuál es el papel del Instituto Nacional de Migración, si es un papel de contención de los migrantes o se les dejará llegar hasta la frontera con Estados Unidos.",0.541333260777616,32,26,04,2019
PREGUNTA,"En una segunda pregunta, y aprovechando que está aquí el secretario de Comunicaciones y Transportes, si sigue en pie que la carretera de cuatro carriles de Sonora se va a concluir en mayo, dado que todavía hay tramos que están en proceso de construcción.",0.541333260777616,44,26,04,2019
PREGUNTA,"Y sobre el tema de las casetas, continúan tomadas las casetas en Baja California y Sonora.",0.541333260777616,16,26,04,2019
PREGUNTA,"Nos gustaría saber si ya han hecho algún estudio sobre las demandas de los manifestantes y si el Gobierno de México ya sabe, ya tiene decidido lo que se va a hacer en este caso.",0.541333260777616,35,26,04,2019
PREGUNTA,"Nos gustaría saber cómo y cuándo se va a actuar con la toma de casetas en el país, ya que causó algunos problemas en el tránsito de personas ahora en las vacaciones de Semana Santa.",0.541333260777616,35,26,04,2019
PREGUNTA,Muchas gracias.,0.541333260777616,2,26,04,2019
PREGUNTA," Presidente, sólo para precisar.",0.541333260777616,4,26,04,2019
PREGUNTA,"Ante el aumento del flujo migratorio que se anunció hace unos por la Secretaría de Gobernación, ¿cuál va a ser el papel de México?, ¿es de contención de los migrantes para que no lleguen hasta la frontera?",0.541333260777616,37,26,04,2019
PREGUNTA," Sobre la fuga de migrantes de anoche, señor presidente.",0.541333260777616,9,26,04,2019
PREGUNTA," Nada más como adelanto, ¿ya se tiene alguna cifra oficial de cuántos fueron los migrantes que se escaparon de este centro, o un aproximado?",0.541333260777616,24,26,04,2019
PREGUNTA," Presidente, yo quiero preguntarle antes de que se retire, sobre el tema del aeropuerto. El lunes empiezan las obras, ¿usted va a estar ahí encabezando esta inauguración de las obras?",0.541333260777616,30,26,04,2019
PREGUNTA,"¿Qué pasó con las empresas que estaban trabajando en Texcoco y ahora van a ir a Santa Lucía? ¿Qué obras se van a iniciar? ¿Qué empresas ganaron licitaciones y quiénes van a empezar a trabajar ahí a partir del lunes, presidente?",0.541333260777616,41,26,04,2019
PREGUNTA,"También, acerca de estos datos de si se incrementa o no el presupuesto del aeropuerto por el tema del cerro, si aún no hay un proyecto para Texcoco. Se ha criticado mucho que se podría estar improvisando en este sistema aeroportuario metropolitano.",0.541333260777616,42,26,04,2019
PREGUNTA,"¿Se está improvisando, presidente, o ya es un proyecto bien planeado?",0.541333260777616,11,26,04,2019
PREGUNTA,Gracias.,0.541333260777616,1,26,04,2019
PREGUNTA, ¿Ese contrato se ganó legalmente?,0.541333260777616,5,26,04,2019
PREGUNTA," Buenos días presidente de los Estados Unidos Mexicanos. Carlos Pozos, reportero de Líderes Mexicanos y Petróleo y Energía.",0.541333260777616,18,26,04,2019
PREGUNTA,"Presidente, sobre este mismo tema hay en redes sociales un video de parte de los patrones de México y que ante sus señalamientos en contra del periódico Reforma difunden este video pidiendo respeto a la libertad de expresión.",0.541333260777616,38,26,04,2019
PREGUNTA,¿Ya lo vio usted y qué opinión tiene?,0.541333260777616,8,26,04,2019
PREGUNTA, Pero los patrones se están sumando a esta cruzada.,0.541333260777616,9,26,04,2019
PREGUNTA," Presidente, ayer la Cámara de Diputados aprobó con 437 votos una reforma al artículo 74 constitucional para eliminar la partida secreta al presupuesto. Entre los años 80 y 90 el gasto de esta partida, de esta caja negra, fue de mil 342 millones de dólares.",0.541333260777616,45,26,04,2019
PREGUNTA,"Quisiera saber su opinión respecto a la partida secreta para un presidente y su punto de vista. ¿Se acaba con el sinónimo de corrupción, de opacidad, de discrecionalidad?",0.541333260777616,28,26,04,2019
PREGUNTA," En SCT, la Comisión Bancaria, en la Bolsa Mexicana de Valores.",0.541333260777616,11,26,04,2019
PREGUNTA, Perfecto.,0.541333260777616,1,26,04,2019
PREGUNTA,"Finalmente, presidente. ¿Sabe usted que tiene una sobrina? Ella se dice apadrinada por usted. Ella es Reina María Basilio Ortiz, coordinadora de Procura y Abastecimiento a la Transformación Industrial de Pemex e inhabilitada por 15 años para ocupar un cargo público.",0.541333260777616,41,26,04,2019
PREGUNTA,Eso es cuánto.,0.541333260777616,3,26,04,2019
PREGUNTA, Muchas gracias.,0.541333260777616,2,26,04,2019
PREGUNTA," Buenos días, presidente. Gabriela Jiménez, de El Sol de México.",0.541333260777616,10,26,04,2019
PREGUNTA,Preguntarle si en esta visita que va a hacer a Minatitlán se va a reunir con los familiares de las víctimas. Ahorita decía que va a presentar un plan de seguridad y saber también si va a tener un acercamiento con los familiares de las víctimas.,0.541333260777616,46,26,04,2019
PREGUNTA,"Y también insistir un poco en este tema de los migrantes. Esta decisión o este registro que se tiene, de que se les tomarían los datos biométricos es muy similar al proceso que se hace con las visas de trabajo allá en Estados Unidos.",0.541333260777616,44,26,04,2019
PREGUNTA,"¿Esto no implica, de alguna manera un cambio dentro de la política que se está tomando en cuanto para este tema? Si nos pudiera explicar un poco sobre eso.",0.541333260777616,29,26,04,2019
PREGUNTA,Eso sería todo. Gracias.,0.541333260777616,4,26,04,2019
PREGUNTA," Sobre los datos biométricos que se le están tomando a los migrantes, o sea ¿esto no es también una medida como de aumentar el control?",0.541333260777616,25,26,04,2019
PREGUNTA," En el tema de Veracruz, lo que sería un esquema de seguridad, ¿es ahí donde va a entrar en primer lugar la Guardia Nacional? En el tema de Veracruz, por lo que nos han estado diciendo, ¿es ahí donde inicia la Guardia Nacional?",0.541333260777616,43,26,04,2019
PREGUNTA," Buenos días, presidente. Misael Zavala, de El Universal.",0.541333260777616,8,26,04,2019
PREGUNTA,"Yo quisiera preguntarle. En este asunto de la construcción del nuevo aeropuerto de Santa Lucía, ¿qué empresas van a participar?, si ya se lanzaron algunas licitaciones, ¿cómo van avanzando? Dice que comienza hasta junio. ¿Qué requisitos son los que le faltan para que ya comience la construcción del aeropuerto en Santa Lucía?",0.541333260777616,52,26,04,2019
PREGUNTA,"También preguntarle. El martes ya se va a aprobar esta ley de austeridad republicana que envió al Congreso, ya se va a aprobar y si nos puede dar algún comentario acerca de eso.",0.541333260777616,33,26,04,2019
PREGUNTA,Hay algunos temas como que los burócratas tienen que trabajar de lunes a sábado. ¿Qué le ha dicho su equipo? Si están dispuestos a descansar solamente el domingo.,0.541333260777616,28,26,04,2019
PREGUNTA,Gracias.,0.541333260777616,1,26,04,2019
PREGUNTA, ¿Ya tienen los análisis de impacto ambiental?,0.541333260777616,7,26,04,2019
PREGUNTA, La ley de austeridad se aprobaría el martes.,0.541333260777616,8,26,04,2019
