Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.541333260777616,2,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy vamos a ponernos al corriente, vamos a cumplir con el compromiso que hicimos de informales sobre la situación de las estancias infantiles.",0.541333260777616,26,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si ponemos en contexto este tema, debe de decirse que ha generado bastante polémica. Se llegó a mencionar de manera reiterada, como campaña, que estábamos cancelando lo de las estancias infantiles y así se quedó en el imaginario colectivo, que se cancelaban las instancias infantiles, cosa que no es cierto; pero una mentira que se dice muchas veces puede convertirse en verdad, eso decía Goebbels el propagandista de Hitler.",0.541333260777616,69,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Entre todos seguiremos construyendo la bella utopía. Conferencia de prensa en vivo.,0.541333260777616,12,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo que se planteó desde el principio es que todo el apoyo del gobierno se iba a personalizar, se iba a entregar de manera directa, sin intermediarios, porque era mucho el abuso y la corrupción. Se usaba a la gente y, sobre todo, a la gente humilde.",0.541333260777616,47,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Supuestamente se destinaban recursos para apoyar a la gente y ese dinero, esos apoyos no llegaban, se quedaban en el camino o cuando llegaban se entregaba poco, porque había moche, había piquete de ojo.",0.541333260777616,34,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, se decidió que todo el apoyo del gobierno se entregue de manera directa, sin intermediarios; había organizaciones que recibían muchísimo dinero y los dirigentes de esas organizaciones se quedaban con una buena cantidad de ese dinero.",0.541333260777616,37,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora se está avanzando para que el adulto mayor, la persona con discapacidad, el joven que recibe una beca, el que está como aprendiz, obtenga su apoyo con una tarjeta. Por eso se hizo un censo general.",0.541333260777616,37,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y aprovecho para seguir informando sobre este tema, con la idea de que los que no han sido censados lo planteen y busquen a quienes hacen este trabajo y se movilicen con ese propósito, que los censen porque puede haber adultos mayores que no estén recibiendo la pensión, porque no están en el censo.",0.541333260777616,54,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En este caso de los adultos mayores tenemos una meta de ocho millones y se están atendiendo cerca de siete millones; es decir, falta un millón de adultos mayores que podrían ser beneficiados, pero que no han sido censados o no se les ha encontrado, o no tenemos la manera de identificarlos.",0.541333260777616,52,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cuando se decidió que los adultos mayores pensionados del Issste y del Seguro también recibieran el apoyo, se solicitó al Issste y al Seguro los padrones que utilizan para pagar las pensiones, y tuvimos un porcentaje de esos padrones con nombres o direcciones incompletas, un porcentaje menor, pero ahí está todavía sin que se aclare. Y no podemos dispersar recursos si no estamos convencidos de que existen las personas para no caer en errores, en simulación.",0.541333260777616,76,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo esto lo digo para que los que no han sido censados, no son atendidos, que sepan que existen los programas y que todos debemos también ayudar, los que podamos hacerlo, porque un adulto mayor no puede estarse movilizando tanto, pero sus familiares que ayuden.",0.541333260777616,45,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo estoy hablando en todos los actos que el gobierno que se heredó es como un elefante reumático, es un cuerpo de avance lento, que lo tenemos que empujar entre todos para que camine, porque no estaba hecho para beneficiar a la gente, sino estaba hecho para facilitar el saqueo en beneficio de una minoría, para hacer negocios, business.",0.541333260777616,59,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Era como el puerquito, era espoliar al gobierno con la idea de: ‘Qué te va a importar a ti estar defendiendo al gobierno o estar defendiendo el presupuesto si no es dinero tuyo’, esa mentalidad que prevaleció durante mucho tiempo.",0.541333260777616,40,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora se requiere de la participación de todos para que las cosas se hagan bien y se beneficie a la gente que lo necesita, y que todos ayudemos con este propósito.",0.541333260777616,31,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya se están entregando de manera directa apoyos a más de 13 millones de personas, adultos mayores, personas con discapacidad, jóvenes, becarios, campesinos que están recibiendo sus apoyos de manera directa, pero pensamos que van a pasar de 20 millones los beneficiarios y llevamos hasta ahora, repito, más de 13 millones.",0.541333260777616,51,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo esto lo planteo porque es el contexto para entender lo de las estancias infantiles. Era un programa en donde una persona, dos, mujer u hombre, organizaban en sus domicilios, en algún sitio, dar atención a niños de madres trabajadoras. Ese fue el concepto original para que los niños quedaran en resguardo de maestras o de estas personas encargadas de las estancias infantiles.",0.541333260777616,63,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No se trata de instituciones o de instalaciones hechas con ese propósito, sino lugares adaptados. Un poco -guardadas las proporciones y no quiero que se malinterprete- la subrogación que se llevó a cabo durante mucho tiempo en el Seguro Social de las guarderías con la idea de privatizar una función del Seguro; y así suele suceder o así pasaba, se subrogaba.",0.541333260777616,61,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ya no atendía de manera directa el Seguro Social la estancia o la guardería, sino daba el dinero para que una asociación civil se hiciera cargo de dar el servicio. Eso fue lo de la ABC. Nosotros no compartimos ese punto de vista, esa concepción, porque no sólo es el manejo del dinero o las irregularidades que pueda haber en el manejo del dinero, sino la seguridad.",0.541333260777616,68,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¡Imagínense, miles de sitios donde están los niños! ¿Quién supervisa? ¿Cómo garantizamos el cuidado de los niños, la corresponsabilidad que tenemos?",0.541333260777616,21,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso se decidió, como en otros programas, lo hicimos también en las becas que se entregaban del Prospera y lo mismo, encontramos que había listados y eso está pendiente, porque se los vamos a presentar también y no existían las familias, o se decía que les daban una cantidad y en realidad recibían mucho menos, porque era dinero, la mayor parte, entregado en efectivo. Entonces, todo esto es lo que se está corriendo.",0.541333260777616,74,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En el caso de las estancias se hizo un censo porque hubo protestas, y ya tenemos los resultados de qué es lo que hay en realidad, cuántos padres de familia y cuántos niños. Independientemente del diagnóstico, estamos asumiendo el compromiso de entregar los apoyos, pero de manera directa a las madres y a los padres de familia.",0.541333260777616,57,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si ellos deciden por su voluntad entregar esos recursos a quienes manejaban las estancias infantiles, nosotros no tenemos ningún inconveniente, pero tiene que ser por decisión de ellos, voluntaria; porque también hay que aclarar, no todas, ni todos los que estaban manejando este programa lo hacían mal, no se puede generalizar, había personas que sí actuaban de manera correcta, con integridad, por eso también hay algunas molestias. Pero tenemos que corregir y no podemos hacer excepciones, nos llevaría muchísimo más tiempo.",0.541333260777616,81,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Además, consideramos que debe de cambiar el método, que tiene que ser entrega directa en todo. Esto me lo han recomendado mucho, la misma gente. Me dicen: ‘No nos dé el apoyo a través del gobierno, no sólo no nos dé el apoyo a través de las organizaciones sociales, civiles, no nos lo dé a través del gobierno, que no pase por las oficinas de gobierno’. Eso es lo que me plantean: ‘Entregue el apoyo de manera directa a la gente’. Y eso es lo que estamos haciendo. De la Tesorería de la Federación al beneficiario.",0.541333260777616,96,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No sólo es no entregarle a la organización campesina o la organización de la sociedad civil, o a la fundación el apoyo para que ellos lo entreguen. La gente no quiere que pase por las oficinas de gobierno, por las secretarías, por los gobiernos estatales, por los gobiernos municipales, porque tienen la idea y hay pruebas de que así ha sucedido, de que no llega el apoyo completo o no llega.",0.541333260777616,71,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto lo vemos por ejemplo en el programa de Apoyo a Comunidades Mineras. Se logró que una parte de los derechos cobrados por la explotación minera llegaran a las comunidades donde se lleva a cabo la extracción del mineral y donde se necesita por los efectos de la explotación minera, inclusive daños o falta de arreglo de caminos, falta de agua.",0.541333260777616,61,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos hablando de hace cinco años que se aprobó esa ley; y si se hace una auditoría técnico-administrativa, lo que ha bajado a las comunidades ha sido muy poco, porque se ha quedado en las instancias gubernamentales y ha sido desviado para otras actividades, ha sido transferido el recurso. Entonces, ya no queremos eso, queremos que el apoyo sea lo más personalizado que se pueda.",0.541333260777616,65,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a explicarles, vamos a informarles cuál fue el resultado del censo que se hizo.",0.541333260777616,15,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Les estoy pidiendo a María Luisa Albores, a Ariadna Montiel, que es la secretaria de Bienestar y la subsecretaria encargada de este programa y de otros, les estoy pidiendo que toda esta información la envíen al instituto de transparencia, toda la información, para que de acuerdo a los procedimientos legales se pueda entregar a quien la solicite, es decir, a padres de familia, a los interesados en lo de las estancias infantiles, a los diputados, a los senadores, a todo el pueblo que se transparente por completo.",0.541333260777616,87,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, por favor.",0.541333260777616,3,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Pues esto es lo que queríamos informarles.,0.541333260777616,7,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como complemento, porque es interesante el tema, decirles que se ejercieron el año pasado alrededor de tres mil millones en este programa. Ahora nosotros calculamos que se van a ejercer dos mil. Esto implica un ahorro aun cuando supuestamente se entregaba más de los 800 pesos, se entregaban 900 aparentemente. De todas formas, estamos hablando de un ahorro considerable que es para ayudar a más gente necesitada y evitar la corrupción, que no haya corrupción ni arriba ni abajo.",0.541333260777616,79,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, todo esto genera molestias, a veces por la desinformación se piensa que estamos dejando de apoyar a quien lo necesita. Este gobierno, como nunca se ha visto en la historia, está destinando recursos en favor de la gente humilde, de la gente pobre y lo podemos demostrar.",0.541333260777616,48,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero no queremos la corrupción, no queremos que continué lo mismo. Políticamente se manejó este asunto hasta por personas que en el anterior gobierno recibieron dinero así para apoyar causas, para apoyar a migrantes y el dinero no le llegó a los migrantes, y eso nunca se ha aclarado.",0.541333260777616,49,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, aunque haya protestas, además lo he dicho muchas veces, lo creo, es una convicción, tiene que haber críticas, tiene que haber discrepancia, tiene que haber oposición al gobierno, porque eso es consustancial a la democracia; pero si no tienen razón nosotros vamos a estar poniendo al descubierto todo, no nos vamos a quedar callados. Vamos a ejercer nuestro derecho de réplica.",0.541333260777616,62,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y bienvenida la crítica, bienvenido el cuestionamiento siempre. Vamos a ser respetuosos, pero tenemos el derecho de aclarar, de argumentar del porqué hacemos las cosas de una forma o de otra.",0.541333260777616,31,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, toda la información que se requiera está disponible. Lo mismo para el caso de otros programas aplica también para éste. Si hay madres que no fueron censadas que falta de censar, está abierto el programa, pero el porcentaje no encontrado es considerable.",0.541333260777616,43,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y esto se repite en todos los programas que se aplicaban anteriormente, los programas de la llamada Secretaría de Desarrollo Social, que está pendiente, que les vamos a presentar igual el reporte de lo que se encontró y de lo se ejercía y no llegaba a los beneficiarios.",0.541333260777616,48,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Muy bien. Eso es básicamente.,0.541333260777616,5,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Es un tema que debe de atenderse. Yo considero que esto puede corresponder y se debe estar haciendo, pero debe de darse más atención en el Instituto de las Mujeres.",0.541333260777616,30,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Qué bien que lo planteas, porque sí es un tema que se está debatiendo sobre cómo actuar, cómo evitar, cómo prevenir y cómo también salvaguardar la dignidad de las personas, tanto del que acusa como el acusado.",0.541333260777616,37,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Eso se puede ver, es un buen tema a tratar de lo que estás planteando.  Es delicado, pero no podemos ocultar nada, hay que ventilar todo.",0.541333260777616,26,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A ver, ustedes dos.",0.541333260777616,4,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Todo el apoyo para quienes necesiten medicamentos; no se trata de dejarlos sin protección, al contrario, es atenderlos mejor y que no falten los medicamentos, hay que buscar la forma. Estoy seguro que lo está haciendo la Secretaría de Salud.",0.541333260777616,40,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo que queremos es acabar con la corrupción, en general, porque ese es el cáncer que destruye a México. Les explicaba la vez pasada que se compran cuatro mil millones de dólares de medicamentos, una sola empresa vendió al gobierno mil 300 millones de dólares el año pasado. Tres empresas el 60 por ciento de todos los medicamentos. Y en efecto, no hay medicamentos en centros de salud, en hospitales, con todo ese gasto. Entonces, ahora se están haciendo compras consolidadas y está participando la ONU para que sean compras transparentes y que no haya corrupción, porque es un crimen robarse el dinero de los medicamentos. Eso es lo que ya no queremos que suceda, pero no dejar de atender a quienes lo necesitan.",0.541333260777616,124,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya lo acabo de decir y lo repito, este gobierno tiene como misión fundamental atender a los desposeídos, a los necesitados, a los enfermos, a los pobres, a los humillados, a los marginados. Lo he dicho muchas veces, lo repito ahora, vamos a atender a todos, a escuchar a todos, a respetar a todos, eso es muy importante, respetar a los adversarios, respetar el derecho a disentir, pero le vamos a dar preferencia a la gente humilde. Por el bien de todos, primero los pobres.",0.541333260777616,85,03,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¿Por qué se produjo esta desigualdad monstruosa, en donde unos cuanto lo tienen todos y millones carecen hasta de lo más indispensable? Pocos tienen mucho y muchos tienen poco, casi nada. ¿Por qué? Por la corrupción.",0.541333260777616,36,03,04,2019
