Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT," Gracias, presidente; gracias, amigos de los medios de comunicación.",0.541333260777616,9,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,Les informamos cómo va el programa de Responsabilidad Compartida.,0.541333260777616,9,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Como ustedes saben, este programa se presentó aquí el pasado 6 de febrero, ahora les damos una actualización de cómo va.",0.541333260777616,21,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Lo empezamos a operar a partir del 1º de marzo y sobre todo recordar que es un programa que busca cambiar los créditos que venían indizados al salario mínimo, cambiarlos a pesos y ofrecer a los trabajadores un descuento a su saldo, que en promedio ronda el 55 por ciento y ofrecerles un esquema de pago y tasa fija.",0.541333260777616,59,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Este año nos fijamos una meta de 194 mil trabajadores, que tiene que ver con los casos más extremos que encontramos en la nueva administración, que eran créditos que a pesar de estar vigentes la gente enfrentaba un saldo positivo creciente que se volvía verdaderamente una carga para la familia.",0.541333260777616,50,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Entonces, lo que hicimos es agarrar los casos más extremos e iremos avanzando a lo largo del sexenio para llegar a 750 mil casos aproximadamente.",0.541333260777616,25,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"En la que sigue vamos a ver cómo va el programa al día de hoy, hemos ya firmado 16 mil 657 convenios de cambio, lo cual representa tres mil 594 millones de pesos de descuentos a los saldos.",0.541333260777616,38,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Es muy relevante mencionar que en tan solo un mes hemos logrado, poco más de un más de un mes, 16 mil casos, esto ya lo convierte en el programa más exitoso de cambios que ha tenido el Infonavit en sus más de 40 años de historia y esto es gracias al concurso de los distintos sectores, tanto del sector empresarial como del sector sindical que ha apoyado este tipo de programas, además de por supuesto la vocería que ha ofrecido el secretario Román Meyer y todos los demás funcionarios del gobierno federal que nos han apoyado a difundir este programa y, por supuesto, ustedes como medios de comunicación que han sido también muy buenos para difundir este programa.",0.541333260777616,119,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Entonces, vamos en 16 mil 657 y esperamos, vamos en línea con lo programado, vamos a cumplir la meta hacia final de año para llegar a los 194 mil acreditados y seguir con el programa lo largo del sexenio.",0.541333260777616,39,09,04,2019
CARLOS MARTINEZ VELAZQUEZ. DIRECTOR DEL INFONAVIT,"Y a continuación, le presentamos un testimonio de una persona acreditada que fue beneficiaria de este programa y con esto terminaríamos.",0.541333260777616,21,09,04,2019
