Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, (Inaudible),0.541333260777616,1,24,05,2019
PREGUNTA," Buenos días, señor presidente. Urbano Barrera, del diario Ovaciones.",0.541333260777616,9,24,05,2019
PREGUNTA,"Yo quiero preguntarle, hace unos días vino gente de Hacienda, habló de bienes asegurados.",0.541333260777616,14,24,05,2019
PREGUNTA,"Mi pregunta es, aquí se expuso el caso de Rosi Orozco, que tenía propiedades en comodato, preguntarle: ¿sabe usted cuántos inmuebles, cuántas propiedades están en comodato?",0.541333260777616,26,24,05,2019
PREGUNTA,"Hay algunas que están a 10 años, a 15, a 20, a 30.",0.541333260777616,13,24,05,2019
PREGUNTA,"¿Qué se va a hacer con todo eso? ¿Cuántas son? ¿Cuánto representa? ¿Quiénes son los beneficiados y qué se va a hacer lo inmediato con todas esas propiedades, son muchísimas y son millonarias?",0.541333260777616,33,24,05,2019
PREGUNTA, Perfecto.,0.541333260777616,1,24,05,2019
PREGUNTA,"La segunda pregunta, señor presidente, breve, comentarle nada más ¿Cómo va el proceso de revisión de las direcciones y las subdirecciones alternas?",0.541333260777616,22,24,05,2019
PREGUNTA,"Según datos de las Secretaría de Hacienda, en el gobierno del presidente Vicente Fox se crearon 167 mil, en el de Fox, y otras 163 mil en el gobierno del presidente Calderón, algo así como 320 mil direcciones y subdirecciones adjuntas, todas con salarios por encima de 50 mil pesos, hasta llegar 120, 160 mil.",0.541333260777616,55,24,05,2019
PREGUNTA,"¿Qué se está haciendo en este caso? ¿Y cómo va este inventario, este registro? Porque muchas de ellas ni siquiera iban a trabajar.",0.541333260777616,23,24,05,2019
PREGUNTA,"Y complementario a esto le iba a comentar. Tenemos todavía el vicio, por ejemplo, en todas las alcaldías de la Ciudad de México, áreas en donde todavía la entrada y salida, el chequeo de asistencia del personal es con firma, es a través de una persona que lo registra y ahí se da un tráfico de todo, hay gente que tiene dos o tres trabajos y llega a las alcaldías y firma, llega una hora, se va.",0.541333260777616,77,24,05,2019
PREGUNTA,"No sería muy fácil poner un reloj checador, un digitalizador.",0.541333260777616,10,24,05,2019
PREGUNTA,"¿Qué propondría usted, señor presidente?",0.541333260777616,5,24,05,2019
PREGUNTA,Gracias.,0.541333260777616,1,24,05,2019
PREGUNTA," Buenos días, señor presidente. Carlos Montesinos, de La Hoguera.",0.541333260777616,9,24,05,2019
PREGUNTA,"Pero entonces qué responde lo que dicen ayer los directores de 11 hospitales especializados como Cancerología, Neurología, el Infantil, de que sí hay una afectación en los recursos, en los medicamentos, en Cancerología, por ejemplo, los cuidados paliativos ya se ven afectados, se están teniendo que recortar los números de citas, de atenciones.",0.541333260777616,53,24,05,2019
PREGUNTA,¿Qué responde si usted mantiene esta postura? ¿Dónde está ese dinero? ¿Dónde están esos recursos?,0.541333260777616,15,24,05,2019
PREGUNTA, Pero piden que sean liberados los dos mil 400 millones de pesos de Hacienda.,0.541333260777616,14,24,05,2019
PREGUNTA,"¿Eso se va a ordenar, presidente?",0.541333260777616,6,24,05,2019
PREGUNTA, (Inaudible),0.541333260777616,1,24,05,2019
PREGUNTA, ¿También se vincula al director del instituto con irregularidades?,0.541333260777616,9,24,05,2019
PREGUNTA, (Inaudible),0.541333260777616,1,24,05,2019
PREGUNTA, ¿Los directores tienen falta de información?,0.541333260777616,6,24,05,2019
PREGUNTA," Buenos días, presidente. Soy Antonio Ruiz, de Sin Censura Chicago.",0.541333260777616,10,24,05,2019
PREGUNTA,"Como usted seguramente sabe, seguramente ya leyó, el periódico Reforma anoche revela una lista de periodistas beneficiados por el concepto de campañas oficiales en el sexenio pasado, el de Enrique Peña Nieto, una lista que usted entregó al INAI, pero no nos salen las cuentas.",0.541333260777616,45,24,05,2019
PREGUNTA,"Nos habían dicho ustedes antes que eran 60 mil millones de pesos en concepto de campañas oficiales y que una cuarta parte, 15 mil millones de pesos era lo que se les había dado a los columnistas beneficiados en estas campañas oficiales.",0.541333260777616,42,24,05,2019
PREGUNTA,"Reforma dice que son más de mil millones de pesos, pero no salen las cuentas, nos puede decir si faltan columnistas ahí, si faltan medios de comunicación.",0.541333260777616,27,24,05,2019
PREGUNTA,Y le tengo otra pregunta.,0.541333260777616,5,24,05,2019
PREGUNTA, ¿Pero aparece como publicidad?,0.541333260777616,4,24,05,2019
PREGUNTA," ¿Esos nombres no los va a dar a conocer, los nombres de estos periodistas?",0.541333260777616,14,24,05,2019
PREGUNTA, ¿No los dieron a conocer al INAI esos nombres?,0.541333260777616,9,24,05,2019
PREGUNTA," Porque honestamente, presidente, esto es absolutamente antiético.",0.541333260777616,7,24,05,2019
PREGUNTA,"A mí me enseñaron los primeros semestres de periodismo que columna es un artículo de opinión, es una editorial.",0.541333260777616,19,24,05,2019
PREGUNTA,"Imagínese usted que se le paga millones de pesos a un columnista para emitir una opinión. Es antiético, no le parece.",0.541333260777616,21,24,05,2019
PREGUNTA," Entonces, permítame preguntarle, nos habla ahora del fin del huachicoleo en las gasolinas, el fin del huachicoleo en la educación, en los medicamentos.",0.541333260777616,23,24,05,2019
PREGUNTA,¿Por qué no el fin del huachicoleo en los medios de comunicación?,0.541333260777616,12,24,05,2019
PREGUNTA," Bueno, pero sigue habiendo publicidad oficial.",0.541333260777616,6,24,05,2019
PREGUNTA,"Yo entiendo perfectamente que necesitan ustedes tener tiempos oficiales, tiene que difundir su mensaje, pero desde antes de las campañas usted ya difundía un mensaje muy fuerte en redes sociales.",0.541333260777616,30,24,05,2019
PREGUNTA,"¿Por qué no darle un fin ya a las campañas oficiales, a la publicidad oficial?",0.541333260777616,15,24,05,2019
PREGUNTA, (Inaudible),0.541333260777616,1,24,05,2019
PREGUNTA, 25 años.,0.541333260777616,2,24,05,2019
PREGUNTA, (Inaudible),0.541333260777616,1,24,05,2019
PREGUNTA," Buenos días, presidente. Alberto Rodríguez, de SDP Noticias.",0.541333260777616,8,24,05,2019
