Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RAQUEL SOSA ELIZAGA, Muy buenos días a todos ustedes.,0.541333260777616,6,28,05,2019
RAQUEL SOSA ELIZAGA,Rápidamente una exposición del Programa de Universidades para el Bienestar Benito Juárez García.,0.541333260777616,13,28,05,2019
RAQUEL SOSA ELIZAGA,"Como creo que ya todos sabemos, se dedica a jóvenes excluidos de la educación superior por razones económicas o de impedimentos de acceso de las instituciones de educación superior públicas. Es una opción de educación completamente gratuita y es una opción que asume todos los costos de la educación de nuestros estudiantes, además de unas becas mensuales de dos mil 400 pesos. Está previsto como capacidad máxima del programa llegar hasta prácticamente 300 mil estudiantes.",0.541333260777616,75,28,05,2019
RAQUEL SOSA ELIZAGA,Podemos pasar al mapa.,0.541333260777616,4,28,05,2019
RAQUEL SOSA ELIZAGA,"Tenemos ya planteles abiertos en todo el país, tenemos uno o más planteles por estado, 83 sedes, fueron seleccionadas con criterios de población de 15 a 45 mil habitantes alejados de las capitales de los estados en donde no hay ninguna o muy escasa opción de educación superior, la mayoría ninguna, zonas de población indígena.",0.541333260777616,55,28,05,2019
RAQUEL SOSA ELIZAGA,"Y desde luego se seleccionaron no solamente las sedes, sino los lugares, las comunidades específicas sobre la base de lo que plantean estas comunidades como sus propias necesidades. Y estas comunidades, además, quiero decirlo con mucho agradecimiento, nos han donado terrenos, espacios, nos están prestando locales para iniciar nuestras actividades. Tenemos muchísimo agradecimiento con toda la red que hemos formado a nivel nacional.",0.541333260777616,63,28,05,2019
RAQUEL SOSA ELIZAGA,"Vamos a pasar eso muy rápidamente.  Son estudiantes y maestros que ya están en sedes. En este momento ahí son seis áreas de conocimiento las que tenemos: desarrollo sustentable, energía, estudios sociales, patrimonio histórico, social y biocultural, procesos agroalimentarios y salud. Tenemos un total de 459 profesores ya en sede que han sido evaluados, han pasado por procedimientos de inducción y selección, y siete mil 575 estudiantes; ahora sigue creciendo porque hay una diferencia de los que se registraron con los que ya saben que ya estamos trabajando en las sedes.",0.541333260777616,91,28,05,2019
RAQUEL SOSA ELIZAGA,"Me salto mucho, mucho, mucho, de los prototipos arquitectónicos, nada más mostrarles muy rápidamente dónde están, digamos, lo de los climas, uno que dice arquitectura, están previstos planteles para climas seco, templado y tropical, se han hecho muchos estudios arquitectónicos de seguridad estructural, etcétera, para que podamos avanzar.",0.541333260777616,48,28,05,2019
RAQUEL SOSA ELIZAGA,"Y finalmente nos pasamos toda la información de las sedes y vamos a ver lo que cuesta el programa; tres tipos de posibilidades de gasto, ya muy al final donde dice costos y gastos, los planteles que estamos planteando son el cómo está distribuido los mil millones de pesos que nos han asignado para equipamiento.",0.541333260777616,55,28,05,2019
RAQUEL SOSA ELIZAGA,"Y explicarles simplemente, de una manera muy rápida, las dos fases que estamos planteando de construcción, posibilidades de planteles para 320, 640, 960 estudiantes y los costos totales, todo esto está costeado gracias a un extraordinario equipo administrativo que tenemos con todos los gastos actuales, etcétera.",0.541333260777616,46,28,05,2019
RAQUEL SOSA ELIZAGA,"De manera que esto es, por eso cuando dijimos que costaban 10 millones de pesos los planteles, pues es exactamente así.",0.541333260777616,21,28,05,2019
RAQUEL SOSA ELIZAGA,Muchísimas gracias.,0.541333260777616,2,28,05,2019
