Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Con su permiso, señor presidente.",0.541333260777616,5,11,06,2019
MARCELO EBRARD CASAUBON,"Señoras y señores, buenos días.",0.541333260777616,5,11,06,2019
MARCELO EBRARD CASAUBON,"Como ya se estableció aquí, a partir del día de hoy estaremos trabajando las diferentes dependencias e instancias del gobierno federal en un plan especial para atender a los migrantes.",0.541333260777616,30,11,06,2019
MARCELO EBRARD CASAUBON,"Por lo que hace a la Guardia Nacional, hoy mismo se hará el recorrido para acelerar el despliegue en la zona, como se comprometió; acelerar lo que ya se tenía previsto para cumplir con lo que se ha propuesto y estará a cargo del general de brigada Vicente Antonio Hernández Sánchez, aquí presente.",0.541333260777616,53,11,06,2019
MARCELO EBRARD CASAUBON,"La función principal es integrar las condiciones de la Guardia Nacional en la frontera sur, empezando ya.",0.541333260777616,17,11,06,2019
MARCELO EBRARD CASAUBON,Acelerar que se integren estas instancias para respaldar las instituciones de migración.,0.541333260777616,12,11,06,2019
MARCELO EBRARD CASAUBON,"Francisco Garduño tiene la responsabilidad de hacer los enlaces con las diferentes áreas que intervienen en migración, es decir, autoridades migratorias, estatales, municipales, diferentes instancias para participar en los objetivos de este plan.",0.541333260777616,33,11,06,2019
MARCELO EBRARD CASAUBON,"El punto principal es registrar a las personas, dialogar con las personas y determinar las diferentes opciones que se tienen que manejar con alguien que está en una situación de migración.",0.541333260777616,31,11,06,2019
MARCELO EBRARD CASAUBON,"Luego está el tercer capítulo, tercera área, que es desarrollo y bienestar a cargo de Javier May Rodríguez, también aquí presente.",0.541333260777616,21,11,06,2019
MARCELO EBRARD CASAUBON,"Ahí el propósito es el desarrollo y el bienestar en la región sur del país. Los migrantes que decidan quedarse en México recibirán una atención correspondiente a nuestra forma y a nuestra estrategia de gobierno, es decir, de darles un trato humanitario.",0.541333260777616,42,11,06,2019
MARCELO EBRARD CASAUBON,"El siguiente equipo de trabajo, que está a cargo del licenciado Horacio Duarte, va a organizar el plan inmediato para la atención a migrantes en espera de asilo en el norte del país, porque se tienen que hacer varias gestiones y previsiones, y no simplemente dejar que haya una población de migrantes esperando sus audiencias de asilo en el norte del país sin el respaldo a las autoridades locales y la participación de diferentes dependencias federales.",0.541333260777616,76,11,06,2019
