Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO RODRIGUEZ VARGAS," Muchas gracias, señor presidente.",0.32823650481604266,4,12,8,2019
RICARDO RODRIGUEZ VARGAS,Muy buenos días a todas y a todos.,0.32823650481604266,8,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Vamos a dar a conocer los resultados de la cuarta subasta, que ha sido ayer, organizada por el Instituto para Devolver al Pueblo lo Robado, una cuarta subasta de la Cuarta Transformación.",0.32823650481604266,32,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Esta subasta fue muy especial, ¿en qué sentido?",0.32823650481604266,8,12,8,2019
RICARDO RODRIGUEZ VARGAS,Se lograron comercializar cinco inmuebles y se obtuvieron 125.8 millones de este total 102 proceden de la venta de lo que es la joya de la corona.,0.32823650481604266,27,12,8,2019
RICARDO RODRIGUEZ VARGAS,¿Qué es la joya de la corona?,0.32823650481604266,7,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Pues la mansión en Lomas de Chapultepec. Este evento para nosotros, para el Instituto para Devolver al Pueblo lo Robado, fue muy especial. ¿En qué sentido?",0.32823650481604266,26,12,8,2019
RICARDO RODRIGUEZ VARGAS,"En el sentido de que es el bien inmueble de mayor valor que hemos dado cauce en la actual administración, estamos hablando de 102 millones de pesos. Estos 102 millones de pesos representan cuatro veces de lo que se obtuvieron en vehículos y lo doble de lo que obtuvimos de la subasta de bienes e inmuebles, incluso de Santa Lucía.",0.32823650481604266,60,12,8,2019
RICARDO RODRIGUEZ VARGAS,"También fue muy especial, porque seguimos contando con la participación, la solidaridad de la ciudadanía de forma constante, pero también ayer contamos con la presencia de forma directa, vía telefónica o a través de sus representantes, de empresarios con vocación cívica, con vocación social, socialmente responsables que se sumaron al proyecto del señor presidente de apoyar las becas de los 544 deportistas.",0.32823650481604266,62,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Cabe destacar que la de ayer para el instituto fue una subasta de oro, plata y bronce, porque lo recaudado se convertirá en una beca para cada uno de los 544 atletas que nos representaron con gallardía y pusieron en lo alto el nombre de nuestro país.",0.32823650481604266,47,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Comentarles, tuvimos 33 personas que compraron nuestras bases de participación, alrededor de seis personas decidieron en la puja de la casa, cinco de ellas empresarios con sentido social, un vecino que así decidió participar.",0.32823650481604266,34,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Por favor, si fueran tan amables de darle la siguiente diapositiva.",0.32823650481604266,11,12,8,2019
RICARDO RODRIGUEZ VARGAS,¿Quién compró la casa?,0.32823650481604266,4,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Fue la fundación Butaca-Enlace. Es una fundación que ha apoyado al deporte desde hace 11 años, ha apoyado a más de dos millones jóvenes que participen en eventos deportivos. Nos comentaba su director que apoyó alrededor 53 mil alumnos destacados para ir a los Juegos Panamericanos en 2011.",0.32823650481604266,48,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Y el representante de dicha fundación y quien compró la casa fue un empresario con sentido social, Carlos Bremer; un empresario regiomontano fue quien al final decidió hacer la puja por teléfono y fue quien apoyó el proyecto del señor presidente.",0.32823650481604266,41,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Nos comentaba él que lo hacía con mucho agrado, con el objetivo de sumarse muy puntual al llamado del señor presidente, de apoyar a estos alumnos.",0.32823650481604266,26,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Es así como el instituto, por instrucción del señor presidente, muy puntual de apoyar a estos atletas, está ofreciendo resultados palpables y tangibles.",0.32823650481604266,23,12,8,2019
RICARDO RODRIGUEZ VARGAS,Muchas gracias.,0.32823650481604266,2,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Muchas gracias, señor presidente.",0.32823650481604266,4,12,8,2019
RICARDO RODRIGUEZ VARGAS," Si, con todo gusto.",0.32823650481604266,4,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Respecto a la lista de bienes inmuebles que están en depositaria y a qué organizaciones o ONG se ha otorgado, con todo gusto.",0.32823650481604266,23,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Comentarle que esta información la estamos haciendo ya, estamos trabajando en una base de datos para hacerla pública a la brevedad posible; nosotros esperamos ya en las próximas semanas subir esta base de datos, la cual es información pública y debe de darse a conocer a la opinión pública.",0.32823650481604266,49,12,8,2019
RICARDO RODRIGUEZ VARGAS,"Respecto a lo que comenta de la Casa Blanca. Mire, nosotros los bienes que tenemos en administración vienen de la fiscalía, nosotros somos los administradores y cuando ya la autoridad nos da la instrucción la podemos enajenar o vender.",0.32823650481604266,39,12,8,2019
RICARDO RODRIGUEZ VARGAS,"En este caso del bien que usted comenta, nosotros dependeríamos de que cualquier bien de que la fiscalía nos fuera trasferida para administración, pero nosotros por sí sólo no tenemos un margen de actuación, sino dependemos de nuestras entidades transferentes.",0.32823650481604266,40,12,8,2019
RICARDO RODRIGUEZ VARGAS,"En este caso hemos trabajado con la fiscalía y con el SAT y con la Tesofe, principalmente.",0.32823650481604266,17,12,8,2019
RICARDO RODRIGUEZ VARGAS," Bueno, al Instituto para Devolverle al Pueblo lo Robado, creo que en este momento no tendría esa atribución, no le correspondería hasta que otra entidad así fuera se iniciara un proceso, si ese fuera el caso, pero hasta este momento yo no tengo ninguna información al respecto que fuera el caso.",0.32823650481604266,51,12,8,2019
