Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILA," Buenos días, señor presidente.",0.32823650481604266,4,26,8,2019
RICARDO SHEFFIELD PADILA,Muy buenos días a todas y a todos.,0.32823650481604266,8,26,8,2019
RICARDO SHEFFIELD PADILA,"Comentar que, en este regreso a clases, el precio promedio también de los paquetes escolares fue de 400 pesos en primarias y de 500 pesos en secundarias. No tuvimos ningún reporte especial de quejas en el respeto a los precios y en la página de Profeco y en la Revista del Consumidor está el resultado de los estudios que se realizaron a todos los materiales y útiles escolares para que esta información ayude a los padres de familia en ver cuáles son los útiles que conviene más en costo-beneficio comprar.",0.32823650481604266,90,26,8,2019
RICARDO SHEFFIELD PADILA,"También estaremos atentos en este regreso a clase para las escuelas privadas, recibir los reportes en donde no se esté cumpliendo con el registro de los contratos de adhesión en las escuelas privadas o estos contratos de adhesión no sean cumplidos por las escuelas privadas.",0.32823650481604266,45,26,8,2019
RICARDO SHEFFIELD PADILA,"En el reporte de gasolinas, Quién es quién en la gasolina regular, el precio más alto, con el margen más alto lo tenemos en energético plus con un margen de tres pesos 41 centavos y un precio al público de 21 pesos con 23 centavos por litro; mientras que el más económico lo tiene Grupo Dybala en Centro, Tabasco con un margen de 33 centavos por litro y un precio por litro de 17.68 al público.",0.32823650481604266,76,26,8,2019
RICARDO SHEFFIELD PADILA,"En la gasolina Premium, el precio más alto en Monterrey, Nuevo, León Orsan del Norte 21.99 por litro y un margen de tres pesos con 83 centavos por litro; mientas que la Premium más económica, con el margen más bajo lo encontramos en Súper Servicio Agua Dulce, Agua Dulce, Veracruz a 18.99 por litro con un margen de 38 centavos.",0.32823650481604266,60,26,8,2019
RICARDO SHEFFIELD PADILA,"Y en diésel el más alto con el margen más alto lo tenemos en Corporativo Enervisión en Hermosillo, Sonora con un precio al público de 21.85 por litro, tres pesos con 42 centavos por litro, el margen; y el más económico, con un margen de 19 centavos, en Durango, Durango Sagis Scorp a 19.89 por litro.",0.32823650481604266,56,26,8,2019
RICARDO SHEFFIELD PADILA,"Si lo vemos por marca, continúa la estabilidad en los últimos tres meses con las marcas que tienen el mayor margen y el mayor precio siendo Chevron, Redco y Arco; y las más económicas Orsan, Total y LaGas.",0.32823650481604266,38,26,8,2019
RICARDO SHEFFIELD PADILA,"En el tema de verificación de gasolineras, en esta semana recibimos 278 quejas por medio de la app de Litro por Litro, realizamos 202 visitas, algunas de las quejas son repetidas sobre las mismas estaciones de servicio.",0.32823650481604266,37,26,8,2019
RICARDO SHEFFIELD PADILA,"Afortunadamente en esta semana todos se permitieron verificar o visitar, no tenemos ninguna negativa y un número muy reducido de bombas inmovilizadas; de dos mil 861 bombas que revisamos, inmovilizamos 12 bombas.",0.32823650481604266,32,26,8,2019
RICARDO SHEFFIELD PADILA,"Hemos tenido ya muchas descargas en Android y en la semana pasada iniciaron las descargas en el Sistema IOS de Apple, en total 90 mil 890 descargas con muchos comentarios favorables para la app de Litro por Litro.",0.32823650481604266,38,26,8,2019
RICARDO SHEFFIELD PADILA,"Y en la app de Litro por Litro, el precio más bajo para gasolina regular en toda la República Mexicana es de 17.49 y lo encontramos en Coatzacoalcos, Veracruz; mientras que la más cara, a 21.99 la encontramos en Los Cabos, Baja California.",0.32823650481604266,43,26,8,2019
RICARDO SHEFFIELD PADILA,"En combustible Premium, el más bajo, 18 pesos con cinco centavos en Agua Dulce, Veracruz; y el precio más alto 22.99 en Guanajuato, Guanajuato.",0.32823650481604266,24,26,8,2019
RICARDO SHEFFIELD PADILA,"Y en diésel el más económico en Medellín, Veracruz, 18.98; y el más caro en Churumuco, Michoacán, 22.98.",0.32823650481604266,18,26,8,2019
RICARDO SHEFFIELD PADILA,Quién es quién en el gas LP.,0.32823650481604266,7,26,8,2019
RICARDO SHEFFIELD PADILA,"En los tanques estacionarios, el precio más alto, con el margen más alto, lo encontramos en Mexicali, Baja California, Quino Gas del Noreste, con un margen de cuatro pesos 91 centavos por litro y un precio al público de 10.55 por litro; mientras que el más económico lo estamos encontrando en Saín Alto, Zacatecas, con un margen de dos pesos 77 centavos, en Gas Campanita, a 8.19 por litro.",0.32823650481604266,69,26,8,2019
RICARDO SHEFFIELD PADILA,"Y el más caro y margen más alto es en Gas LUX, Jerez, Zacatecas, para los cilindros, a 19.89 por litro y un margen de ocho pesos con 69 centavos por kilo; y el más económico, con un margen de tres pesos 64 centavos por kilo, lo encontramos en Guadalupe Victoria, Durango, Regio Gas Lerdo, con un precio al público de 14 pesos con 30 centavos por kilo.",0.32823650481604266,68,26,8,2019
RICARDO SHEFFIELD PADILA,"En verificación de gas LP, el operativo ordinario de cada semana, visitamos 51 expendedores de gas LP, infraccionamos a nueve y fue un número alto que no se dejó verificar esta semana, son 12 negativas a verificación.",0.32823650481604266,37,26,8,2019
RICARDO SHEFFIELD PADILA,"Seis básculas fueron inmovilizadas de 444, un vehículo inmovilizado de 14, un autotanque inmovilizado de 45 y encontramos un ligero aumento en el porcentaje de cilindros que no tienen condiciones para estar en el mercado, que fue del 11 por ciento.",0.32823650481604266,41,26,8,2019
RICARDO SHEFFIELD PADILA,Hicimos un operativo especial en esta semana con apoyo de la Policía Federal -que agradecemos el respaldo que nos dieron- y realizamos visitas a 31 estaciones expendedoras de gas LP que no se habían permitido verificar en las últimas semanas.,0.32823650481604266,40,26,8,2019
RICARDO SHEFFIELD PADILA,"De estas, tres resultaron con infracciones, de las 31; 11 por segunda vez y con todo y la presencia de fuerza pública no se permitieron verificar. Y el día de hoy estamos presentando denuncia penal ante la Fiscalía General de la República por estas 11, estamos presentando la solicitud a la Comisión Reguladora de Energía para que les retiren el permiso de expender gas LP y estamos presentando la solicitud a Pemex para que no les vendan este combustible.",0.32823650481604266,79,26,8,2019
RICARDO SHEFFIELD PADILA,"Fueron dos básculas inmovilizadas de 248 en este operativo especial, cero vehículos, cero autotanques y encontramos un porcentaje de 12 por ciento de cilindros en mal estado. Por cierto, comentarles que Pemex ya le retiró la venta a una de las 11 estaciones expendedoras de gasolina, de las estaciones de servicio de las gasolineras, y estamos pendiente, y estamos pendientes de que la CRE nos resuelva el retiro de permiso de estas estaciones, como también estaremos presentando las nuevas solicitudes por gas LP.",0.32823650481604266,83,26,8,2019
RICARDO SHEFFIELD PADILA,"La CRE está empezando a dar una respuesta favorable, ya lo vimos en el tema de gas natural, con Naturgy, que ya hicieron una modificación al permiso por las miles de quejas que se habían recibido en los estados de Nuevo León, de Coahuila, Estado de México y la Ciudad de México, esta es una noticia importante, favorable, esperamos que Naturgy no se inconforme y más bien cumpla con el cambio de su contrato de adhesión y en darle un mejor servicio a los usuarios del gas natural por parte de esta empresa.",0.32823650481604266,93,26,8,2019
RICARDO SHEFFIELD PADILA,Gracias.,0.32823650481604266,1,26,8,2019
