Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ADELFO REGINO MONTES," (Saludo en lengua indígena). Muy buenos días, hermanas y hermanos.",0.32823650481604266,10,09,08,2019
ADELFO REGINO MONTES,"Quiero en primer lugar agradecer la distinguida presencia de cada uno de ustedes, agradecerle, señor presidente de la República por estar este día todos juntos para conmemorar el Día Internacional de los Pueblos Indígenas del mundo.",0.32823650481604266,36,09,08,2019
ADELFO REGINO MONTES,"Y en esta ocasión, señor presidente, nos acompaña una importante comisión de representantes de los 68 pueblos indígenas y el pueblo afromexicano de nuestro país, que previo a este día hemos celebrado en la Ciudad de México el Foro Nacional de los Pueblos Indígenas y Afromexicano.",0.32823650481604266,46,09,08,2019
ADELFO REGINO MONTES,"Y tal como usted nos lo encomendó, hemos hecho un amplio proceso de diálogo y consulta a los 68 pueblos indígenas de nuestro país, y al pueblo afromexicano, entre la Secretaría de Gobernación y el Instituto Nacional de los Pueblos Indígenas.",0.32823650481604266,41,09,08,2019
ADELFO REGINO MONTES,"Queremos informar el día de hoy que durante los meses de junio y julio hemos desarrollado 54 foros regionales de consulta en todo el país, en el que hemos escuchado a los 68 pueblos indígenas de México y al pueblo afromexicano en 27 entidades federativas.",0.32823650481604266,45,09,08,2019
ADELFO REGINO MONTES,"En este proceso de consulta han participado alrededor de 27 mil autoridades y representantes de los pueblos indígenas con el propósito de reflexionar sobre las ideas, las propuestas, los planteamientos sobre cómo debemos de hacer la transformación jurídica y política en nuestro país.",0.32823650481604266,43,09,08,2019
ADELFO REGINO MONTES,Esta demanda fundamental que tienen nuestros pueblos y nuestras comunidades que se reconozca en la Constitución y en las leyes los derechos de nuestros pueblos y de nuestras comunidades.,0.32823650481604266,29,09,08,2019
ADELFO REGINO MONTES,"En esta idea, en este propósito que ha planteado nuestro señor presidente de la República, que tenemos que dar una atención preferencial a nuestros pueblos y a nuestras comunidades, en este proceso de diálogo y consulta hemos escuchado la voz de nuestros pueblos y de nuestras comunidades.",0.32823650481604266,47,09,08,2019
ADELFO REGINO MONTES,"Y algunas de las propuestas más relevantes que han emergido de este proceso de diálogo es el reconocimiento de nuestros pueblos y comunidades como sujetos de derecho público, el reconocimiento de su libre determinación y autonomía, y que esto pueda ejercerse, sobre todo en el ámbito comunitario y en el ámbito municipal, como ahora lo estamos viendo con los municipios indígenas, los municipios de usos y costumbres en Oaxaca, en Ayutla de los Libres, en Oxchuc y en otras partes de nuestro país.",0.32823650481604266,83,09,08,2019
ADELFO REGINO MONTES,"También la protección especial de nuestras tierras, territorios y recursos naturales. Esta gran biodiversidad que tienen los pueblos en las diversas regiones del país es algo que debemos de proteger de una manera muy especial.",0.32823650481604266,35,09,08,2019
ADELFO REGINO MONTES,Destacar también el tema del patrimonio cultural que representan nuestros pueblos y nuestras comunidades.,0.32823650481604266,14,09,08,2019
ADELFO REGINO MONTES,"Todos sabemos que la riqueza de este país está justamente en las culturas, las lenguas y toda la riqueza cultural que representan nuestros pueblos y nuestras comunidades; de modo que se considera de especial importancia el reconocimiento de la propiedad intelectual, colectiva de este patrimonio cultural, incluido de una manera muy importante ahora que está haciendo su gira, señor presidente sobre el tema de la salud.",0.32823650481604266,66,09,08,2019
ADELFO REGINO MONTES,"El reconocimiento de la medicina tradicional, que es algo que nos han heredado nuestros antepasados.",0.32823650481604266,15,09,08,2019
ADELFO REGINO MONTES,Y un tema que también se ha reflexionado es el reconocimiento del pueblo afromexicano como parte de la composición pluricultural de nuestra nación y de lo mucho que también han aportado en la riqueza de este país.,0.32823650481604266,37,09,08,2019
ADELFO REGINO MONTES,"Son algunos de los temas, señor presidente, que hemos reflexionado en este proceso de consulta, cumpliendo con su atenta indicación de siempre escuchar con mucha devoción, con mucho respeto y con mucha humildad a nuestros pueblos y a nuestras comunidades.",0.32823650481604266,40,09,08,2019
ADELFO REGINO MONTES,"Y en el marco del Día Internacional de los Pueblos Indígenas quisiéramos en este momento, señor presidente, entregarle las propuestas y conclusiones del Foro Nacional de los Pueblos Indígenas de parte de don Juan Encinos, de Oxchuc; de Yolanda Camacho, de Olga Santillán, de aquí de Durango y de Patricia Guadalupe Ramírez, de Ayutla de los Libres.",0.32823650481604266,57,09,08,2019
