Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GRACIELA MARQUEZ COLIN, Cincuenta y una.,0.32823650481604266,3,31,1,2020
GRACIELA MARQUEZ COLIN," Si les parece, bien que Emiliano termine de contestar sus preguntas y después yo respondo todo.",0.32823650481604266,16,31,1,2020
GRACIELA MARQUEZ COLIN,Gracias.,0.32823650481604266,1,31,1,2020
GRACIELA MARQUEZ COLIN, Lo tiene las Secretaría de Hacienda y Crédito Público.,0.32823650481604266,9,31,1,2020
GRACIELA MARQUEZ COLIN," Buenos días. Son las 9:00 de la mañana, un poquito más.  Entonces, si les parece bien tomo tres preguntas, las sumo a las que ya fueron formuladas, las contestamos y después abrimos otra ronda.",0.32823650481604266,34,31,1,2020
GRACIELA MARQUEZ COLIN,"Ahí, por favor.",0.32823650481604266,3,31,1,2020
GRACIELA MARQUEZ COLIN," Muchas gracias. Otra pregunta, por favor. Les voy a pedir que para ampliar la participación cada uno de ustedes haga una sola pregunta. Aquí adelante, por favor.",0.32823650481604266,27,31,1,2020
GRACIELA MARQUEZ COLIN, Muy bien gracias. Aquí adelante.,0.32823650481604266,5,31,1,2020
GRACIELA MARQUEZ COLIN, Gracias.,0.32823650481604266,1,31,1,2020
GRACIELA MARQUEZ COLIN,"Entonces, las primeras dos preguntas que se formularon antes tienen que ver con microfinanciamiento, el financiamiento a MyPimes, micro, pequeñas y medianas empresas, y ahí lo que les puedo adelantar es que sí hay una política de apoyo a los emprendedores.",0.32823650481604266,41,31,1,2020
GRACIELA MARQUEZ COLIN,"Y esta política tiene que ver precisamente con el programa de Microcréditos para el Bienestar, también conocido como Tandas. El año pasado se dispersaron 354 mil microcréditos de seis mil pesos cada uno, con un periodo de repago con un periodo de gracia para el repago de tres meses y pagos mensuales.",0.32823650481604266,52,31,1,2020
GRACIELA MARQUEZ COLIN,"Este programa lo hemos presentado acá y, como saben, incluye este primer crédito, que una vez que se cubre en su totalidad al 100 por ciento se abre una opción de contratar un segundo crédito por 10 mil pesos, y bajo la misma mecánica un crédito por 15 mil pesos.",0.32823650481604266,50,31,1,2020
GRACIELA MARQUEZ COLIN," No, ¿me permite terminar? Gracias.",0.32823650481604266,5,31,1,2020
GRACIELA MARQUEZ COLIN,"Para este año vamos a ampliar… tenemos un presupuesto de dos mil 500 millones de pesos, esto significa que con el repago que vamos a tener más los dos mil 500 millones de pesos vamos a tener nosotros capacidad de empezar a dar segundos créditos y primeros créditos.",0.32823650481604266,48,31,1,2020
GRACIELA MARQUEZ COLIN,"El año próximo vamos a tener de nuevo, con el repago, primeros, segundos y terceros créditos; entonces, digamos, esto va a ser la dinámica que va a tener este programa.",0.32823650481604266,30,31,1,2020
GRACIELA MARQUEZ COLIN,"Eso es, digamos, por el lado de los microcréditos, de los microempresarios, los empresarios muy pequeñitos que empiezan a tener su negociación.",0.32823650481604266,22,31,1,2020
GRACIELA MARQUEZ COLIN,"El presidente habla acá a menudo del apoyo a la economía popular. Estos microcréditos están destinados, precisamente, a los sectores que no tienen acceso al financiamiento, que un banco, que ningún banco les otorgaría un crédito y es por eso que estamos atendiendo esa población que nos parece muy importante y que va a reactivar la economía popular.",0.32823650481604266,58,31,1,2020
GRACIELA MARQUEZ COLIN,"Estamos hablando de pequeños talleres, de preparación de alimentos, estamos hablando de talleres de costura, es decir, estas actividades de emprendimiento que hay a lo largo y ancho del territorio nacional. Y en nuestra dispersión nosotros estamos enfatizando la parte de zonas de marginación, de zonas marginadas de alta y muy alta marginación y zonas con violencia.",0.32823650481604266,57,31,1,2020
GRACIELA MARQUEZ COLIN,"Entonces, este es un primer programa.",0.32823650481604266,6,31,1,2020
GRACIELA MARQUEZ COLIN,"Apoyo para otro tipo de emprendimientos, tenemos programas de garantías en asociación con Nafin, en asociación con un convenio que firmamos con el Banco del Bienestar; entonces, tenemos formas de también garantizar los créditos con estos apoyos para que los emprendedores que tienen ya consolidado su negocio, que lo han llevado a un tamaño de pequeño o mediano tengan también un apoyo por parte del gobierno federal.",0.32823650481604266,67,31,1,2020
GRACIELA MARQUEZ COLIN,"Respecto al comercio internacional y la posibilidad que tenga México para diversificar su comercio con América Latina, efectivamente, tanto con Argentina como con Brasil tenemos acuerdos de complementación económica. Y estos acuerdos de complementación económica, pues estamos sentados a la mesa precisamente con Brasil para ampliar el acuerdo de complementación y ver las posibilidades que tengamos para hacer un acuerdo más amplio, más ambicioso.",0.32823650481604266,64,31,1,2020
GRACIELA MARQUEZ COLIN,"Estamos mirando las sensibilidades de los sectores, pero lo que puedo anunciar es que estamos sentados a la mesa con ellos, como estamos sentados a la mesa con ellos, como estamos sentados también a la mesa con Argentina.",0.32823650481604266,38,31,1,2020
GRACIELA MARQUEZ COLIN,"Pero no es lo único que estamos haciendo en América Latina, estamos negociando bajo la Alianza del Pacífico. Ecuador se quiere incorporar a Alianza del Pacífico como un socio de… un asociado pleno al acuerdo y para ello tiene que tener acuerdos bilaterales con cada uno de los miembros.",0.32823650481604266,49,31,1,2020
GRACIELA MARQUEZ COLIN,"Ecuador lo tiene con los otros tres miembros de Alianza del Pacífico, pero no con México. Es por eso que desde el segundo semestre del 2019 hemos iniciado con el gobierno de Ecuador la posibilidad de firmar un tratado de libre comercio. Estamos sentados a la mesa con ellos.",0.32823650481604266,49,31,1,2020
GRACIELA MARQUEZ COLIN,"De nuevo, estamos mirando todavía las sensibilidades del sector agropecuario, del sector pesquero que son muy importantes.",0.32823650481604266,17,31,1,2020
GRACIELA MARQUEZ COLIN,"Ecuador es un país que puede ofrecernos temas para nosotros de comercio, pero sobre todo el país que tiene más inversionistas extranjeros en el Ecuador es México. Entonces necesitamos ampliar nuestra relación económica, porque justamente la presencia de inversionistas mexicanos en ese país puede abrirnos, no solamente seguir ampliando esa inversión, sino abrirnos caminos para el comercio exterior.",0.32823650481604266,58,31,1,2020
GRACIELA MARQUEZ COLIN,La economía mexicana…,0.32823650481604266,3,31,1,2020
GRACIELA MARQUEZ COLIN," Si me permite responder, porque si no, no les damos oportunidad al resto en participar.",0.32823650481604266,15,31,1,2020
GRACIELA MARQUEZ COLIN," Perdón, a ver dígame.",0.32823650481604266,4,31,1,2020
GRACIELA MARQUEZ COLIN, Gracias.,0.32823650481604266,1,31,1,2020
GRACIELA MARQUEZ COLIN," Si me permite, estoy respondiendo de manera global.",0.32823650481604266,8,31,1,2020
GRACIELA MARQUEZ COLIN,"Entonces si me permite lo de la Unidad de Contenido lo iba a ligar con otro de los temas, pero les contesto ahora mismo.",0.32823650481604266,24,31,1,2020
GRACIELA MARQUEZ COLIN,"La Unidad de Contenido Nacional, esta es una unidad que quiere elevar, crear cadenas de proveeduría y quiere garantizar la transferencia tecnológica.",0.32823650481604266,22,31,1,2020
GRACIELA MARQUEZ COLIN,¿Y para qué sectores en particular?,0.32823650481604266,6,31,1,2020
GRACIELA MARQUEZ COLIN,Para el de hidrocarburos y de electricidad.,0.32823650481604266,7,31,1,2020
GRACIELA MARQUEZ COLIN,"Estamos trabajando muy de cerca con Pemex y con la Comisión Federal de Electricidad, y para este año hay un presupuesto de 150 millones de pesos.",0.32823650481604266,26,31,1,2020
GRACIELA MARQUEZ COLIN,"Ahora, para el caso de las tandas, nosotros… Este es un programa que llevamos de manera transversal con Bienestar, y en esa transversalidad nosotros lo que hacemos es: Bienestar nos identifica a los beneficiarios potenciales, después nosotros tenemos que hacer una serie de filtros de esos beneficiarios potenciales que vienen precisamente del Censo del Bienestar que se levantó al año pasado.",0.32823650481604266,61,31,1,2020
GRACIELA MARQUEZ COLIN,"Entonces, de este Censo del Bienestar tenemos aproximadamente un potencial de siete millones de beneficiarios. De estos siete millones, les digo, tenemos que hacer los filtros necesarios y sobre todo porque a diferencia de otros programas sociales, en el caso de los microcréditos para el Bienestar, cuando a uno le dicen: ‘¿Quiere usted?’, es altamente probable que la respuesta es que sí, pero cuando a uno le hacen la pregunta: ‘¿Quiere usted pagar un crédito que le otorguemos?’, ahí ya uno dice: ‘No, pues a ver, no sé’.",0.32823650481604266,88,31,1,2020
GRACIELA MARQUEZ COLIN,"Entonces, justamente la pregunta que se hizo en el censo fue: ‘¿Quiere usted crédito?’, entonces, por eso es que tenemos que ir filtrando esos siete millones de potenciales beneficiarios. Y luego irlos a buscar y decirles: Oiga, usted que manifestó un interés por tener un crédito, ¿quisiera usted considerar estas variables? ¿Por qué? Porque es muy importante la revolvencia.",0.32823650481604266,59,31,1,2020
GRACIELA MARQUEZ COLIN,"Entonces, en la medida que nosotros garanticemos y focalicemos mejor, encontremos mejor aquél emprendedor que efectivamente quiera recibir el crédito, entonces vamos a poder focalizar. Entonces, la demanda de nuestro programa la tomamos del censo, y son los servidores de la nación los que van a las localidades y levantan.",0.32823650481604266,50,31,1,2020
GRACIELA MARQUEZ COLIN,"Ahí levantan la información en un par de visitas. Primero en ese primer censo, y segundo en la segunda visita. Una vez que se levanta la segunda visita, nosotros ya con esa información podemos empezar el trámite de la dispersión del crédito. Esto fue cómo dispersamos nosotros los 354 mil créditos el año pasado.",0.32823650481604266,54,31,1,2020
GRACIELA MARQUEZ COLIN,"A diferencia también de otros programas sociales, este es en una sola exhibición, o sea, nosotros no es forma recurrente como puede ser en Jóvenes Construyendo el Futuro o como la pensión de adultos mayores o como la pensión de personas con discapacidad, acá se hace una sola exhibición, seis mil pesos, y se espera que haya el repago.",0.32823650481604266,59,31,1,2020
