Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con permiso, señor presidente.",0.32823650481604266,4,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Continuamos con el informe. Seguimos con el cumplimiento de las misiones por parte de Secretaría de la Defensa, Semar y Guardia Nacional.",0.32823650481604266,22,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"En seguridad de instalaciones estratégicas, tenemos una cantidad de más de 10 mil hombres dedicados a esta actividad. Durante el mes destaca la seguridad que se ha estado proporcionado al sistema de presas para el pago de la deuda del tratado de aguas internacionales y cubriendo las áreas sensibles de otras instalaciones que tenemos distribuidas a través del territorio nacional.",0.32823650481604266,60,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Las operaciones para el combate al mercado ilícito de combustibles donde se tienen dos mil 716 hombres haciendo esta tarea para la seguridad y vigilancia de instalaciones estratégicas de Petróleos Mexicanos y también la seguridad de ductos, y una vigilancia aérea tanto a estas instalaciones, como a los ductos de esta paraestatal.",0.32823650481604266,52,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"La erradicación de plantíos, siete mil 254 hombres realizando esta actividad de reconocimientos aéreos y terrestres, la erradicación de los enervantes, la fumigación de plantíos, la localización y destrucción de pistas de aterrizaje, la localización y judicialización de laboratorios de droga sintética, el establecimiento de destacamentos de vigilancia en diferentes aeropuertos y establecimiento de puestos de control y seguridad para la intercepción y el trasiego de drogas y armas.",0.32823650481604266,69,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Dentro del Plan Migrante Frontera Norte y Sur, siete mil 850 hombres con operaciones de rescate humanitario, puntos de control migratorio, puestos militares de seguridad con equipos no intrusivos, el establecimiento de cocinas comunitarias y móviles para la atención de lo que está en el rescate humanitario, la atención médica de urgencia y el control fronterizo fluvial y marítimo.",0.32823650481604266,59,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"El Plan DN-III, Plan Marina y Plan Guardia Nacional, aquí durante el mes lo relevante fue la atención de la tormenta Gamma y el huracán Delta, y la problemática de inundaciones en Tabasco que se tuvo.",0.32823650481604266,36,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Hay desplegados o se desplegaron en este mes cuatro mil 48 hombres para atender todas las necesidades que se vieron dentro de estos planes. Se apoyó y se dio atención a familias, seguridad y vigilancia a áreas afectadas. El establecimiento y administración de albergues, desazolve de calles, alcantarillado, remoción de escombros. Todas las actividades que desarrollan en beneficio de la sociedad fueron aplicadas en este mes con esta cantidad de hombres que ya mencioné.",0.32823650481604266,74,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Los resultados del Estado mexicano en este combate contra las actividades ilícitas que se presentan en el país, aquí las vamos a ver en las gráficas.",0.32823650481604266,26,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Tenemos en el mes de septiembre cuatro mil 752 kilogramos de marihuana asegurada y en lo que va del mes de octubre seis mil 210 kilogramos; con relación a cocaína en septiembre tres mil 278 kilogramos y tres mil 573 en lo que va de octubre; en heroína 15 kilogramos en septiembre, tres en octubre; en goma de opio 18 kilogramos en septiembre, seis en octubre; metanfetaminas, cuatro mil 241 kilogramos en septiembre, 756 en octubre; fentanilo, 13 kilogramos en septiembre, un kilogramo en octubre.",0.32823650481604266,85,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí tenemos una gráfica de comparación de los resultados que se lograron en el 2019 y lo que llevamos en el presente año. Y aquí pueden ver ustedes que en todos los rubros, marihuana, cocaína, heroína, goma de opio, metanfetamina y fentanilo, todos vamos con una diferencia al alza.",0.32823650481604266,49,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"En marihuana un 40 por ciento más se ha destruido, en cocaína un 75 por ciento más asegurado, en goma de opio un 268 por ciento más, en metanfetaminas un 65 por ciento más, en aseguramiento de fentanilo un 471 por ciento más lo que llevamos de este año.",0.32823650481604266,49,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y en el único rubro en el que estamos por debajo de lo que se hizo de aseguramiento del año pasado, que fueron 347 kilogramos, ahorita tenemos 313, tenemos un 10 por ciento menos de lo que se aseguró en el 2019.",0.32823650481604266,42,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a los resultados en aseguramiento de armamento y numerario, en armas de fuego 799 en septiembre, 474 en lo que va de octubre; en cartuchos, 267 mil 687 cartuchos en septiembre, 43 mil 37 en octubre; cargadores, dos mil 204 en septiembre, mil 614 en octubre; granadas, 143 en septiembre, 31 en octubre; dólares americanos asegurados, en septiembre un millón 441 mil 643 y en octubre un millón 81 mil 619 dólares; moneda nacional, en septiembre ocho millones 742 mil 277 pesos y tres millones 25 mil 390 en octubre.",0.32823650481604266,92,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y también en la tabla que se compara el resultado, los resultados de 2019 en relación a lo que llevamos en el 2020, todos los rubros de aseguramiento están por arriba de lo que hicimos en 2019.",0.32823650481604266,37,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Armas de fuego aseguradas son 58 por ciento más, en cartuchos 127 por ciento más, en cargadores 54 por ciento más, en granadas 65 por ciento más, en dólares americanos 110 por ciento más y en moneda nacional 517 por ciento más.",0.32823650481604266,42,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"En detenidos llevamos 775 en lo que va de octubre y tuvimos en septiembre mil 659, vehículos terrestres, dos mil 226 vehículos asegurados en septiembre, contra mil 69 en lo que va de octubre.",0.32823650481604266,34,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,En aeronaves aseguradas en septiembre tuvimos nueve y en octubre llevamos cinco.,0.32823650481604266,12,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Embarcaciones, septiembre dos, en este mes no ha habido aseguramiento de embarcaciones en lo que llevamos de mes.",0.32823650481604266,18,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"En laboratorios, 12 laboratorios en septiembre, 11 en octubre.",0.32823650481604266,9,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y en pistas de aterrizaje en septiembre se destruyeron dos, en este mes no ha habido la localización de pistas.",0.32823650481604266,20,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"En la comparación de resultados del 19 con lo que llevamos del 20 en tres rubros estamos hacia arriba. En detenidos un 43 por ciento más, vehículos terrestres 83 por ciento más, aeronaves 59 por ciento más y en lo que es embarcaciones, laboratorios y pistas tenemos resultados menores, en un 63 por ciento en embarcaciones, un 27 por ciento menos en laboratorios, y un 76 por ciento menos en pistas.",0.32823650481604266,71,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Finalmente, este es el resultado de lo que hemos hecho en erradicación, en donde estamos iniciando ahorita en octubre el proceso del incremento de… más bien, el incremento de plantíos de enervantes, ya una vez que pasa el periodo de lluvias empiezan a incrementarse esta cantidad de plantíos.",0.32823650481604266,48,21,10,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Estamos actualmente moviendo ocho unidades y 22 aeronaves, dos mil 130 hombres aproximadamente a las áreas de erradicación de plantíos para poder atender esta situación desde el inicio de esta nueva etapa donde el crecimiento es mayor.",0.32823650481604266,37,21,10,2020
