Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
BLANCA JIMENEZ CISNEROS," Con su permiso, señor presidente.",0.32823650481604266,5,22,10,2020
BLANCA JIMENEZ CISNEROS,"Buenos días a todas y todos. Si me ponen la primera lámina, por favor.",0.32823650481604266,14,22,10,2020
BLANCA JIMENEZ CISNEROS,Quiero recordar lo que es el tratado. Es un tratado muy benéfico para el país porque nuestro país recibe cuatro veces más de lo que aporta con base anual. Recibimos mil 850 millones de metros cúbicos y aportamos 432.,0.32823650481604266,39,22,10,2020
BLANCA JIMENEZ CISNEROS,"Además, es un tratado que tiene flexibilidad en las entregas de agua por parte de México. Mientras que Estados Unidos nos entrega mil 850 millones de metros cúbicos con un calendario que México establece mes con mes, y siempre han cumplido, nosotros pagamos esa cantidad hasta en un periodo de 10 años. Entonces, son constituciones sumamente flexibles.",0.32823650481604266,57,22,10,2020
BLANCA JIMENEZ CISNEROS,"Piénsenlo como un crédito, imagínese que les prestan el dinero y les dan cinco años y si no acabas de pagar a los cinco años todavía tienes otros cinco años, es sumamente flexible; además, no hay tasas de interés.",0.32823650481604266,39,22,10,2020
BLANCA JIMENEZ CISNEROS,¿Cómo se paga?,0.32823650481604266,3,22,10,2020
BLANCA JIMENEZ CISNEROS,"Con los tributarios, esto está definido en el tratado. Las cuencas grises son los ríos tributarios, las rosas no son ríos tributarios.",0.32823650481604266,22,22,10,2020
BLANCA JIMENEZ CISNEROS,"Fue un análisis que se hizo en México y pasó esa acta aprobada en el Senado y también pasó por Estados Unidos, y dice que los tributarios son: el río Conchos que está en Chihuahua, Las Vacas, San Diego, San Rodrigo, Escondido y Salado, en Coahuila, Nuevo León y Tamaulipas. El río Conchos es el más caudaloso y aportan cada uno en una proporción igual a su caudal; por eso, el río Conchos aporta el 54.1 por ciento.",0.32823650481604266,78,22,10,2020
BLANCA JIMENEZ CISNEROS,"También el tratado establece que si no pagamos en cinco años tenemos otros cinco años, pero ya no nos podemos ir a 15 años.",0.32823650481604266,24,22,10,2020
BLANCA JIMENEZ CISNEROS,¿Qué ocurrió en el ciclo 35?,0.32823650481604266,6,22,10,2020
BLANCA JIMENEZ CISNEROS,"Estos ciclos se numeran y actualmente estamos en el ciclo 35. Sucedió que el ciclo anterior se cerró con un adeudo en 2015 de 324.7 millones de metros cúbicos, 325 en números redondos.",0.32823650481604266,33,22,10,2020
BLANCA JIMENEZ CISNEROS,¿Y qué tuvimos que hacer?,0.32823650481604266,5,22,10,2020
BLANCA JIMENEZ CISNEROS,"O sea, nosotros recibimos el ciclo completado, tuvimos que pagar todo lo que se debía en el ciclo, la cantidad de dos mil 158, que es los 400 por cinco años, y lo debíamos de pagar, como se ve en la figura de la izquierda, con el río Conchos y con los ríos de los otros estados, o sea, con el río que está en Chihuahua y los ríos que están en Coahuila, Nuevo León y Tamaulipas, que son prioritarios, y debíamos de pagar lo que nos correspondía a los cinco años, más el adeudo que recibimos.",0.32823650481604266,97,22,10,2020
