Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE IGNACIO SANTOS PRECIADO," Con su venia señor presidente. Doctor Jorge Alcocer Varela, presidente del Consejo de Salubridad General y secretario de Salud; colegas, directores generales, subsecretario.",0.32823650481604266,23,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,Señoras y señores.,0.32823650481604266,3,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,Muy buenos días.,0.32823650481604266,3,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"Desde 1937 cada 23 de octubre conmemoramos el Día del Médico y de las Médicas, una profesión con el alto compromiso social y una con las que cuenta con mayor reconocimiento entre la población de nuestro país.",0.32823650481604266,37,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"En ese año de 1833, el médico Valentín Gómez Farías crea la Dirección General de Instrucción Pública, la cual reorganizaría la educación, el método, autores y cátedras, es decir, una nueva visión de la enseñanza. Dentro de los seis establecimientos de instituciones públicas que se construyeron en ese momento estaba el de ciencias médicas, que es el antecedente a la actual Facultad de Medicina.",0.32823650481604266,64,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"Fue un parteaguas en la historia de la medicina de México porque se instauraron 10 cátedras que incluían lo que llamamos nuevas tendencias en la medicina; además, se suprimió la Real y Pontificia Universidad y se creó la Dirección Médica, que sustituyó el protomedicato que había antecedido en lo que hoy conocimos como el Consejo de Salubridad General.",0.32823650481604266,58,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"Conmemorar este día cobra mayor relevancia porque es indiscutible la extraordinaria y valiente labor de los médicos y las médicas ante la pandemia de COVID-19, que han enfrentado el mayor reto de estos tiempos en materia de salud pública en México y en el mundo, con un apostolado profesional por el que todos nos sentimos muy orgullosos.",0.32823650481604266,57,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"El Consejo de Salubridad General tiene entre sus funciones las de regular, vigilar y dirigir la ciencia médica y a partir de 1995 distingue el ejercicio de esta práctica profesional y reconoce a quienes han realizado aportes a la ciencia médica y a la sociedad.",0.32823650481604266,45,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"El premio al Mérito Médico de este año será entregado a la doctora Aura Argentina Erazo Valle Solís, a quien se le reconoce muy amplia experiencia como oncóloga, como investigadora rigurosa el estudio de su especialidad que es la oncología y como formadora de varias generaciones de especialistas en oncología médica durante sus ya 52 años en el Centro Médico Nacional 20 de Noviembre del Issste, además fue destacada participante en los grupos especialistas, grupos focales para la definición del compendio nacional de insumos para la salud.",0.32823650481604266,87,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"Además, el día de hoy se entregarán dos condecoraciones y 12 premios en materia de salud pública a profesionales destacados en los campos de la medicina, la química, farmacia, odontología, enfermería y otras áreas de la salud; y en este marco será un homenaje póstumo al doctor Guillermo Soberón Acevedo.",0.32823650481604266,50,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,"Bienvenidos, bienvenidas a esta ceremonia que reconoce y premia merecidamente a las médicas y médicos de México, quienes desempeñaron su profesión y siempre con un sentido humanista.",0.32823650481604266,27,23,10,2020
JOSE IGNACIO SANTOS PRECIADO,Muchísimas gracias.,0.32823650481604266,2,23,10,2020
