Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANTONIO DEL VALLE PEROCHENA," Con su permiso, presidente. Muy buenos días.",0.32823650481604266,7,05,10,2020
ANTONIO DEL VALLE PEROCHENA,Señor presidente:,0.32823650481604266,2,05,10,2020
ANTONIO DEL VALLE PEROCHENA,Muchas gracias por su apertura y disposición para trabajar junto con el sector privado en esta iniciativa que busca aportar a la reactivación económica de nuestro país.,0.32823650481604266,27,05,10,2020
ANTONIO DEL VALLE PEROCHENA,Gracias también a todos los funcionarios del Gobierno de México que están participando en este gran esfuerzo.,0.32823650481604266,17,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"El 26 de noviembre del año pasado estuvimos aquí reunidos para presentar un primer paquete de proyectos de infraestructura con la finalidad de promover la inversión, crecimiento y el empleo. Nadie imaginó, como comentó Carlos Salazar, que tres meses después estaríamos enfrentando uno de los momentos más complejos de nuestra historia reciente, con una crisis sanitaria y económica de grandes dimensiones, y además esta crisis impidió que se pudiera avanzar en los proyectos como se planteó en aquel momento.",0.32823650481604266,79,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"El confinamiento en una gran parte del mundo ha sido comparado con un freno de mano en el quehacer cotidiano, afectando fuertemente la actividad económica. Además de la tragedia humana que vivimos quienes hemos perdido a seres cercanos y muy queridos, como mexicanos debemos enfrentar la situación con nuestros mejores recursos disponibles y con la suma de esfuerzos y acciones.",0.32823650481604266,60,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"Las circunstancias que enfrenta México ameritan una respuesta de dimensiones proporcionales al daño que hemos resentido en el consumo, la inversión, las exportaciones y, por lo tanto, en el empleo y el desarrollo en general de nuestro país.",0.32823650481604266,38,05,10,2020
ANTONIO DEL VALLE PEROCHENA,Es así que la inversión en infraestructura se convierte en uno de los vehículos de mayor importancia para la economía por la generación de empleos que proporciona en el corto plazo y el impulso al crecimiento en el mediano y largo plazo.,0.32823650481604266,42,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"El acceso a energía y vías de comunicación es fundamental cuando un empresario o empresaria deciden hacer una nueva inversión. Es por esto que, aunque no estemos todos directamente relacionados con la infraestructura, sí dependemos de ésta para garantizar el éxito de nuestros emprendimientos y para mejorar también la calidad de vida de los mexicanos.",0.32823650481604266,55,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"Este día, unidos por el progreso de México y el bienestar de todos, se marca un punto de inflexión con una dinámica de colaboración nacional para una recuperación sostenida de actividad económica que origina empleos, más y mejor desarrollo y, por ende, una mayor recaudación fiscal necesaria para ampliar los servicios públicos del país.",0.32823650481604266,54,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"Reconocemos la disposición de su gobierno, señor presidente, para mantener la interlocución, la apertura al diálogo y el intercambio de ideas con el sector privado.",0.32823650481604266,25,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"Para asegurar las inversiones que requiere el país es necesario garantizar el Estado de derecho, dar certeza a las inversiones nacionales y extranjeras a través de reglas claras y estables, y con acuerdos entre el gobierno y el sector privado como el que se anuncia hoy.",0.32823650481604266,46,05,10,2020
ANTONIO DEL VALLE PEROCHENA,"Hoy damos muestra de confianza mutua y acciones decididas que nos permiten trabajar unidos para superar esta crisis y aprovechar el increíble potencial que tiene nuestro país, sólo así lograremos fortalecer a los mexicanos de forma equitativa y sostenida el bienestar y la esperanza en el porvenir al que aspiramos. Pero, repito, esto no es posible si no lo hacemos hoy todos al unísono por un solo México.",0.32823650481604266,68,05,10,2020
ANTONIO DEL VALLE PEROCHENA,Muchas gracias.,0.32823650481604266,2,05,10,2020
