Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Con su permiso, señor presidente. Buenos días.",0.32823650481604266,7,17,11,2020
MARCELO EBRARD CASAUBON,"Secretario, subsecretario, Mario Javier y Héctor, muchas gracias por estar aquí.",0.32823650481604266,11,17,11,2020
MARCELO EBRARD CASAUBON,"Muy breve, lo que hizo la audiencia es desechar un recurso en el que efectivamente se estipulaba o se apelaba a que hay una persecución política.",0.32823650481604266,26,17,11,2020
MARCELO EBRARD CASAUBON,"Si se decide que sí la hay, pues tienes derecho a muchas cosas, entre otras, asilo.",0.32823650481604266,16,17,11,2020
MARCELO EBRARD CASAUBON,"Entonces, lo que significa es que conforme a los procedimientos que está llevando la Fiscalía General de la República, hay también en algunos procesos, hay un proceso de amparo, hay una serie de procesos en curso, pero conforme se vayan resolviendo procederá la extradición.",0.32823650481604266,44,17,11,2020
MARCELO EBRARD CASAUBON,"Nosotros estamos listos para eso y estamos muy cerca de la Fiscalía General de la República, que es quien lleva el proceso, eso es lo que significa, es decir, tarde o temprano, la audiencia ya autorizó la extradición.",0.32823650481604266,38,17,11,2020
MARCELO EBRARD CASAUBON," Desde luego, nos han estado informando porque se sabe, porque así lo ha hecho saber el Gobierno de México conforme a las disposiciones jurídicas aplicables, que hay un proceso de extradición y las autoridades pertinentes han definido, cuando pides tú una extradición es que hay una orden de aprehensión.",0.32823650481604266,49,17,11,2020
MARCELO EBRARD CASAUBON,"Entonces, el gobierno de España por supuesto que está informado de esto y nos ha comunicado cada paso procesal.",0.32823650481604266,19,17,11,2020
MARCELO EBRARD CASAUBON," Mire, con mucho gusto, habíamos preparado una presentación, de manera muy breve.",0.32823650481604266,12,17,11,2020
MARCELO EBRARD CASAUBON,"La visión del señor presidente ya desde hace varios meses, recordar que ha sido que México tenga el acceso amplio y oportuno a los proyectos de vacuna y conforme se vayan aprobando por las autoridades regulatorias, en el caso de México la Secretaría de Salud y Cofepris puedan ya poderse aplicar a la población.",0.32823650481604266,54,17,11,2020
