Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muy buenos días.,0.32823650481604266,3,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy vamos a presentar el Buen Fin. Nos va a informar la doctora Graciela Márquez, están miembros del gabinete por la importancia que tiene este programa, todos los que participan, todas las secretarías han estado trabajando de manera conjunta, coordinada.",0.32823650481604266,43,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Desde luego, nos da mucho gusto que estén los representantes de las cámaras, principalmente José Manuel López Campos, de Concanaco, él va a exponer; agradecer también que está Carlos Salazar, del Consejo Coordinador Empresarial; Francisco Cervantes, de Concamin; también nos acompaña Francisco; Vicente Yáñez, de la Antad, está también con nosotros; Luis Niño de Rivera, de la Asociación de Bancos.",0.32823650481604266,60,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos da mucho gusto que se pueda anunciar este programa, insisto, repito, de manera conjunta, tanto el sector público como el sector privado.",0.32823650481604266,23,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De acuerdo al programa, vamos a que nos exponga la doctora Graciela Márquez; luego, José Manuel López Campos, de Concanaco; y Zoé Robledo, secretario, director del Seguro Social, para lo del protocolo sanitario; él, en nombre del sector salud. Entonces, comenzamos con la doctora Graciela Márquez.",0.32823650481604266,46,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, José Manuel.,0.32823650481604266,2,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buen día, presidente; muy buenos días a todos.",0.32823650481604266,8,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Saludo respetuosamente al presidente de México, al licenciado Andrés Manuel López Obrador y le agradezco la oportunidad de exponer el programa del Buen Fin 2020.",0.32823650481604266,25,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Saludo también a las autoridades y empresarios que hoy nos acompañan, así como a todos los representantes de los medios de comunicación.",0.32823650481604266,22,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En Concanaco-Servytur todas las organizaciones empresariales y autoridades que participamos en la organización y coordinación del programa comenzamos la cuenta regresiva para el Buen Fin 2020, que llega a su décima edición fortalecido y con una visión incluyente e innovadora, además de ser parte de las acciones que se suman para la recuperación económica del país, luego de las afectaciones ocasionadas por la pandemia del coronavirus.",0.32823650481604266,66,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Del 9 al 20 de noviembre, la iniciativa privada, las autoridades y la sociedad civil participaremos en la fiesta comercial más grande México: el Buen Fin. Con responsabilidad, compromiso y suma de esfuerzos, los empresarios mexicanos presentaremos la oferta más completa de bienes y servicios a través de un amplio e innovador catálogo de bienes y servicios que permitirán a los consumidores adquirir algún producto a menor costo o con mejores promociones de pagos que en cualquier otra época del año durante los 12 días que dure el evento.",0.32823650481604266,89,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El Buen Fin 2020 en su décima edición contará con la participación de los tres sectores productivos de la economía. Por primera vez estaremos juntos en este evento del comercio y los servicios los organismos empresariales que representan el Consejo Nacional Agropecuario, la Confederación de Cámaras Mexicanas de la Industria, Concamin; y desde luego Concanaco-Servytur. Esto adicionalmente de todas las organizaciones que siempre se han sumado al Buen Fin.",0.32823650481604266,69,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De esta forma se fortalece la dinámica de la cadena de proveeduría y de valor, desde la producción, la transformación, hasta la comercialización, lo cual abre la oportunidad de tener en esta edición los precios más bajos del mercado que jamás se hayan tenido.",0.32823650481604266,44,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En esta edición se hizo también una alianza con Canadevi, los desarrolladores de vivienda; con AMPI, los profesionales inmobiliarios, con AMDA, la Asociación Mexicana de Automóviles; con Fecoval y asociaciones y organismos empresariales de turismo, como la Asociación de Cultura y Turismo de América Latina, de cadenas hoteleras, de la Asociación Mexicana de Agencias de Viaje, etcétera.",0.32823650481604266,57,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y se refrendó la colaboración con más de 20 asociaciones de profesionales de servicios empresariales para aumentar la presencia de nuevos giros y aumentar el número de empresas de segmentos que anteriormente no habían participado en el Buen Fin.,0.32823650481604266,39,04,11,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La estrategia para este año está dirigida a cubrir la presencia del Buen Fin en todos los municipios del país, con la integración de los negocios más pequeños de las poblaciones hasta los centros comerciales y negocios más grandes de las ciudades.",0.32823650481604266,42,04,11,2020
