Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OLGA SANCHEZ CORDERO, A las 10:00.,0.32823650481604266,3,10,12,2020
OLGA SANCHEZ CORDERO," Con su venia, señor presidente.",0.32823650481604266,5,10,12,2020
OLGA SANCHEZ CORDERO,Muy buenos días a todas y a todos.,0.32823650481604266,8,10,12,2020
OLGA SANCHEZ CORDERO,"La independencia judicial en México y la protección de los derechos de todos son asuntos en los que, como ustedes saben, he ocupado mi vida personal y profesional. Por ello, tengo en muy alta estima ambos valores y nunca, nunca voy a dejar de lado, me encuentre donde me encuentre. Por eso fui juzgadora por más de dos décadas y me precio de haber conservado una independencia a prueba de todo.",0.32823650481604266,71,10,12,2020
OLGA SANCHEZ CORDERO,"Me precio, igualmente, de haber contribuido con algunos criterios al debate de muchos temas jurídicos; particularmente, el debate de los derechos con una visión garantista. Por eso sé lo valioso que resulta preservarlo.",0.32823650481604266,33,10,12,2020
OLGA SANCHEZ CORDERO,"Digo lo anterior y me disculpo en lo que cabe por el uso de la primera persona, pero también he defendido la indispensable necesidad, y por eso estamos aquí el día de hoy, la imperiosa necesidad de discutir con profundidad los temas que los jueces resuelven de manera razonada y con argumentos.",0.32823650481604266,52,10,12,2020
OLGA SANCHEZ CORDERO,"Por eso es que, a solicitud del señor presidente de la República, recibimos a diversas personas, algunas dedicadas al oficio periodístico, como ustedes, que fueron atendidas desde el mismo día en que fue expuesto en este espacio su caso.",0.32823650481604266,39,10,12,2020
OLGA SANCHEZ CORDERO,"De uno de ellos es que quiero dar cuenta esta mañana. Se trata del señor Rafael, así lo llamaré convencionalmente por su protección de datos personales, hijo de una periodista que aquí expuso su caso.",0.32823650481604266,35,10,12,2020
OLGA SANCHEZ CORDERO,"Antes de hacerlo, quisiera dejar en claro dos cosas:",0.32823650481604266,9,10,12,2020
OLGA SANCHEZ CORDERO,"Que las opiniones que expresaré en este espacio público son a título personal y como servidora pública del gobierno federal, pero las vierto con todo el respeto a la autonomía del Poder Judicial.",0.32823650481604266,33,10,12,2020
OLGA SANCHEZ CORDERO,"Que esta intervención busca sólo fomentar un debate necesario en toda democracia participativa y deliberativa respecto de aspectos relevantes de la vida pública, como son los procesos judiciales y la participación de abogados y jueces en ellos.",0.32823650481604266,37,10,12,2020
OLGA SANCHEZ CORDERO,"Dicho lo anterior, trataré de ser breve en exponer algunos pormenores del asunto, que se pueden extraer de la información a la que hemos tenido acceso.",0.32823650481604266,26,10,12,2020
OLGA SANCHEZ CORDERO,"En 2008, Rafael fue detenido en Valle de Bravo, donde se le aseguraron armas de uso exclusivo del Ejército, Armada y Fuerza Aérea, así como droga. Tras esa detención, fue acusado por los delitos de delincuencia organizada y portación de arma de fuego de uso exclusivo del Ejército, Armada y Fuerza Aérea.",0.32823650481604266,52,10,12,2020
OLGA SANCHEZ CORDERO,"En 2013 se le dictó sentencia, imponiéndole un total de 17 años de prisión y el pago de 350 días de multa, misma que, revisada con posterioridad, quedó reducida a 16 años.",0.32823650481604266,32,10,12,2020
OLGA SANCHEZ CORDERO,"Posteriormente promovió un incidente conocido como incidente de simultaneidad de penas, por virtud del cual el órgano jurisdiccional que conoció del asunto determinó descontar el tiempo de prisión preventiva que había compurgado hasta entonces por ambos delitos.",0.32823650481604266,37,10,12,2020
OLGA SANCHEZ CORDERO,"Dicha resolución fue impugnada por la fiscalía, pero fue confirmada por un tribunal unitario y con ello la pena de prisión quedó determinada en 10 años computables a partir de la fecha de su detención.",0.32823650481604266,35,10,12,2020
OLGA SANCHEZ CORDERO,"En posteriores recursos, uno de los cuales llegó al conocimiento de la Suprema Corte, se llevaron a cabo distintas alegaciones que concluyeron en la determinación de la incorrección de los tribunales acerca del alegato de tortura.",0.32823650481604266,36,10,12,2020
OLGA SANCHEZ CORDERO,"La Suprema Corte consideró que esto debía haber sido revisado por los tribunales colegiados y el unitario y el juez de distrito, y le ordenó revisar y ordenó volver a analizar este alegato de la tortura a la luz de la doctrina constitucional que durante años la Corte ha venido construyendo, inclusive cuando yo integraba la Suprema Corte.",0.32823650481604266,58,10,12,2020
OLGA SANCHEZ CORDERO,"Esto tuvo como consecuencia la reposición de procedimiento con un efecto en la libertad del sentenciado, quien, de no haber mediado esta resolución, por supuesto ya en este momento podría haber alcanzado su libertad.",0.32823650481604266,34,10,12,2020
OLGA SANCHEZ CORDERO,"Hace poco, su defensa promovió una petición urgente de libertad, misma que fue negada, aduciendo que no existía sentencia firme que estableciera el quantum de la pena y que por esta razón no se podía acordar favorablemente esta petición.",0.32823650481604266,39,10,12,2020
OLGA SANCHEZ CORDERO,"Aquí me detengo un minuto para señalar un par de cuestiones que en derecho son siempre debatibles, dos posturas divergentes que subrayan la necesidad de este debate que hoy propongo:",0.32823650481604266,30,10,12,2020
OLGA SANCHEZ CORDERO,"La posición de una visión formalista del derecho contra una visión garantista que ponga, por delante de los formalismos, pero siempre de las mismas reglas del derecho, argumentos más dúctiles que favorezcan los derechos de las personas.",0.32823650481604266,37,10,12,2020
OLGA SANCHEZ CORDERO,"Esta postura, recogida de algún modo en el artículo 1º constitucional, otorga la posibilidad al derecho de practicar la justicia y no los meros formalismos.",0.32823650481604266,25,10,12,2020
OLGA SANCHEZ CORDERO,¿A qué voy?,0.32823650481604266,3,10,12,2020
OLGA SANCHEZ CORDERO,"A que en el caso concreto la consideración, desde luego ajustada a derecho, desde un cierto ángulo interpretativo de que la pena, por virtud del interlocutor que resolvió el incidente de simultaneidad, quedó reducida a 10 años aproximadamente, es el criterio que debería de haber privado, pues incide directamente sobre la libertad del sentenciando y no aquel el que considera como inexistente la sentencia que lo determinó por haber sido dejado sin efecto en virtud de la revisión constitucional.",0.32823650481604266,79,10,12,2020
OLGA SANCHEZ CORDERO,"En esa virtud y bajo un orden de ideas, una visión muy estricta, la sentencia quedó sin efectos y con ello la determinación de cuántos debía pasar en prisión; pero desde otra visión menos formalista, se lograría que, con la reposición del procedimiento, no le impusieran una pena mayor a la que ya había obtenido y que había compurgado conforme al incidente de simultaneidad y penas.",0.32823650481604266,66,10,12,2020
OLGA SANCHEZ CORDERO,"Una cuestión jurídica debatible ciertamente, pero fáctica, indubitable, es que ya ha pasado más tiempo en prisión del que había determinado una sentencia interlocutoria; es decir, esta persona prácticamente -o no prácticamente- ya había compurgado toda la pena de la sentencia interlocutoria y hoy, por la reposición del procedimiento y por la decisión de los jueces de que ya no existía esa sentencia, sigue en prisión y privado de su libertad.",0.32823650481604266,71,10,12,2020
