Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.32823650481604266,3,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos concluyendo la semana, vamos a informar hoy viernes y salimos más tarde a la gira. Vamos a Oaxaca, vamos a estar el fin de semana el estado de Oaxaca, vamos a estar visitando comunidades en donde se están construyendo caminos con la participación de la gente, caminos de concreto, donde participa la comunidad.",0.32823650481604266,54,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se quedan los beneficios en los pueblos, no son empresas contratistas, se hace un muy buen trabajo, obras de arte, y se comunica a los pueblos. El propósito es que, cuando terminemos el gobierno, queden pavimentadas todas las cabeceras municipales; estamos hablando de 57 municipios que tiene Oaxaca y hay cerca de 300 municipios que no tienen camino pavimentado a sus cabeceras municipales.",0.32823650481604266,63,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, es un programa muy importante, manejado de manera directa por la gente. Nosotros lo que hacemos es enviarles los recursos y ellos los administran con honestidad, hacen rendir ese dinero y hacen muy buenas obras.",0.32823650481604266,36,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a esa gira.",0.32823650481604266,5,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También quiero informarle al pueblo de México que el asunto que se trató ayer de un joven que ya había cumplido con su condena y, sin embargo, se le mantenía preso por una mala interpretación o aplicación de la ley, que afectaba los derechos humanos de este joven, que significaba una injusticia, ayer mismo envié una carta al presidente de la Suprema Corte de Justicia; él me respondió ayer que iba a intervenir por tratarse de un asunto urgente, de atención a una violación de derechos humanos.",0.32823650481604266,87,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y quiero agradecerle porque, por su intervención, el ministro Zaldívar, presidente de la Suprema Corte de Justicia, un hombre íntegro, un hombre honesto, un hombre justo, la juez encargada del caso tomó la decisión de dejar en libertad a este joven y hoy a las 3:30 de la mañana salió del penal de Guasave, Sinaloa.",0.32823650481604266,55,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, es la noticia que queremos transmitirle a toda la gente, por lo que sucedió ayer, la manera en que tratamos este caso.",0.32823650481604266,23,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a presentar las cartas y el acta de libertad para que quede en las redes, se dé a conocer la información. Entonces, le pedimos a Jesús que nos dé a conocer las cartas.",0.32823650481604266,34,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y luego vamos a hablar, terminando este tema, sobre la rifa del avión, que tenemos que saber cómo terminó lo de la rifa del avión, también para agradecerle mucho a toda la gente, a todo el pueblo, que ayudó en este propósito.",0.32823650481604266,42,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, ¿Y no tienen el acta?,0.32823650481604266,5,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, ya entonces.",0.32823650481604266,3,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, La dan a conocer.,0.32823650481604266,4,11,12,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Esto amerita un reconocimiento al Poder Judicial y a la Suprema Corte.,0.32823650481604266,12,11,12,2020
