Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Muy buenos días, señor presidente; muy buenos días a todas y a todos ustedes.",0.32823650481604266,14,14,12,2020
RICARDO SHEFFIELD PADILLA,"Felicidades al equipo León. Ay, se me salió.",0.32823650481604266,8,14,12,2020
RICARDO SHEFFIELD PADILLA,"En el tema de los combustibles, para los precios de la gasolina en esta semana que cerró, el precio más alto lo vemos en Mobil, en Río Grande, Zacatecas, 20 pesos con ocho centavos por litro, un margen de tres meses 88 centavos; y en la misma marca Mobil encontramos el más barato para gasolina regular, pero en San Mateo Atenco, Estado de México, 15 pesos 58 centavos por litro, un margen de 15 centavos.",0.32823650481604266,75,14,12,2020
RICARDO SHEFFIELD PADILLA,"Para la gasolina Premium, la Shell, en Álvaro Obregón, en la Ciudad de México, la más cara, 21 pesos con nueve centavos por litro, un margen nada más de estos angelitos de cuatro pesos con 40 centavos; mientras que franquicia Pemex, en comparación, en Medellín de Bravo, Veracruz, lo tiene al público a 15 pesos 99 centavos por litro, con un margen de 16 centavos.",0.32823650481604266,65,14,12,2020
RICARDO SHEFFIELD PADILLA,"Para el diésel, franquicia Pemex, en Cerro Azul, Veracruz, 21 pesos con nueve centavos por litro, un margen de tres pesos con 25 centavos. ¿Qué pasó ahí a estos de franquicia Pemex en Cerro Azul? La gasolina está muy accesible en Veracruz. ¿Qué están haciendo?",0.32823650481604266,45,14,12,2020
RICARDO SHEFFIELD PADILLA,"Y lo podemos comparar con Kpetrom, de Bahía de Banderas, Nayarit, que lo tiene al público el diésel a 17.99 por litro con un margen de 21 centavos.",0.32823650481604266,28,14,12,2020
RICARDO SHEFFIELD PADILLA,"Las tres marcas con los precios promedio más altos en la semana, RedCo el primer lugar de caro, Arco y Chevron; y los más económicas, Total, G-500 y Orsan la más económica en esta semana que pasó.",0.32823650481604266,37,14,12,2020
RICARDO SHEFFIELD PADILLA,"Con corte al día 11 de diciembre, la mezcla mexicana de petróleo 45 dólares con 50 centavos, estamos en los niveles de arranque de este año; sin embargo, ustedes pueden ver en la gráfica como los precios promedio están muy por debajo de los que eran cuando estaba a 44 dólares con 40 centavos, ahora 45 dólares con 50 centavos. El diésel a 19 pesos con 11 centavos, la Premium a 18 pesos con 67 centavos, son los precios promedio ese mismo día 11 de diciembre y 18 pesos con 10 centavos la regular.",0.32823650481604266,94,14,12,2020
RICARDO SHEFFIELD PADILLA,"Como vemos, la gran mayoría de las estaciones de servicio y las gasolineras en México están dando precios bajos.",0.32823650481604266,19,14,12,2020
RICARDO SHEFFIELD PADILLA,"Las denuncias que se presentaron en la semana a través de la app de Litro por Litro, 273, las atendimos a través de 135 visitas o verificaciones, una gasolinera no se dejó verificar y en nueve encontramos irregularidades que no era litro por litro.",0.32823650481604266,44,14,12,2020
