Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS RODRIGUEZ BUCIO, Muy buenos días.,0.32823650481604266,3,18,12,2020
LUIS RODRIGUEZ BUCIO,Me voy a permitir informar sobre lo más relevante de la Guardia Nacional en el último mes.,0.32823650481604266,17,18,12,2020
LUIS RODRIGUEZ BUCIO,"Los efectivos de la Guardia Nacional continúan en el mismo número del mes pasado, un poquito más de 98 mil elementos ya distribuidos en todo el territorio, en todas las coordinaciones regionales. Estos son los efectivos, 98 mil 282, los efectivos en cada uno de los estados.",0.32823650481604266,47,18,12,2020
LUIS RODRIGUEZ BUCIO,"Y en esta ocasión tuvimos el cambio de tres coordinadores estatales, que es el de Sonora, Puebla y Querétaro, son cambios normales en las coordinaciones estatales.",0.32823650481604266,26,18,12,2020
LUIS RODRIGUEZ BUCIO,"En cuanto al reclutamiento, de la meta de 21 mil 430 que tenemos para este año, llevamos un avance de 87 por ciento, nos queda el 13 por ciento para poder cubrir la meta de este año; todo, para llegar finalmente en los tres años a los 50 mil elementos reclutados.",0.32823650481604266,51,18,12,2020
LUIS RODRIGUEZ BUCIO,"En la construcción de cuarteles, de los 81 que estaban programados para el 2019, han sido concluidos. En este año 2020 fueron 91 cuarteles programados, han sido ya totalmente concluidos 10 en tres entidades; 81, aunque están en construcción, ya están en su fase final y se espera que el día 31 de diciembre estén prácticamente ya totalmente construidos, y para el 2021 tenemos los 76 cuarteles que ya están en el plan de construcción.",0.32823650481604266,75,18,12,2020
LUIS RODRIGUEZ BUCIO,"Esto es importante, todo el equipamiento que se tiene en las compañías de la Guardia Nacional se tuvo que licitar, entonces algunas licitaciones se hicieron a fines del 2019, otras las hicimos prácticamente ya en este año, a inicios del 2020. Entonces, ya a partir del mes de octubre, cada licitación nos tarda en promedios seis meses.",0.32823650481604266,57,18,12,2020
LUIS RODRIGUEZ BUCIO,"Ya tenemos el material, el equipo de comunicaciones, equipo médico, equipo contra incendios, el mobiliario y hasta el equipo informático que va en cada una de los cuarteles construidos para la Guardia Nacional. Entonces, ahorita ya el mobiliario que se tiene en los cuarteles ya es el mobiliario nuevo, adquirido desde principios de año, pero recibido apenas recientemente.",0.32823650481604266,58,18,12,2020
LUIS RODRIGUEZ BUCIO,"Por lo que respecta a la orden que giró el señor presidente de que la Guardia Nacional apoye a los connacionales que retornan al país, hicimos un plan para este apoyo. Son varias de las rutas que vienen de la frontera norte, son principalmente cuatro rutas; sobre esas rutas tenemos desplegadas 165 estaciones, se va en carreteras, 89 subestaciones, empeñados un poco más de ocho mil elementos, más de tres mil patrullas, están las cuatro rutas y del día 2 a la fecha se ha proporcionado mil 220 apoyos.",0.32823650481604266,89,18,12,2020
LUIS RODRIGUEZ BUCIO,"El día de ayer algo significativo: se dio la 13ª Caravana que viene de Nuevo Laredo a Jalpan, Querétaro, apoyando un total de más de 300 vehículos.",0.32823650481604266,27,18,12,2020
LUIS RODRIGUEZ BUCIO,"La Guardia Nacional continúa apoyando el regreso de connacionales, sobre todo también aquí en coordinación con otras instituciones, como es el Instituto Nacional de Migración, la Cruz Roja, los Ángeles Verdes.",0.32823650481604266,31,18,12,2020
LUIS RODRIGUEZ BUCIO,Sería cuanto por esta ocasión. Muchas gracias.,0.32823650481604266,7,18,12,2020
