Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RAFAEL OJEDA DURAN," Con permiso, señor presidente.",0.32823650481604266,4,18,12,2020
RAFAEL OJEDA DURAN,"Continuando con la presentación, vamos a ver ahorita el despliegue de las fuerzas de la Secretaría de la Defensa Nacional, de Marina y de la Guardia Nacional en ciertas actividades que mes con mes les estamos informando.",0.32823650481604266,37,18,12,2020
RAFAEL OJEDA DURAN,"En lo que se refiere a operaciones para la construcción de la paz, hay 87 mil 839 elementos de ambas fuerzas.",0.32823650481604266,21,18,12,2020
RAFAEL OJEDA DURAN,"En lo que es en diferentes actividades como es la Estrategia de Protección Ciudadana, se está dando en Baja California, Chihuahua, Coahuila, Durango, Guanajuato, Guerrero, Jalisco, Michoacán, Nuevo León, Oaxaca, Sinaloa y Tamaulipas.",0.32823650481604266,33,18,12,2020
RAFAEL OJEDA DURAN,"En lo que se refiere a la participación de la coordinación, hay 32 estatales y 176 regionales para la construcción de la paz.",0.32823650481604266,23,18,12,2020
RAFAEL OJEDA DURAN,"Operaciones de intercepción terrestre, se han dado 59 a través de puestos militares de seguridad, 15 operaciones de intercepción aérea e operaciones de intercepción marítima permanentes.",0.32823650481604266,26,18,12,2020
RAFAEL OJEDA DURAN,Se ha dado un recorrido terrestre de tres millones 119 mil 750 kilómetros patrullados para la prevención del delito.,0.32823650481604266,19,18,12,2020
RAFAEL OJEDA DURAN,"Aplicación permanente de la Ley Federal de Armas de Fuego y Control de Explosivos en todo el territorio nacional; igualmente, acciones para disminuir los índices de violencia y garantizar el desarrollo económico y social del país.",0.32823650481604266,36,18,12,2020
RAFAEL OJEDA DURAN,"En lo que se refiere a este Plan DN-III, Plan Marina y Plan de la Guardia Nacional, en lo que se refiere exclusivamente a la atención de emergencia sanitaria COVID-19, hay desplegados 48 mil 33 elementos de ambas fuerzas, se han dado dos mil 332 atenciones médicas a pacientes, se han acumulado hasta el día de hoy 15 mil 485.",0.32823650481604266,60,18,12,2020
RAFAEL OJEDA DURAN,"En lo que se refiere a seguridad se ha dado a 398 instalaciones hospitalarias, 238 del IMSS, 160 del Insabi, 63 filtros sanitarios en aeropuertos y en apoyo a sanidad internacional, 91 instalaciones hospitalarias militares y navales acondicionadas y reconvertidas, 10 de atención mixta y 81 únicamente para pacientes COVID.",0.32823650481604266,50,18,12,2020
RAFAEL OJEDA DURAN,"En lo que se refiere a reacondicionamiento, se han dado 32 hospitales del Insabi e instalaciones de 10 centros de aislamiento voluntarios.",0.32823650481604266,22,18,12,2020
RAFAEL OJEDA DURAN,"Se han elaborado y distribuido 596 raciones calientes en estos estados: Colima, Guanajuato y Guerrero.",0.32823650481604266,15,18,12,2020
