Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
EMILIANO CALDERON MERCADO," Qué tal, buenos días a todos.",0.32823650481604266,6,20,2,2020
EMILIANO CALDERON MERCADO,"El anuncio que hoy se expondrá es consecuencia de una de las políticas que ha puesto en marcha este gobierno, que tiene que ver con reformular la relación con los proveedores y empresas, también es el reflejo de incluir a todos los agentes económicos para contribuir en mejorar al país.",0.32823650481604266,50,20,2,2020
EMILIANO CALDERON MERCADO,"En abril del año pasado, el presidente de la República tuvo una conversación con el director ejecutivo de Microsoft, Satya Nadella. En dicho diálogo hubo coincidencias con las principales líneas estratégicas que tenemos en el gobierno sobre inclusión digital y financiera.",0.32823650481604266,41,20,2,2020
EMILIANO CALDERON MERCADO,"La confianza que existe ahora en México da como resultado este proyecto de inversión en el ámbito tecnológico, que contribuirá directamente a los esfuerzos que el gobierno hace para motivar la innovación tecnológica como herramienta para llevar a los que menos tienen recursos de comunicación, médicos, de educación, financieros y muchos otros.",0.32823650481604266,52,20,2,2020
EMILIANO CALDERON MERCADO,"Ahora veremos un mensaje enviado por Satya Nadella, que es el director ejecutivo de Microsoft; y después de ver el mensaje, César Cernuda, que es el presidente de Microsoft en Latinoamérica, nos presentará en términos generales el plan de inversión que tienen para México.",0.32823650481604266,44,20,2,2020
EMILIANO CALDERON MERCADO,Pasamos el video.,0.32823650481604266,3,20,2,2020
EMILIANO CALDERON MERCADO, Como 280 mil comunidades en todo el país.,0.32823650481604266,8,20,2,2020
EMILIANO CALDERON MERCADO, Se aprobó un presupuesto de tres mil 100 millones de pesos al año por tres años.,0.32823650481604266,16,20,2,2020
EMILIANO CALDERON MERCADO,"El primer año se cubrirán alrededor de 60 mil comunidades pequeñas ya con internet, en general se van a cubrir con 4G, que es después de hacer todo un análisis llegamos a la conclusión de que es la tecnología con la cual podemos cubrir mucho más rápido lugares bastante remotos.",0.32823650481604266,50,20,2,2020
EMILIANO CALDERON MERCADO,"Se llegará a un total de aproximadamente 165 mil comunidades, en general muchas, muchas son de menos de 250 habitantes, o sea, son comunidades muy pequeñas y muy alejadas. Iremos caminando conjuntamente con la red compartida, que era un proyecto que ya estaba echado a andar, después de platicar con ellos y cambiar un hito que tenían planeado para los últimos años, lo cambiamos para ahora.",0.32823650481604266,66,20,2,2020
EMILIANO CALDERON MERCADO,Entonces vamos a ir a las comunidades más pobres que era lo que se tenía planeado que se hiciera en los últimos años. Ahora entonces la red compartida empezará a cubrir comunidades pequeñas desde ahora y nuestro avance será rápido.,0.32823650481604266,40,20,2,2020
EMILIANO CALDERON MERCADO,"En este año cubriremos, como ya lo dije, alrededor de 65 mil comunidades pequeñas llegando el próximo año probablemente a 100 mil y así iremos avanzando. En menos de tres años habrá conectividad en muchos, muchos, muchos pueblos, en la mayoría de los pueblos del país.",0.32823650481604266,46,20,2,2020
EMILIANO CALDERON MERCADO,"Entonces, por medio de la empresa CFE Telecomunicaciones Internet para Todos iremos avanzando e iremos poniendo conectividad en todos los lugares por medio de tecnología 4G en la mayoría, en otras se necesitan tecnologías satelitales, porque es difícil llegar, pero vamos bien y yo espero que en un par de meses podamos ya dar un informe perfectamente bien puntualizado de cuántos lugares ya hemos cubierto, porque ya hemos ido avanzando, cuántas instalaciones públicas ya tienen internet. Es un trabajo que tiene que ver desde estudiar con qué tecnologías se van a conectar, ver las mejores tecnologías para poder esparcir, ya que llegamos a un pueblo, la comunicación.",0.32823650481604266,107,20,2,2020
EMILIANO CALDERON MERCADO,"Entonces, vamos avanzando y en aproximadamente dos meses podremos dar ya una información para que ustedes vayan que realmente sí se va cumpliendo con el plan.",0.32823650481604266,26,20,2,2020
