Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRA FRAUSTO GUERRERO," Muchas gracias, señor presidente, con su permiso. Gracias por darle la bienvenida esta mañanera a la música, a la cultura.",0.32823650481604266,20,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"Gracias a todos ustedes, autoridades tradicionales de Oaxaca, autoridades estatales, maestras y maestros, y sobre todo niños, jóvenes dedicados a la música.",0.32823650481604266,22,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"La música permite la continuidad del rito a la usanza de los pueblos indígenas. El rito permite la continuidad de la vida y esa es nuestra apuesta, la vida y la música.",0.32823650481604266,32,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"Gracias a la subasta que se realizó en Los Pinos por parte del Instituto para Devolverle al Pueblo lo Robado se obtuvieron 16.2 millones de pesos, con lo cual tuvimos la oportunidad de adquirir cerca de mil instrumentos que se entregarán a partir del día de hoy y hasta dentro de tres meses continuaremos la entrega ya en territorio.",0.32823650481604266,59,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"El día de hoy recibimos a siete bandas que se ensamblarán para ofrecernos música. Como ya lo dijo el presidente, entregaremos instrumentos a bandas de las ocho regiones bajo los criterios de las solicitudes que ha habido en estos recorridos, las solicitudes que se reciben en el gobierno estatal, en el gobierno federal y por supuesto en aquellos espacios donde no habían sido incluidos en ningún programa de cultura.",0.32823650481604266,69,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"Queremos agradecer la articulación por parte de una institución resistente y perseverante como el Cecam, que nos ayudará a dar continuidad y orden a todo este trabajo dentro del estado de Oaxaca. La cultura es muy poderosa para la construcción de paz y esta es la apuesta.",0.32823650481604266,47,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"Buenos días y gracias, presidente.",0.32823650481604266,5,3,2,2020
ALEJANDRA FRAUSTO GUERRERO," Adelante, pasen las bandas.",0.32823650481604266,4,3,2,2020
ALEJANDRA FRAUSTO GUERRERO," Gracias, presidente.",0.32823650481604266,2,3,2,2020
ALEJANDRA FRAUSTO GUERRERO,"De Santo Domingo Yolotepec, Nancy Evelyn Ramírez, y Miguel Ángel González Suárez.",0.32823650481604266,12,3,2,2020
ALEJANDRA FRAUSTO GUERRERO," Quedan dos, presidente.",0.32823650481604266,3,3,2,2020
ALEJANDRA FRAUSTO GUERRERO," Cuautla, uno.",0.32823650481604266,2,3,2,2020
ALEJANDRA FRAUSTO GUERRERO, Ayudó mucho para esto Julio Scherer.,0.32823650481604266,6,3,2,2020
